#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
1.0,1001,Other,19100178 L02 I A,11/22/2021,12/27/2021,"$9,011","$12,873",$0,,I - Informal Settlement,,1554404.015
1.0,1001,Repeat,19040039 A02,12/08/2021,,"$21,457","$21,457",$0,,I - Informal Settlement,,1552894.015
1.0,01001,Serious,19100141 A03 I,02/01/2022,03/07/2022,"$2,450","$2,450",$0,03/04/2022,C - Contested,,1551384.015
2.0,01002A,Serious,19101200 H01,02/01/2022,03/07/2022,"$2,450","$2,450",$0,03/04/2022,C - Contested,,1551384.015
3.0,01002B,Serious,TDLWD RULE 800-01-09-.07,02/01/2022,03/07/2022,$0,$0,$0,03/04/2022,C - Contested,,1551384.015
4.0,02001,Other,19100022 A01,02/01/2022,03/07/2022,$0,$0,$0,03/04/2022,C - Contested,,1551384.015
5.0,02002,Other,19100305 G01 IV B,02/01/2022,03/07/2022,$0,$0,$0,03/04/2022,C - Contested,,1551384.015
6.0,02003A,Other,TDLWD RULE 800-01-03-.03(27)(A),02/01/2022,03/07/2022,$700,$700,$0,03/04/2022,C - Contested,,1551384.015
7.0,02003B,Other,TDLWD RULE 800-01-03-.03(27)(B)2,02/01/2022,03/07/2022,$0,$0,$0,03/04/2022,C - Contested,,1551384.015
1.0,1001,Other,UAC R614-1-5.B.1,09/21/2021,,$500,$500,$0,,Z - Issued,,1550318.015
1.0,01001A,Serious,19100132 D01,12/29/2021,01/26/2022,"$12,873","$12,873",$0,,I - Informal Settlement,Citation has been deleted.,1549314.015
2.0,01001B,Serious,19100132 F01,12/29/2021,01/26/2022,$0,$0,$0,,I - Informal Settlement,Citation has been deleted.,1549314.015
3.0,02001,Other,19030002 A01,12/29/2021,01/27/2022,"$1,205","$1,205",$0,,I - Informal Settlement,,1549314.015
1.0,01001,Serious,408.10034(10),10/15/2021,11/18/2021,"$2,000","$4,000",$0,,I - Informal Settlement,,1545938.015
2.0,01002A,Serious,408.10645(2),10/15/2021,11/18/2021,"$1,200","$2,400",$0,,I - Informal Settlement,,1545938.015
3.0,01002B,Serious,408.10685(3),10/15/2021,11/18/2021,$0,$0,$0,,I - Informal Settlement,,1545938.015
4.0,01003,Serious,19100305 B01 II,10/15/2021,11/18/2021,"$2,000","$4,000",$0,,I - Informal Settlement,,1545938.015
5.0,02001,Other,408.10011(C),10/15/2021,,$0,$0,$0,,I - Informal Settlement,,1545938.015
6.0,02002,Other,408.12152(1),10/15/2021,,$0,$0,$0,,I - Informal Settlement,,1545938.015
1.0,1001,Other,19040032 A03,12/09/2021,12/13/2021,"$2,975","$2,975",$0,,Z - Issued,,1545533.015
1.0,1001,Other,3203(A)(8),10/14/2021,12/03/2021,$200,$200,$0,,Z - Issued,,1544759.015
2.0,2001,Repeat,5144(F)(1),10/14/2021,12/03/2021,"$3,750","$3,750",$0,,Z - Issued,,1544759.015
1.0,01001A,Serious,19100147 C04 I,09/27/2021,10/28/2021,"$4,000","$4,000",$0,,Z - Issued,,1544772.015
2.0,01001B,Serious,19100147 C07 I A,09/27/2021,10/28/2021,$0,$0,$0,,Z - Issued,,1544772.015
3.0,02001,Other,19100028 B03 II,09/27/2021,,$0,$0,$0,,Z - Issued,,1544772.015
4.0,02002,Other,19100305 C04,09/27/2021,,$0,$0,$0,,Z - Issued,,1544772.015
1.0,1001,Other,19100212 B,09/09/2021,10/14/2021,"$6,632","$6,632",$0,,I - Informal Settlement,,1536267.015
1.0,1001,Serious,19100305 J01 I,08/05/2021,,"$5,851","$5,851",$0,,Z - Issued,,1532761.015
2.0,1002,Serious,19100334 A02 II,08/05/2021,,"$4,973","$4,973",$0,,Z - Issued,,1532761.015
1.0,1001,Serious,19100178 L01 II,08/12/2021,09/16/2021,"$9,753","$9,753",$0,09/01/2021,C - Contested,,1528016.015
2.0,2001,Repeat,19100178 L04 III,08/12/2021,,"$48,765","$48,765",$0,09/01/2021,C - Contested,,1528016.015
1.0,1001,Serious,19100176 B,06/11/2021,07/25/2022,"$2,800","$2,800",$0,,P - Petition to Mod Abatement,,1526785.015
1.0,1001,Other,19101200 H01,07/09/2021,07/27/2021,$0,$0,$0,,Z - Issued,,1525589.015
1.0,01001,Serious,19100028 B01 I,04/16/2021,05/19/2021,"$5,400","$5,400",$0,,Z - Issued,,1519797.015
2.0,01002A,Serious,19100147 C04 I,04/16/2021,05/19/2021,"$7,000","$7,000",$0,,Z - Issued,,1519797.015
3.0,01002B,Serious,19100147 C06 I,04/16/2021,05/19/2021,$0,$0,$0,,Z - Issued,,1519797.015
4.0,01002C,Serious,19100147 C07 I A,04/16/2021,05/19/2021,$0,$0,$0,,Z - Issued,,1519797.015
1.0,01001,Serious,TCA 50-3-105(1),03/03/2021,04/07/2021,"$2,720","$3,200",$0,,I - Informal Settlement,,1512755.015
2.0,01002A,Other,19100178 P01,03/03/2021,,"$2,720","$3,200",$0,,I - Informal Settlement,,1512755.015
3.0,01002B,Other,19100178 Q07,03/03/2021,04/07/2021,$0,$0,$0,,I - Informal Settlement,,1512755.015
1.0,1001,Other,3205(C)(9)(D),06/10/2021,,$0,$0,$0,06/24/2021,C - Contested,,1507033.015
2.0,2001,Serious,3205(C)(6),06/10/2021,,"$6,750","$6,750",$0,06/24/2021,C - Contested,,1507033.015
3.0,3001,Serious,3205(C)(8)(A),06/10/2021,,"$6,750","$6,750",$0,06/24/2021,C - Contested,,1507033.015
1.0,1001,Other,25000025,06/18/2021,,$560,$560,$0,,Z - Issued,,1507859.015
2.0,1002,Other,3205(C),06/18/2021,07/05/2021,$560,$560,$0,,Z - Issued,,1507859.015
3.0,1003,Other,3400(C),06/18/2021,07/05/2021,$560,$560,$0,,Z - Issued,,1507859.015
1.0,1001,Repeat,2.180(3)(2),02/22/2021,02/26/2021,"$9,520","$11,900",$0,,I - Informal Settlement,,1496945.015
2.0,1002,Repeat,2.180(3)(4),02/22/2021,02/26/2021,"$6,800","$8,500",$0,,I - Informal Settlement,,1496945.015
1.0,1001,Serious,408.1011(A),01/08/2021,01/14/2021,"$2,000","$4,000",$0,,I - Informal Settlement,,1494405.015
2.0,2001,Other,19101200 F06,01/08/2021,02/11/2021,$400,$800,$0,,I - Informal Settlement,,1494405.015
3.0,2002,Other,408.10631(5),01/08/2021,02/11/2021,$0,$0,$0,,I - Informal Settlement,,1494405.015
1.0,1001,Serious,408.1011(A),11/24/2020,01/04/2021,"$6,300","$6,300",$0,,Z - Issued,,1493569.015
1.0,1001,Other,23400016 B,01/26/2021,,$560,$560,$0,03/01/2021,C - Contested,,1486257.015
2.0,1002,Other,6151(C),01/26/2021,,$935,$935,$0,03/01/2021,C - Contested,,1486257.015
3.0,2001,Serious,3203(A)(7),01/26/2021,,"$11,250","$11,250",$0,03/01/2021,C - Contested,,1486257.015
1.0,1001,Other,19100178 L04 III,08/21/2020,08/25/2020,$0,$0,$0,,Z - Issued,,1473291.015
1.0,1001,Other,19040039 A02,02/04/2020,,"$5,407","$9,012",$0,,I - Informal Settlement,,1456562.015
1.0,1001,Other,408.13386,03/11/2020,04/13/2020,$0,$0,$0,,Z - Issued,,1453170.015
2.0,1002,Other,19101200 E02,03/11/2020,04/13/2020,$0,$0,$0,,Z - Issued,,1453170.015
1.0,1001,Other,408.10731(1),01/09/2020,02/12/2020,$400,"$4,000",$0,03/12/2020,F - Formal Settlement,,1444515.015
2.0,2001,Other,19100028 B03 II,01/09/2020,02/12/2020,$0,$0,$0,03/12/2020,F - Formal Settlement,,1444515.015
3.0,2002,Other,19100334 A02 II,01/09/2020,02/12/2020,$0,$0,$0,03/12/2020,F - Formal Settlement,,1444515.015
4.0,3001,Other,408.10632(1),01/09/2020,,$100,"$10,000",$0,03/12/2020,F - Formal Settlement,,1444515.015
5.0,3002,Repeat,19100303 G01,01/09/2020,,$600,"$10,000",$0,03/12/2020,F - Formal Settlement,,1444515.015
6.0,3003,Repeat,19101200 E01,01/09/2020,02/12/2020,"$10,000","$10,000",$0,03/12/2020,F - Formal Settlement,Citation has been deleted.,1444515.015
1.0,1001,Serious,19100147 C04 I,02/21/2020,03/18/2020,"$10,814","$10,814",$0,,Z - Issued,,1441027.015
1.0,1001,Serious,19100036 G02,02/04/2020,,"$3,244","$5,407",$0,,I - Informal Settlement,,1434234.015
2.0,2001,Other,19100157 C01,02/04/2020,,$0,$0,$0,,I - Informal Settlement,,1434234.015
1.0,1001,Other,19100120 Q11 II,10/15/2019,11/18/2019,$200,"$2,000",$0,12/12/2019,F - Formal Settlement,,1422077.015
1.0,01001A,Other,19100022 A02,01/13/2020,02/07/2020,"$4,831","$4,831",$0,,I - Informal Settlement,,1421080.015
2.0,01001B,Serious,19100303 G02 I,01/13/2020,02/07/2020,$0,$0,$0,,I - Informal Settlement,Citation has been deleted.,1421080.015
1.0,1001,Other,19100037 A03,09/06/2019,09/23/2019,$225,$225,$0,,Z - Issued,,1410948.015
1.0,01001A,Serious,19100037 A03,07/29/2019,08/08/2019,"$8,335","$8,335",$0,,Z - Issued,,1408024.015
2.0,01001B,Serious,19100303 G01 II,07/29/2019,08/08/2019,$0,$0,$0,,Z - Issued,,1408024.015
3.0,01002,Serious,19100037 B02,07/29/2019,08/08/2019,"$8,335","$8,335",$0,,Z - Issued,,1408024.015
4.0,02001,Other,19100178 A06,07/29/2019,08/22/2019,$0,$0,$0,,Z - Issued,,1408024.015
1.0,01001A,Serious,19100038 A,11/25/2019,12/13/2019,"$5,600","$7,000",$0,,I - Informal Settlement,,1404431.015
2.0,01001B,Serious,19100038 B,11/25/2019,12/13/2019,$0,$0,$0,,Z - Issued,,1404431.015
3.0,01002A,Serious,19101030 C01 I,11/25/2019,12/13/2019,"$4,000","$5,000",$0,,I - Informal Settlement,,1404431.015
4.0,01002B,Serious,19101030 C01 VI,11/25/2019,12/13/2019,$0,$0,$0,,Z - Issued,,1404431.015
5.0,01003A,Serious,19101200 E01,11/25/2019,12/13/2019,"$4,000","$5,000",$0,,I - Informal Settlement,,1404431.015
6.0,01003B,Serious,19101200 E04,11/25/2019,12/13/2019,$0,$0,$0,,Z - Issued,,1404431.015
7.0,02001,Other,2.310(1)(1),11/25/2019,12/13/2019,$0,$0,$0,,Z - Issued,,1404431.015
1.0,1001,Serious,19100026 D,06/18/2019,07/01/2019,"$2,400","$2,400",$0,,Z - Issued,,1396920.015
2.0,2001,Other,19100304 F01 IV,06/18/2019,07/01/2019,$200,$200,$0,,Z - Issued,,1396920.015
1.0,01001A,Other,19101200 H03 I,05/30/2019,07/05/2019,$0,$0,$0,,I - Informal Settlement,,1386097.015
2.0,01001B,Other,19101200 H03 II,05/30/2019,07/05/2019,$0,$0,$0,,I - Informal Settlement,,1386097.015
3.0,01001C,Other,TDLWD RULE 800-01-09-.06(2),05/30/2019,,$0,$0,$0,,I - Informal Settlement,,1386097.015
4.0,01001D,Other,TDLWD RULE 800-01-09-.07,05/30/2019,07/05/2019,$0,$0,$0,,I - Informal Settlement,,1386097.015
5.0,01001E,Other,TDLWD RULE 800-01-09-.07(4),05/30/2019,07/05/2019,$0,$0,$0,,I - Informal Settlement,Citation has been deleted.,1386097.015
1.0,01001,Other,19100212 A03 II,05/14/2019,06/17/2019,$0,"$5,000",$0,,I - Informal Settlement,,1397761.015
2.0,01002,Serious,19100303 B02,05/14/2019,06/17/2019,"$3,500","$3,500",$0,,I - Informal Settlement,,1397761.015
3.0,01003,Serious,19100303 B07 IV,05/14/2019,06/17/2019,"$3,500","$3,500",$0,,I - Informal Settlement,Citation has been deleted.,1397761.015
4.0,01003A,Serious,19100303 B07 IV,05/14/2019,06/17/2019,"$3,500","$3,500",$0,,I - Informal Settlement,,1397761.015
5.0,01003B,Serious,19100303 G02 I,05/14/2019,06/17/2019,$0,"$3,500",$0,,I - Informal Settlement,,1397761.015
6.0,01003C,Serious,19100305 B02 I,05/14/2019,06/17/2019,$0,$0,$0,,I - Informal Settlement,,1397761.015
7.0,01004A,Serious,19100303 G02 I,05/14/2019,06/17/2019,"$3,500","$3,500",$0,,I - Informal Settlement,Citation has been deleted.,1397761.015
8.0,01004B,Serious,19100305 B02 I,05/14/2019,06/17/2019,$0,$0,$0,,I - Informal Settlement,Citation has been deleted.,1397761.015
1.0,1001,Serious,19100022 D02,06/12/2019,07/30/2019,"$8,335","$8,335",$0,,Z - Issued,,1380723.015
1.0,1001,Other,19100028 B01 I,03/11/2019,04/11/2019,$0,"$4,000",$0,,I - Informal Settlement,,1380506.015
1.0,1001,Serious,19100212 A03 II,06/28/2019,07/02/2019,"$7,000","$7,000",$0,08/16/2019,C - Contested,,1381283.015
2.0,1002,Serious,19101030 D04 III B 1,06/28/2019,07/02/2019,"$4,250","$4,250",$0,08/16/2019,C - Contested,,1381283.015
3.0,1003,Serious,19101030 G02 V,06/28/2019,07/02/2019,"$4,250","$4,250",$0,08/16/2019,C - Contested,,1381283.015
4.0,2001,Other,19101030 G02 IV,06/28/2019,07/02/2019,$0,$0,$0,08/16/2019,C - Contested,,1381283.015
1.0,1001,Other,19100036 G02,01/31/2019,02/06/2019,"$4,029","$5,755",$0,,I - Informal Settlement,,1374129.015
2.0,2001,Other,19100157 E02,01/31/2019,02/06/2019,$0,$0,$0,,I - Informal Settlement,,1374129.015
1.0,1001,Serious,19100036 G04,03/13/2019,04/15/2019,"$3,500","$3,500",$0,,Z - Issued,,1370084.015
2.0,1002,Serious,19100037 A03,03/13/2019,04/15/2019,"$3,500","$3,500",$0,,Z - Issued,,1370084.015
3.0,1003,Serious,19100157 C01,03/13/2019,04/15/2019,"$2,000","$2,000",$0,,Z - Issued,,1370084.015
4.0,1004,Serious,19100303 G01 II,03/13/2019,04/15/2019,"$2,000","$2,000",$0,,Z - Issued,,1370084.015
1.0,01001A,Serious,19100178 L02 II,01/11/2019,03/01/2019,"$9,054","$12,934",$0,,I - Informal Settlement,,1368405.015
2.0,01001B,Serious,19100178 L04 III,01/11/2019,03/01/2019,$0,$0,$0,,I - Informal Settlement,,1368405.015
1.0,1001,Other,2.180(3)(2),05/07/2019,05/17/2019,$500,"$4,250",$0,,I - Informal Settlement,,1366308.015
1.0,1001,Other,19100023 B08,12/21/2018,01/07/2019,"$1,800","$1,800",$0,,I - Informal Settlement,,1363953.015
2.0,1002,Serious,19100037 A03,12/21/2018,,"$2,700","$2,700",$0,,Z - Issued,,1363953.015
3.0,1003,Serious,19100178 A06,12/21/2018,01/16/2019,"$1,800","$2,250",$0,,I - Informal Settlement,,1363953.015
4.0,1004,Serious,19100178 P01,12/21/2018,01/07/2019,"$2,700","$2,700",$0,,Z - Issued,,1363953.015
5.0,2001,Other,19100157 C01,12/21/2018,01/07/2019,$450,$450,$0,,Z - Issued,,1363953.015
6.0,2002,Other,19100157 E02,12/21/2018,01/07/2019,$450,$450,$0,,Z - Issued,,1363953.015
7.0,2003,Other,19100303 G01,12/21/2018,,$225,$225,$0,,Z - Issued,,1363953.015
1.0,1001,Other,2.180(3)(2),04/09/2019,04/15/2019,$500,"$4,250",$0,,I - Informal Settlement,,1361023.015
2.0,1002,Other,2.180(3)(4),04/09/2019,04/15/2019,$500,"$4,250",$0,,I - Informal Settlement,,1361023.015
1.0,1001,Other,19100141 C01 I,11/14/2018,11/29/2018,$150,$150,$0,,Z - Issued,,1354041.015
2.0,1002,Other,TDLWD RULE 800-01-03-.05(2)(B)2,11/14/2018,,$700,$700,$0,,Z - Issued,,1354041.015
1.0,1001,Serious,5A0001,01/22/2019,01/30/2019,"$12,934","$12,934",$0,,Z - Issued,,1343563.015
2.0,1002,Serious,19100212 A01,01/22/2019,01/30/2019,"$12,934","$12,934",$0,,Z - Issued,,1343563.015
1.0,1001,Serious,408.11732(2),09/27/2018,10/30/2018,"$2,000","$4,000",$0,,I - Informal Settlement,,1339383.015
2.0,2001,Other,408.10011(C),09/27/2018,10/30/2018,$0,$0,$0,,I - Informal Settlement,,1339383.015
3.0,2002,Other,408.12171(2),09/27/2018,10/30/2018,$0,$0,$0,,I - Informal Settlement,,1339383.015
4.0,2003,Other,19100303 B07 IV,09/27/2018,,$0,$0,$0,,I - Informal Settlement,Citation has been deleted.,1339383.015
1.0,1001,Other,19100178 L04 III,01/02/2019,01/07/2019,$0,$0,$0,,Z - Issued,,1340796.015
1.0,01001A,Other,19100303 G01,09/12/2018,10/15/2018,$0,$0,$0,11/16/2018,F - Formal Settlement,Citation has been deleted.,1332422.015
2.0,01002,Other,19100305 C04,09/12/2018,10/15/2018,$0,$0,$0,11/16/2018,F - Formal Settlement,,1332422.015
3.0,02001,Other,19100303 B07 IV,09/12/2018,10/15/2018,$250,$500,$0,11/16/2018,F - Formal Settlement,,1332422.015
1.0,1001,Other,19100157 C04,07/24/2018,,$0,$0,$0,,Z - Issued,,1329496.015
1.0,1001,Other,19100134 C02 I,08/23/2018,08/29/2018,"$1,700","$1,700",$0,,Z - Issued,,1318908.015
1.0,01001A,Other,19261101 F05,06/26/2018,07/30/2018,$200,$200,$0,,Z - Issued,,1316230.015
2.0,01001B,Other,19261101 K02 II B,06/26/2018,07/30/2018,$0,$0,$0,,Z - Issued,,1316230.015
3.0,01001C,Other,19261101 K07 III,06/26/2018,07/30/2018,$0,$0,$0,,Z - Issued,,1316230.015
4.0,01001D,Other,19101200 H01,06/26/2018,07/30/2018,$0,$0,$0,,Z - Issued,,1316230.015
5.0,01001E,Other,TDLWD RULE 800-01-09-.07(4),06/26/2018,07/30/2018,$0,$0,$0,,Z - Issued,,1316230.015
1.0,01001A,Serious,19100303 B01,06/22/2018,,"$2,700","$2,700",$0,,Z - Issued,,1313366.015
2.0,01001B,Serious,19100304 G05,06/22/2018,,$0,$0,$0,,Z - Issued,,1313366.015
3.0,01001C,Serious,19100305 B01 I,06/22/2018,,$0,$0,$0,,Z - Issued,,1313366.015
4.0,01001D,Serious,19100305 G02 III,06/22/2018,,$0,$0,$0,,Z - Issued,,1313366.015
1.0,1001,Serious,22.8(1)(1)(SEC2),05/09/2018,06/12/2018,"$1,875","$1,875",$0,,Z - Issued,,1310258.015
2.0,2001,Other,19040039 A02,05/09/2018,05/14/2018,$750,$750,$0,,Z - Issued,,1310258.015
1.0,01001,Other,408.13308(3),05/07/2018,06/08/2018,$0,$0,$0,07/02/2018,F - Formal Settlement,Citation has been deleted.,1307396.015
2.0,01002,Other,19100305 B01 II,05/07/2018,,$0,$0,$0,07/02/2018,F - Formal Settlement,,1307396.015
3.0,02001A,Other,408.12154(1),05/07/2018,,$200,"$1,000",$0,07/02/2018,F - Formal Settlement,,1307396.015
4.0,02001B,Other,408.12176(1),05/07/2018,06/08/2018,$0,$0,$0,07/02/2018,F - Formal Settlement,,1307396.015
5.0,02002,Repeat,19100305 B02 I,05/07/2018,,$300,$500,$0,07/02/2018,F - Formal Settlement,,1307396.015
6.0,02003,Repeat,19101200 E01,05/07/2018,06/08/2018,$300,$500,$0,07/02/2018,F - Formal Settlement,,1307396.015
1.0,1001,Serious,19100028 B01 I,05/10/2018,06/13/2018,"$2,400","$4,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
2.0,1002,Other,19100305 B02 I,05/10/2018,,$0,"$4,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
3.0,2001,Other,19100303 B07 IV,05/10/2018,06/13/2018,$0,"$25,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
4.0,3001,Other,408.22132(2)(F),05/10/2018,,$400,"$1,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
5.0,3002,Other,408.13308(3),05/10/2018,06/13/2018,$0,$0,$0,07/02/2018,F - Formal Settlement,Citation has been deleted.,1303106.015
6.0,4001,Repeat,408.10632(1),05/10/2018,,"$1,000","$1,000",$0,07/02/2018,F - Formal Settlement,Citation has been deleted.,1303106.015
7.0,4002,Repeat,408.10831(1),05/10/2018,06/13/2018,$600,"$1,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
8.0,4003,Repeat,19100303 G01,05/10/2018,06/13/2018,$300,$500,$0,07/02/2018,F - Formal Settlement,,1303106.015
9.0,4004,Repeat,19101200 E01,05/10/2018,06/13/2018,$600,"$1,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
10.0,4005,Other,325.47201(3),05/10/2018,,$0,"$1,000",$0,07/02/2018,F - Formal Settlement,,1303106.015
1.0,1001,Serious,19100022 A01,04/23/2018,06/08/2018,"$12,934","$12,934",$0,05/16/2018,F - Formal Settlement,Citation has been deleted.,1299019.015
2.0,1002,Serious,19100151 B,04/23/2018,06/08/2018,"$12,934","$12,934",$0,05/16/2018,F - Formal Settlement,Citation has been deleted.,1299019.015
3.0,2001,Other,19040039 A02,04/23/2018,06/08/2018,"$6,046","$8,638",$0,05/16/2018,F - Formal Settlement,,1299019.015
1.0,1001,Serious,19100147 C04 II,04/19/2018,05/01/2018,"$10,163","$10,163",$0,05/15/2018,C - Contested,,1296382.015
2.0,1002,Serious,19100147 D,04/19/2018,05/01/2018,"$10,163","$10,163",$0,05/15/2018,C - Contested,,1296382.015
3.0,1003,Serious,19100263 E01 I,04/19/2018,,"$10,163","$10,163",$0,05/15/2018,C - Contested,,1296382.015
1.0,01001A,Other,19101200 H01,04/03/2018,05/07/2018,$175,$175,$0,,Z - Issued,,1293864.015
2.0,01001B,Other,TDLWD RULE 800-01-09-.06(2),04/03/2018,05/07/2018,$0,$0,$0,,Z - Issued,,1293864.015
1.0,1001,Other,19100145 C02 I,07/02/2018,07/11/2018,$0,$0,$0,,Z - Issued,,1316205.015
1.0,1001,Serious,19100037 A03,02/13/2018,,"$1,600","$1,600",$0,,Z - Issued,,1291770.015
2.0,2001,Other,19100157 C04,02/13/2018,02/26/2018,$400,$400,$0,,Z - Issued,,1291770.015
3.0,2002,Other,19100157 E02,02/13/2018,02/26/2018,$400,$400,$0,,Z - Issued,,1291770.015
4.0,2003,Other,19100303 B02,02/13/2018,,$200,$200,$0,,Z - Issued,,1291770.015
5.0,2004,Other,19100305 G01 IV A,02/13/2018,,$200,$200,$0,,Z - Issued,,1291770.015
1.0,1001,Other,19100303 G01,02/06/2018,,$150,$150,$0,,Z - Issued,,1285710.015
1.0,1001,Other,19040039 A02,12/07/2017,12/13/2017,$600,"$1,000",$0,,I - Informal Settlement,,1279063.015
1.0,1001,Serious,19100178 N01,12/05/2017,12/22/2017,"$10,158","$10,158",$0,,I - Informal Settlement,Citation has been deleted.,1271292.015
2.0,2001,Other,19100178 L02 II,12/05/2017,12/22/2017,$0,$0,$0,,I - Informal Settlement,,1271292.015
1.0,1001,Other,19100022 A03,11/20/2017,12/27/2017,$731,"$1,125",$0,,I - Informal Settlement,,1269207.015
1.0,1001,Other,19100157 C04,11/01/2017,11/06/2017,$0,$0,$0,,Z - Issued,,1266185.015
2.0,1002,Other,19100132 A,11/01/2017,11/06/2017,$0,$0,$0,,Z - Issued,,1266185.015
3.0,1003,Other,19100303 B07,11/01/2017,11/06/2017,$0,$0,$0,,Z - Issued,,1266185.015
4.0,1004,Other,19100303 B07 IV,11/01/2017,11/06/2017,$0,$0,$0,,Z - Issued,,1266185.015
1.0,1001,Serious,408.10034(10),09/29/2017,11/01/2017,"$2,000","$4,000",$0,,I - Informal Settlement,,1262839.015
2.0,2001,Other,408.10011(D),09/29/2017,11/01/2017,$0,$0,$0,,I - Informal Settlement,,1262839.015
3.0,2002,Other,408.10831(1),09/29/2017,,$0,$0,$0,,I - Informal Settlement,,1262839.015
4.0,2003,Other,19100147 C07 IV,09/29/2017,11/01/2017,$0,$0,$0,,I - Informal Settlement,,1262839.015
5.0,2004,Other,19101200 H03,09/29/2017,11/01/2017,$0,$0,$0,,I - Informal Settlement,,1262839.015
6.0,3001,Repeat,408.12154(1),09/29/2017,11/01/2017,$250,$500,$0,,I - Informal Settlement,,1262839.015
1.0,1001,Other,19100157 C01,09/06/2017,09/26/2017,$0,$0,$0,,Z - Issued,,1255160.015
1.0,1001,Serious,408.12176(1),09/22/2017,10/25/2017,"$2,100","$4,200",$0,,I - Informal Settlement,,1252881.015
1.0,1001,Serious,408.10034(10),08/17/2017,09/20/2017,"$2,000","$4,000",$0,,I - Informal Settlement,,1251119.015
