,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
24,1590209.015,04/13/2022,854910,UT,Complaint,Partial,,493110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1590209.015,854910,04/13/2022,"The Kroger Co.
			   500 N Sugar StreetLayton, UT 84041","500 N Sugar Street, Layton, UT 84041",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,04/13/2022,,06/01/2022,1590209.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1590209.015
25,1589516.015,04/12/2022,452110,KY,Complaint,Partial,5411.0,445110,1,64875 - The Kroger Co,Kroger,2012-12-31,2022-12-31,OPEN,1589516.015,452110,04/12/2022,"64875 - The Kroger Co
			   1700 Declaration DriveIndependence, KY 41051","11310 Cornell Park Drive, Montgomery, OH 45242",Union,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,10/04/2022,,,1589516.015,,,,,,,,,,Initial Violations,1,,,,,1,1589516.015
26,1589516.015,04/12/2022,452110,KY,Complaint,Partial,5411.0,445110,1,64875 - The Kroger Co,Kroger,2012-12-31,2022-12-31,OPEN,1589516.015,452110,04/12/2022,"64875 - The Kroger Co
			   1700 Declaration DriveIndependence, KY 41051","11310 Cornell Park Drive, Montgomery, OH 45242",Union,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,10/04/2022,,,1589516.015,,,,,,,,,,Current Violations,1,,,,,1,1589516.015
27,1589516.015,04/12/2022,452110,KY,Complaint,Partial,5411.0,445110,1,64875 - The Kroger Co,Kroger,2012-12-31,2022-12-31,OPEN,1589516.015,452110,04/12/2022,"64875 - The Kroger Co
			   1700 Declaration DriveIndependence, KY 41051","11310 Cornell Park Drive, Montgomery, OH 45242",Union,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,10/04/2022,,,1589516.015,,,,,,,,,,Initial Penalty,"$7,000",$0,$0,$0,$0,"$7,000",1589516.015
28,1589516.015,04/12/2022,452110,KY,Complaint,Partial,5411.0,445110,1,64875 - The Kroger Co,Kroger,2012-12-31,2022-12-31,OPEN,1589516.015,452110,04/12/2022,"64875 - The Kroger Co
			   1700 Declaration DriveIndependence, KY 41051","11310 Cornell Park Drive, Montgomery, OH 45242",Union,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,10/04/2022,,,1589516.015,,,,,,,,,,Current Penalty,"$7,000",$0,$0,$0,$0,"$7,000",1589516.015
29,1589516.015,04/12/2022,452110,KY,Complaint,Partial,5411.0,445110,1,64875 - The Kroger Co,Kroger,2012-12-31,2022-12-31,OPEN,1589516.015,452110,04/12/2022,"64875 - The Kroger Co
			   1700 Declaration DriveIndependence, KY 41051","11310 Cornell Park Drive, Montgomery, OH 45242",Union,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,10/04/2022,,,1589516.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1589516.015
30,1585255.015,03/23/2022,524500,IL,Complaint,Partial,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1585255.015,524500,03/23/2022,"The Kroger Co.
			   801 West Lake AvenuePeoria, IL 61614","5960 Castleway West Drive, Indianapolis, IN 46250",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,03/23/2022,L,09/15/2022,1585255.015,,,,,,,,,,Initial Violations,2,,,,,2,1585255.015
31,1585255.015,03/23/2022,524500,IL,Complaint,Partial,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1585255.015,524500,03/23/2022,"The Kroger Co.
			   801 West Lake AvenuePeoria, IL 61614","5960 Castleway West Drive, Indianapolis, IN 46250",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,03/23/2022,L,09/15/2022,1585255.015,,,,,,,,,,Current Violations,2,,,,,2,1585255.015
32,1585255.015,03/23/2022,524500,IL,Complaint,Partial,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1585255.015,524500,03/23/2022,"The Kroger Co.
			   801 West Lake AvenuePeoria, IL 61614","5960 Castleway West Drive, Indianapolis, IN 46250",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,03/23/2022,L,09/15/2022,1585255.015,,,,,,,,,,Initial Penalty,"$18,232",$0,$0,$0,$0,"$18,232",1585255.015
33,1585255.015,03/23/2022,524500,IL,Complaint,Partial,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1585255.015,524500,03/23/2022,"The Kroger Co.
			   801 West Lake AvenuePeoria, IL 61614","5960 Castleway West Drive, Indianapolis, IN 46250",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,03/23/2022,L,09/15/2022,1585255.015,,,,,,,,,,Current Penalty,"$12,762",$0,$0,$0,$0,"$12,762",1585255.015
34,1585255.015,03/23/2022,524500,IL,Complaint,Partial,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1585255.015,524500,03/23/2022,"The Kroger Co.
			   801 West Lake AvenuePeoria, IL 61614","5960 Castleway West Drive, Indianapolis, IN 46250",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,03/23/2022,L,09/15/2022,1585255.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1585255.015
35,1578451.015,02/15/2022,524500,IL,Fat/Cat,Partial,,445110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1578451.015,524500,02/15/2022,"The Kroger Co.
			   201 South Main StreetEast Peoria, IL 61611","5960 Casteway West Drive, Indianapolis, IN 46250",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Fat/Cat,Partial,N,Private,Safety,02/15/2022,N,07/26/2022,1578451.015,143760.015,02/12/2022,Employee With Covid-19 Infection Dies,Peoria, ,"On February 12, 2022, an employee who had worked as a Grocery Department Associa te for 30 years at a grocery store died from COVID-19 while in the hospital. The employee last worked on January 19, 2022. On January 20, 2022, the employee did not feel well and went to get a COVID-19 Test. On January 22, 2022, the employe e recieved a positive test result and did not return to work. The date, time and other details leading up to exposure are not indicated in the narrative. Inform ation regarding engineering, administrative and personal protective equipment co ntrols for COVID-19 are also not included in the narrative.",infectious disease,,,Initial Violations,,,,1,,1,1578451.015
36,1578451.015,02/15/2022,524500,IL,Fat/Cat,Partial,,445110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1578451.015,524500,02/15/2022,"The Kroger Co.
			   201 South Main StreetEast Peoria, IL 61611","5960 Casteway West Drive, Indianapolis, IN 46250",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Fat/Cat,Partial,N,Private,Safety,02/15/2022,N,07/26/2022,1578451.015,143760.015,02/12/2022,Employee With Covid-19 Infection Dies,Peoria, ,"On February 12, 2022, an employee who had worked as a Grocery Department Associa te for 30 years at a grocery store died from COVID-19 while in the hospital. The employee last worked on January 19, 2022. On January 20, 2022, the employee did not feel well and went to get a COVID-19 Test. On January 22, 2022, the employe e recieved a positive test result and did not return to work. The date, time and other details leading up to exposure are not indicated in the narrative. Inform ation regarding engineering, administrative and personal protective equipment co ntrols for COVID-19 are also not included in the narrative.",infectious disease,,,Current Violations,,,,1,,1,1578451.015
37,1578451.015,02/15/2022,524500,IL,Fat/Cat,Partial,,445110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1578451.015,524500,02/15/2022,"The Kroger Co.
			   201 South Main StreetEast Peoria, IL 61611","5960 Casteway West Drive, Indianapolis, IN 46250",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Fat/Cat,Partial,N,Private,Safety,02/15/2022,N,07/26/2022,1578451.015,143760.015,02/12/2022,Employee With Covid-19 Infection Dies,Peoria, ,"On February 12, 2022, an employee who had worked as a Grocery Department Associa te for 30 years at a grocery store died from COVID-19 while in the hospital. The employee last worked on January 19, 2022. On January 20, 2022, the employee did not feel well and went to get a COVID-19 Test. On January 22, 2022, the employe e recieved a positive test result and did not return to work. The date, time and other details leading up to exposure are not indicated in the narrative. Inform ation regarding engineering, administrative and personal protective equipment co ntrols for COVID-19 are also not included in the narrative.",infectious disease,,,Initial Penalty,$0,$0,$0,"$2,279",$0,"$2,279",1578451.015
38,1578451.015,02/15/2022,524500,IL,Fat/Cat,Partial,,445110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1578451.015,524500,02/15/2022,"The Kroger Co.
			   201 South Main StreetEast Peoria, IL 61611","5960 Casteway West Drive, Indianapolis, IN 46250",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Fat/Cat,Partial,N,Private,Safety,02/15/2022,N,07/26/2022,1578451.015,143760.015,02/12/2022,Employee With Covid-19 Infection Dies,Peoria, ,"On February 12, 2022, an employee who had worked as a Grocery Department Associa te for 30 years at a grocery store died from COVID-19 while in the hospital. The employee last worked on January 19, 2022. On January 20, 2022, the employee did not feel well and went to get a COVID-19 Test. On January 22, 2022, the employe e recieved a positive test result and did not return to work. The date, time and other details leading up to exposure are not indicated in the narrative. Inform ation regarding engineering, administrative and personal protective equipment co ntrols for COVID-19 are also not included in the narrative.",infectious disease,,,Current Penalty,$0,$0,$0,"$1,595",$0,"$1,595",1578451.015
39,1578451.015,02/15/2022,524500,IL,Fat/Cat,Partial,,445110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1578451.015,524500,02/15/2022,"The Kroger Co.
			   201 South Main StreetEast Peoria, IL 61611","5960 Casteway West Drive, Indianapolis, IN 46250",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Fat/Cat,Partial,N,Private,Safety,02/15/2022,N,07/26/2022,1578451.015,143760.015,02/12/2022,Employee With Covid-19 Infection Dies,Peoria, ,"On February 12, 2022, an employee who had worked as a Grocery Department Associa te for 30 years at a grocery store died from COVID-19 while in the hospital. The employee last worked on January 19, 2022. On January 20, 2022, the employee did not feel well and went to get a COVID-19 Test. On January 22, 2022, the employe e recieved a positive test result and did not return to work. The date, time and other details leading up to exposure are not indicated in the narrative. Inform ation regarding engineering, administrative and personal protective equipment co ntrols for COVID-19 are also not included in the narrative.",infectious disease,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1578451.015
40,1577632.015,02/10/2022,626700,TX,Planned,Complete,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1577632.015,626700,02/10/2022,"The Kroger Co.
			   6200 Highway 6Missouri City, TX 77459","6200 Highway 6, Missouri City, TX 77459",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/10/2022,P,08/09/2022,1577632.015,,,,,,,,,,Initial Violations,2,,,,,2,1577632.015
41,1577632.015,02/10/2022,626700,TX,Planned,Complete,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1577632.015,626700,02/10/2022,"The Kroger Co.
			   6200 Highway 6Missouri City, TX 77459","6200 Highway 6, Missouri City, TX 77459",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/10/2022,P,08/09/2022,1577632.015,,,,,,,,,,Current Violations,2,,,,,2,1577632.015
42,1577632.015,02/10/2022,626700,TX,Planned,Complete,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1577632.015,626700,02/10/2022,"The Kroger Co.
			   6200 Highway 6Missouri City, TX 77459","6200 Highway 6, Missouri City, TX 77459",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/10/2022,P,08/09/2022,1577632.015,,,,,,,,,,Initial Penalty,"$23,246",$0,$0,$0,$0,"$23,246",1577632.015
43,1577632.015,02/10/2022,626700,TX,Planned,Complete,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1577632.015,626700,02/10/2022,"The Kroger Co.
			   6200 Highway 6Missouri City, TX 77459","6200 Highway 6, Missouri City, TX 77459",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/10/2022,P,08/09/2022,1577632.015,,,,,,,,,,Current Penalty,"$23,246",$0,$0,$0,$0,"$23,246",1577632.015
44,1577632.015,02/10/2022,626700,TX,Planned,Complete,,445110,2,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1577632.015,626700,02/10/2022,"The Kroger Co.
			   6200 Highway 6Missouri City, TX 77459","6200 Highway 6, Missouri City, TX 77459",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/10/2022,P,08/09/2022,1577632.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1577632.015
45,1573131.015,01/18/2022,626700,TX,Referral,Partial,,445110,1,Kroger # 336,Kroger,2012-12-31,2022-12-31,CLOSED,1573131.015,626700,01/18/2022,"Kroger # 336
			   22150 Westheimer ParkwayKaty, TX 77450","22150 Westheimer Parkway, Katy, TX 77450",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,01/18/2022,,05/26/2022,1573131.015,142831.015,01/13/2022,Employee Amputates Thumb On Meat Slicing Machine,Houston South, ,"At 7:00 a.m. on January 13, 2022, Employee #1 was using a Biro meat saw to cut r ound eye steaks. Employee #1 was in the process of cutting round eye steaks, whe n he sustained an avulsion to the tip of his left thumb.  The guard of the saw w as not adjusted to the width of the meat.  The employee was transported to the h ospital, where he received medical treatment for the severe laceration on the ti p of the left  thumb. The employee was hospitalized.","amputated, amputation, avulsion, hand, laceration, machine guarding, meat slicing machine, thumb",,,Initial Violations,1,,,,,1,1573131.015
46,1573131.015,01/18/2022,626700,TX,Referral,Partial,,445110,1,Kroger # 336,Kroger,2012-12-31,2022-12-31,CLOSED,1573131.015,626700,01/18/2022,"Kroger # 336
			   22150 Westheimer ParkwayKaty, TX 77450","22150 Westheimer Parkway, Katy, TX 77450",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,01/18/2022,,05/26/2022,1573131.015,142831.015,01/13/2022,Employee Amputates Thumb On Meat Slicing Machine,Houston South, ,"At 7:00 a.m. on January 13, 2022, Employee #1 was using a Biro meat saw to cut r ound eye steaks. Employee #1 was in the process of cutting round eye steaks, whe n he sustained an avulsion to the tip of his left thumb.  The guard of the saw w as not adjusted to the width of the meat.  The employee was transported to the h ospital, where he received medical treatment for the severe laceration on the ti p of the left  thumb. The employee was hospitalized.","amputated, amputation, avulsion, hand, laceration, machine guarding, meat slicing machine, thumb",,,Current Violations,,,,1,,1,1573131.015
