,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
10,1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1618144.015,452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,,Initial Violations,,,,1,,1,1618144.015
11,1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1618144.015,452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,,Current Violations,,,,1,,1,1618144.015
12,1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1618144.015,452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,,Initial Penalty,$0,$0,$0,"$5,000",$0,"$5,000",1618144.015
13,1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1618144.015,452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$5,000",$0,"$5,000",1618144.015
14,1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1618144.015,452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1618144.015
15,1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-31,2022-12-31,CLOSED,1616220.015,552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,,Initial Violations,1,,,,,1,1616220.015
16,1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-31,2022-12-31,CLOSED,1616220.015,552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,,Current Violations,1,,,,,1,1616220.015
17,1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-31,2022-12-31,CLOSED,1616220.015,552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,,Initial Penalty,"$4,500",$0,$0,$0,$0,"$4,500",1616220.015
18,1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-31,2022-12-31,CLOSED,1616220.015,552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,,Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1616220.015
19,1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-31,2022-12-31,CLOSED,1616220.015,552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1616220.015
20,1608665.015,07/18/2022,950624,CA,Complaint,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-31,2022-12-31,OPEN,1608665.015,950624,07/18/2022,"Walmart Inc.
			   2480 Geer RoadTurlock, CA 95382",702 Sw 8th St. Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,11/22/2022,,,1608665.015,,,,,,,,,,Initial Violations,,,,2,,2,1608665.015
21,1608665.015,07/18/2022,950624,CA,Complaint,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-31,2022-12-31,OPEN,1608665.015,950624,07/18/2022,"Walmart Inc.
			   2480 Geer RoadTurlock, CA 95382",702 Sw 8th St. Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,11/22/2022,,,1608665.015,,,,,,,,,,Current Violations,,,,1,,1,1608665.015
22,1608665.015,07/18/2022,950624,CA,Complaint,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-31,2022-12-31,OPEN,1608665.015,950624,07/18/2022,"Walmart Inc.
			   2480 Geer RoadTurlock, CA 95382",702 Sw 8th St. Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,11/22/2022,,,1608665.015,,,,,,,,,,Initial Penalty,$0,$0,$0,$630,$0,$630,1608665.015
23,1608665.015,07/18/2022,950624,CA,Complaint,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-31,2022-12-31,OPEN,1608665.015,950624,07/18/2022,"Walmart Inc.
			   2480 Geer RoadTurlock, CA 95382",702 Sw 8th St. Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,11/22/2022,,,1608665.015,,,,,,,,,,Current Penalty,$0,$0,$0,$315,$0,$315,1608665.015
24,1608665.015,07/18/2022,950624,CA,Complaint,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-31,2022-12-31,OPEN,1608665.015,950624,07/18/2022,"Walmart Inc.
			   2480 Geer RoadTurlock, CA 95382",702 Sw 8th St. Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,11/22/2022,,,1608665.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1608665.015
25,1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1606171.015,213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,,Initial Violations,2,,,,,2,1606171.015
26,1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1606171.015,213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,,Current Violations,2,,,,,2,1606171.015
27,1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1606171.015,213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,,Initial Penalty,"$29,004",$0,$0,$0,$0,"$29,004",1606171.015
28,1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1606171.015,213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,,Current Penalty,"$29,004",$0,$0,$0,$0,"$29,004",1606171.015
29,1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-31,2022-12-31,OPEN,1606171.015,213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1606171.015
30,1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605577.015,627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,,Initial Violations,1,,,,,1,1605577.015
31,1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605577.015,627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,,Current Violations,1,,,,,1,1605577.015
32,1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605577.015,627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,,Initial Penalty,"$12,431",$0,$0,$0,$0,"$12,431",1605577.015
33,1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605577.015,627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,,Current Penalty,"$12,431",$0,$0,$0,$0,"$12,431",1605577.015
34,1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605577.015,627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1605577.015
35,1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605398.015,213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,,Initial Violations,1,,,,,1,1605398.015
36,1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605398.015,213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,,Current Violations,1,,,,,1,1605398.015
37,1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605398.015,213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,,Initial Penalty,"$8,287",$0,$0,$0,$0,"$8,287",1605398.015
38,1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605398.015,213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,,Current Penalty,"$8,287",$0,$0,$0,$0,"$8,287",1605398.015
39,1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-31,2022-12-31,OPEN,1605398.015,213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1605398.015
40,1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-31,2022-12-31,CLOSED,1604505.015,522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,,Initial Violations,,,1,,,1,1604505.015
41,1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-31,2022-12-31,CLOSED,1604505.015,522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,,Current Violations,,,,1,,1,1604505.015
42,1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-31,2022-12-31,CLOSED,1604505.015,522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,,Initial Penalty,$0,$0,"$20,720",$0,$0,"$20,720",1604505.015
43,1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-31,2022-12-31,CLOSED,1604505.015,522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$10,360",$0,"$10,360",1604505.015
44,1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-31,2022-12-31,CLOSED,1604505.015,522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1604505.015
45,1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-31,2022-12-31,CLOSED,1602840.015,453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311.0,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,,Initial Violations,1,,,,,1,1602840.015
46,1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-31,2022-12-31,CLOSED,1602840.015,453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311.0,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,,Current Violations,,,,1,,1,1602840.015
47,1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-31,2022-12-31,CLOSED,1602840.015,453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311.0,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,,Initial Penalty,"$1,200",$0,$0,$0,$0,"$1,200",1602840.015
48,1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-31,2022-12-31,CLOSED,1602840.015,453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311.0,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,,Current Penalty,$0,$0,$0,$950,$0,$950,1602840.015
49,1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-31,2022-12-31,CLOSED,1602840.015,453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311.0,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1602840.015
50,1602445.015,06/15/2022,950615,CA,Complaint,Partial,,453998,1,Walmart Neighborhood Market,Walmart,2012-12-31,2022-12-31,CLOSED,1602445.015,950615,06/15/2022,"Walmart Neighborhood Market
			   941 Alamo DriveVacaville, CA 95687","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Health,08/24/2022,,09/12/2022,1602445.015,,,,,,,,,,Initial Violations,,,,1,,1,1602445.015
51,1602445.015,06/15/2022,950615,CA,Complaint,Partial,,453998,1,Walmart Neighborhood Market,Walmart,2012-12-31,2022-12-31,CLOSED,1602445.015,950615,06/15/2022,"Walmart Neighborhood Market
			   941 Alamo DriveVacaville, CA 95687","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Health,08/24/2022,,09/12/2022,1602445.015,,,,,,,,,,Current Violations,,,,1,,1,1602445.015
52,1602445.015,06/15/2022,950615,CA,Complaint,Partial,,453998,1,Walmart Neighborhood Market,Walmart,2012-12-31,2022-12-31,CLOSED,1602445.015,950615,06/15/2022,"Walmart Neighborhood Market
			   941 Alamo DriveVacaville, CA 95687","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Health,08/24/2022,,09/12/2022,1602445.015,,,,,,,,,,Initial Penalty,$0,$0,$0,$600,$0,$600,1602445.015
53,1602445.015,06/15/2022,950615,CA,Complaint,Partial,,453998,1,Walmart Neighborhood Market,Walmart,2012-12-31,2022-12-31,CLOSED,1602445.015,950615,06/15/2022,"Walmart Neighborhood Market
			   941 Alamo DriveVacaville, CA 95687","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Health,08/24/2022,,09/12/2022,1602445.015,,,,,,,,,,Current Penalty,$0,$0,$0,$600,$0,$600,1602445.015
