Unnamed: 0,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
10,1598901.015,05/31/2022,950621,CA,Complaint,Partial,,445110,4,Walmart Inc.,Walmart,2012-12-19,2022-12-19,OPEN,1598901.015,950621,05/31/2022,"Walmart Inc.
			   215 California StreetWoodland, CA 95695","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,,1598901.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$2,000",$0,"$2,000",1598901.015
11,1595404.015,05/12/2022,950662,CA,Planned,Complete,,452311,4,Walmart Inc. Store# 3516,Walmart,2012-12-19,2022-12-19,CLOSED,1595404.015,950662,05/12/2022,"Walmart Inc. Store# 3516
			   1360 Eastlake PkwyChula Vista, CA 91915","1360 Eastlake Pkwy, Chula Vista, CA 91915",NonUnion,,452311,Planned,Complete,N,Private,Safety,08/23/2022,P,10/07/2022,1595404.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$2,625",$0,"$2,625",1595404.015
12,1595365.015,05/09/2022,830300,ND,Referral,Partial,,452210,1,Walmart Supercenter Store #3648,Walmart,2012-12-19,2022-12-19,CLOSED,1595365.015,830300,05/09/2022,"Walmart Supercenter Store #3648
			   1400 Skyline BoulevardBismarck, ND 58503","1400 Skyline Boulevard, Bismarck, ND 58503",NonUnion,,452210,Referral,Partial,N,Private,Safety,05/09/2022,N,12/01/2022,1595365.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$8,000",$0,"$8,000",1595365.015
13,1594520.015,05/03/2022,950662,CA,Planned,Complete,,452311,1,Walmart # 4340,Walmart,2012-12-19,2022-12-19,OPEN,1594520.015,950662,05/03/2022,"Walmart  # 4340
			   13401 Main StreetHesperia, CA 92345","13401 Main Street, Hesperia, CA 92345",NonUnion,,452311,Planned,Complete,N,Private,Safety,10/24/2022,P,,1594520.015,,,,,,,,,,Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1594520.015
14,1588306.015,04/07/2022,950614,CA,Unprog Rel,Partial,,445110,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,OPEN,1588306.015,950614,04/07/2022,"Walmart Inc.
			   4501 Rosewood Dr.Pleasanton, CA 94588","4501 Rosewood Dr., Pleasanton, CA 94588",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Unprog Rel,Partial,N,Private,Safety,08/05/2022,,,1588306.015,,,,,,,,,,Current Penalty,$0,$0,$0,$420,$0,$420,1588306.015
15,1588117.015,04/05/2022,316400,WV,Referral,Partial,,452311,1,Walmart Inc. Store #2474,Walmart,2012-12-19,2022-12-19,CLOSED,1588117.015,316400,04/05/2022,"Walmart Inc. Store #2474
			   Walmart - Store #2474 Rr 4 Box 82Keyser, WV 26726",702 Sw 8th Street Mail Stop,NonUnion,,452311,Referral,Partial,N,Private,Safety,04/21/2022,,11/14/2022,1588117.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$3,500",$0,"$3,500",1588117.015
16,1587747.015,03/31/2022,452110,KY,Referral,Partial,5311.0,452112,1,64855 - Walmart Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1587747.015,452110,03/31/2022,"64855 - Walmart Inc
			   14800 Fort Campbell BlvdOak Grove, KY 42262","14800 Fort Campbell Blvd, Oak Grove, KY 42262",NonUnion,5311.0,452112/Discount Department Stores,Referral,Partial,N,Private,Safety,07/18/2022,,09/22/2022,1587747.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$2,975",$0,"$2,975",1587747.015
17,1586021.015,03/24/2022,454712,TN,Planned,Complete,,452311,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1586021.015,454712,03/24/2022,"Walmart Inc.
			   1153 Fortress BlvdMurfreesboro, TN 37128","1153 Fortress Blvd, Murfreesboro, TN 37128",NonUnion,,452311,Planned,Complete,N,Private,Safety,03/24/2022,P,07/21/2022,1586021.015,,,,,,,,,,Current Penalty,$0,$0,$0,$175,$0,$175,1586021.015
18,1583690.015,03/16/2022,950661,CA,Planned,Complete,,452311,4,Walmart Supercenter,Walmart,2012-12-19,2022-12-19,OPEN,1583690.015,950661,03/16/2022,"Walmart Supercenter
			   150 Beach RdMarina, CA 93933","150 Beach Rd, Marina, CA 93933",NonUnion,,452311,Planned,Complete,N,Private,Safety,04/29/2022,P,,1583690.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$1,725",$0,"$1,725",1583690.015
19,1583501.015,03/14/2022,1055340,WA,Referral,Partial,,452111,2,Wa317967940 - Walmart Associates Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1583501.015,1055340,03/14/2022,"Wa317967940 - Walmart Associates Inc
			   1601 Nw Louisiana AveChehalis, WA 98532","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,06/02/2022,,11/14/2022,1583501.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1583501.015
20,1580712.015,02/28/2022,626300,TX,Planned,Complete,,445110,1,"Walmart Neighborhood Market, Store #4046",Walmart,2012-12-19,2022-12-19,CLOSED,1580712.015,626300,02/28/2022,"Walmart Neighborhood Market, Store #4046
			   1855 S. Garland Ave.Garland, TX 75040","1855 S. Garland Ave., Garland, TX 75040",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/28/2022,P,05/23/2022,1580712.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$1,000",$0,"$1,000",1580712.015
21,1579336.015,02/16/2022,418300,AL,Referral,Partial,,452311,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1579336.015,418300,02/16/2022,"Walmart Inc.
			   209 Lakeshore ParkwayHomewood, AL 35209","2608 Se J Street, Bentonville, AR 72716",NonUnion,,452311,Referral,Partial,N,Private,Safety,02/16/2022,,07/15/2022,1579336.015,143905.015,02/08/2022,Employee Suffers Cervical Fracture When Struck By Customer'S,Birmingham, ,"At 8:12 a.m. on February 8, 2022, an employee was fixing a pothole.  The employe e was struck by a vehicle being driven by a customer.  The employee was hospital ized for treatment of a cervical fracture.","fracture, motor vehicle, neck, traffic accident",,,Current Penalty,"$12,431",$0,$0,$0,$0,"$12,431",1579336.015
22,1577014.015,02/09/2022,317300,DE,Complaint,Partial,,452210,5,Walmart #2419,Walmart,2012-12-19,2022-12-19,OPEN,1577014.015,317300,02/09/2022,"Walmart #2419
			   18922 Rehoboth Mall BlvdRehoboth Beach, DE 19971",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,02/09/2022,,,1577014.015,,,,,,,,,,Current Penalty,"$60,081",$0,$0,$0,$0,"$60,081",1577014.015
23,1576433.015,02/04/2022,953220,NV,Referral,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,OPEN,1576433.015,953220,02/04/2022,"Walmart Inc.
			   6005 South Eastern AvenueLas Vegas, NV 89119","6005 South Eastern Avenue, Las Vegas, NV 89119",NonUnion,,452210,Referral,Partial,N,Private,Safety,03/23/2022,,,1576433.015,144811.015,01/27/2022,Employee Falls From Ladder Cart And Fractures Leg,Nevada Las Vegas, ,"At 3:30 a.m. on January 27, 2022, an employee was using a ladder and stair cart to stock shelves with product when she lost her balance and fell from the top st ep of the ladder to the floor. The employee was hospitalized to treat a fracture to her left leg.","blunt force, blunt force trauma, department store, fall, fall from elevation, floor, fracture, ladder, leg, lost balance, stocking","The following inspection has not been indicated as closed. Please be aware that the information shown may change, e.g. violations may be added or deleted.  For open cases, in which a citation has been issued, the citation information may not be available for 5 days following receipt by the employer for Federal inspections or for 30 days following receipt by the employer for State inspections.",,Current Penalty,"$6,632",$0,$0,$0,$0,"$6,632",1576433.015
24,1574684.015,01/25/2022,213100,NY,Complaint,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-19,2022-12-19,CLOSED,1574684.015,213100,01/25/2022,"Walmart Supercenter
			   139 Merchant PlaceCobleskill, NY 12043",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,01/25/2022,,08/11/2022,1574684.015,,,,,,,,,,Current Penalty,$0,$0,$0,$872,$0,$872,1574684.015
25,1575572.015,01/24/2022,950662,CA,Planned,Complete,,493110,3,Walmart Inc,Walmart,2012-12-19,2022-12-19,OPEN,1575572.015,950662,01/24/2022,"Walmart Inc
			   1600 Agua Mansa RoadColton, CA 92324","1600 Agua Mansa Road, Colton, CA 92324",NonUnion,,493110/General Warehousing and Storage,Planned,Complete,N,Private,Safety,07/14/2022,P,,1575572.015,,,,,,,,,,Current Penalty,"$3,375",$0,$0,$370,$0,"$3,745",1575572.015
26,1570673.015,12/31/2021,950624,CA,Complaint,Partial,,424410,2,Walmart Inc.,Walmart,2012-12-19,2022-12-19,OPEN,1570673.015,950624,12/31/2021,"Walmart Inc.
			   800 Commerce AveAtwater, CA 95301","702 Sw 8th St. Mail Stop 0505, Bentonville, AR 72716",NonUnion,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,04/13/2022,,,1570673.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$1,200",$0,"$1,200",1570673.015
27,1569555.015,12/20/2021,854910,UT,Complaint,Partial,,445110,2,Walmart Supercenter,Walmart,2012-12-19,2022-12-19,OPEN,1569555.015,854910,12/20/2021,"Walmart Supercenter
			   7250 Union Park AvenueMidvale, UT 84047","702 Sw 8th Street, Ms",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,01/10/2022,,,1569555.015,,,,,,,,,,Current Penalty,"$10,000",$0,$0,$0,$0,"$10,000",1569555.015
28,1569761.015,12/17/2021,950632,CA,Complaint,Partial,,452311,4,Walmart Inc. Store #2245,Walmart,2012-12-19,2022-12-19,OPEN,1569761.015,950632,12/17/2021,"Walmart Inc.  Store #2245
			   705 College BlvdOceanside, CA 92057",702 Sw 8th Street Mail Stop,NonUnion,,452311,Complaint,Partial,N,Private,Health,06/17/2022,,,1569761.015,,,,,,,,,,Current Penalty,"$18,000",$0,$0,"$5,800",$0,"$23,800",1569761.015
29,1568886.015,12/15/2021,213100,NY,Complaint,Partial,,493110,1,Walmart Dc #6041,Walmart,2012-12-19,2022-12-19,OPEN,1568886.015,213100,12/15/2021,"Walmart Dc #6041
			   721 U.S. 20Sharon Springs, NY 13459","721 U.S. 20, Sharon Springs, NY 13459",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,12/15/2021,N,,1568886.015,,,,,,,,,,Current Penalty,"$7,044",$0,$0,$0,$0,"$7,044",1568886.015
30,1568859.015,12/15/2021,257230,PR,Referral,Partial,,442110,1,Walmart Supercenter #2423,Walmart,2012-12-19,2022-12-19,CLOSED,1568859.015,257230,12/15/2021,"Walmart Supercenter #2423
			   Plaza Escorial Carr. #3 Km. 6.8 Bo. San AntonCarolina, PR 00987","Pmb 725 P O Box 4960, Caguas, PR 00726",NonUnion,,442110/Furniture Stores,Referral,Partial,N,Private,Safety,12/15/2021,,02/22/2022,1568859.015,,,,,,,,,,Current Penalty,$0,$0,$0,$850,$0,$850,1568859.015
31,1567532.015,12/09/2021,522000,OH,Referral,Partial,,452311,1,Walmart Stores East Lp,Walmart,2012-12-19,2022-12-19,CLOSED,1567532.015,522000,12/09/2021,"Walmart Stores East Lp
			   1300 E Ash StreetPiqua, OH 45356",702 Sw 8th Street Mail Stop 0505 Attn,NonUnion,,452311,Referral,Partial,N,Private,Safety,12/09/2021,L,06/22/2022,1567532.015,141792.015,12/02/2021,Employee Fractures Tibia In Fall From Upper Level Of Auto Ba,Cincinnati, ,"At 3:15 p.m. on December 2, 2021, an employee and his coworker were changing oil on a customer's vehicle.  The employee was working on the upper level of the ba y while his coworker was in the pit below.  The employee stepped on red grate an d the grating shifted because one of the bolts holding it in place had sheared o ff. The employee fell approximately 7 feet to the lower-level floor grating, fra cturing his right tibia. The employee was hospitalized.  His coworker was struck in the back of his head by the falling red grate but stated that he was uninjur ed and did not require medical treatment.","auto lift, fall, fall from elevation, floor grate, fracture, tibia, walking surface",,,Current Penalty,$0,$0,$0,"$7,250",$0,"$7,250",1567532.015
32,1567394.015,12/08/2021,522000,OH,Referral,Partial,,452311,1,"Walmart, Inc.",Walmart,2012-12-19,2022-12-19,OPEN,1567394.015,522000,12/08/2021,"Walmart, Inc.
			   1400 Old Chillicothe Road SoutheastWashington Court House, OH 43160","1400 Old Chillicothe Road Southeast, Washington Court House, OH 43160",NonUnion,,452311,Referral,Partial,N,Private,Safety,03/23/2022,L,,1567394.015,141717.015,12/01/2021,Employee Suffers Multiple Injuries When Struck By Falling Cr,Cincinnati, ,"At 3:30 p.m. on December 1, 2021, an employee was picking crates of meat for del ivery from pallets under a racking system. While the employee was picking the or der, a coworker on the other side of the rack nudged the pallet directly above t he employee causing an unsecured crate to fall. The employee was hospitalized to treat a scalp laceration, an ankle fracture, and a fractured cervical vertebra.","ankle, blunt force, blunt force trauma, crate, falling object, fracture, head, laceration, order-picker , picking an order, struck by, unsecured, vertebra","The following inspection has not been indicated as closed. Please be aware that the information shown may change, e.g. violations may be added or deleted.  For open cases, in which a citation has been issued, the citation information may not be available for 5 days following receipt by the employer for Federal inspections or for 30 days following receipt by the employer for State inspections.",,Current Penalty,"$13,559",$0,$0,$0,$0,"$13,559",1567394.015
33,1568294.015,12/08/2021,454510,SC,Complaint,Partial,5399.0,452910,1,75253 - Walmart 0629,Walmart,2012-12-19,2022-12-19,OPEN,1568294.015,454510,12/08/2021,"75253 - Walmart 0629
			   513 N Duncan BypassUnion, SC 29379","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,5399.0,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,02/07/2022,,,1568294.015,,,,,,,,,,Current Penalty,"$4,500",$0,$0,$0,$0,"$4,500",1568294.015
34,1565956.015,11/29/2021,950661,CA,Planned,Complete,,452311,4,Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1565956.015,950661,11/29/2021,"Walmart Inc.
			   7011 Main StreetAmerican Canyon, CA 94503","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452311,Planned,Complete,N,Private,Safety,04/08/2022,P,12/01/2022,1565956.015,,,,,,,,,,Current Penalty,$0,$0,$0,$955,$0,$955,1565956.015
35,1566012.015,11/29/2021,1055330,WA,Complaint,Partial,,452990,1,Wa317966457 - Walmart Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1566012.015,1055330,11/29/2021,"Wa317966457 - Walmart Inc
			   7001 Bridgeport Way WestLakewood, WA 98499","702 Southwest 8th St Ms 0695, Bentonville, AR 72712",NonUnion,,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,12/17/2021,,11/14/2022,1566012.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$2,200",$0,"$2,200",1566012.015
36,1567500.015,11/16/2021,1055340,WA,Complaint,Partial,,452111,1,Wa317966453 - Walmart Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1567500.015,1055340,11/16/2021,"Wa317966453 - Walmart Inc
			   17100 Sr 507 EYelm, WA 98597","702 Southwest 8th St Ms 0695, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,11/16/2021,,10/10/2022,1567500.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$3,000",$0,"$3,000",1567500.015
37,1562904.015,11/09/2021,1055330,WA,Referral,Partial,,452111,1,Wa317966370 - Walmart Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1562904.015,1055330,11/09/2021,"Wa317966370 - Walmart Inc
			   16502 Meridan Ave EastPuyallup, WA 98375","702 Southwest 8th St Ms 0695, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,11/09/2021,,08/31/2022,1562904.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1562904.015
38,1562563.015,11/03/2021,950662,CA,Planned,Complete,,445110,1,Walmart Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1562563.015,950662,11/03/2021,"Walmart Inc
			   859 West Florida AvenueHemet, CA 92543","859 West Florida Avenue, Hemet, CA 92543",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Safety,01/18/2022,P,02/07/2022,1562563.015,,,,,,,,,,Current Penalty,$0,$0,$0,$185,$0,$185,1562563.015
39,1561852.015,11/03/2021,830100,MT,Planned,Complete,,811111,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1561852.015,830100,11/03/2021,"Walmart Inc.
			   3205 Stower St.Miles City, MT 59301","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,811111/General Automotive Repair,Planned,Complete,N,Private,Health,11/03/2021,P,03/22/2022,1561852.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1561852.015
40,1559888.015,10/21/2021,950643,CA,Accident,Partial,,452210,3,"Walmart Stores, Inc.",Walmart,2012-12-19,2022-12-19,OPEN,1559888.015,950643,10/21/2021,"Walmart Stores, Inc.
			   2001 North Rose Ave.Oxnard, CA 93036","2001 North Rose Ave., Oxnard, CA 93036",NonUnion,,452210,Accident,Partial,N,Private,Health,12/16/2021,,,1559888.015,,,,,,,,,,Current Penalty,$0,$0,"$50,000",$210,$0,"$50,210",1559888.015
41,1556919.015,10/07/2021,524530,IL,Complaint,Partial,,453998,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1556919.015,524530,10/07/2021,"Walmart Inc.
			   961 N Market StWaterloo, IL 62298","961 N Market St, Waterloo, IL 62298",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Safety,10/07/2021,,02/14/2022,1556919.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1556919.015
42,1555579.015,09/24/2021,1055320,WA,Complaint,Partial,,452111,1,Wa317965884 - Walmart Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1555579.015,1055320,09/24/2021,"Wa317965884 - Walmart Inc
			   12620 Se 41st PlBellevue, WA 98006","702 Southwest 8th St Ms 0505, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,09/30/2021,,03/02/2022,1555579.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1555579.015
43,1549823.015,08/26/2021,317000,PA,Referral,Partial,,452210,1,"Walmart Associates, Inc.",Walmart,2012-12-19,2022-12-19,CLOSED,1549823.015,317000,08/26/2021,"Walmart Associates, Inc.
			   1675 South Christopher Columbus BoulevardPhiladelphia, PA 19148","702 Southwest 8th Street, Bentonville, AR 72716",NonUnion,,452210,Referral,Partial,N,Private,Safety,08/26/2021,,04/14/2022,1549823.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$7,770",$0,"$7,770",1549823.015
44,1547108.015,08/11/2021,420600,FL,Referral,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1547108.015,420600,08/11/2021,"Walmart Inc.
			   6785 Sw Enterprise Blvd Walmart Distribution Center 7023Arcadia, FL 34269","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452210,Referral,Partial,N,Private,Safety,08/11/2021,L,01/14/2022,1547108.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$13,653",$0,"$13,653",1547108.015
45,1546084.015,08/05/2021,1055330,WA,Complaint,Partial,,452111,3,Wa317965162 - Walmart Associates Inc,Walmart,2012-12-19,2022-12-19,OPEN,1546084.015,1055330,08/05/2021,"Wa317965162 - Walmart Associates Inc
			   310 31st Ave SePuyallup, WA 98371","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,08/19/2021,,,1546084.015,,,,,,,,,,Current Penalty,"$3,600",$0,$0,$0,$0,"$3,600",1546084.015
46,1545765.015,08/05/2021,1050210,AK,Complaint,Partial,,452311,2,Walmart Supercenter #2722,Walmart,2012-12-19,2022-12-19,CLOSED,1545765.015,1050210,08/05/2021,"Walmart Supercenter #2722
			   537 Johansen ExpyFairbanks, AK 99701","537 Johansen Expy, Fairbanks, AK 99701",NonUnion,,452311,Complaint,Partial,N,Private,Safety,08/05/2021,,10/11/2021,1545765.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1545765.015
47,1546860.015,07/26/2021,355118,VA,Complaint,Partial,,452210,1,Walmart Inc. #1301,Walmart,2012-12-19,2022-12-19,CLOSED,1546860.015,355118,07/26/2021,"Walmart Inc. #1301
			   5350 Clearbrook Village LaneRoanoke, VA 24014","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,452210,Complaint,Partial,N,Private,Safety,07/26/2021,,11/30/2021,1546860.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1546860.015
48,1542614.015,07/16/2021,1055330,WA,Complaint,Partial,,452111,1,Wa317964869 - Walmart Associates Inc,Walmart,2012-12-19,2022-12-19,CLOSED,1542614.015,1055330,07/16/2021,"Wa317964869 - Walmart Associates Inc
			   19205 Rte 410 Store #5041Bonney Lake, WA 98391","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/16/2021,,05/03/2022,1542614.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1542614.015
