Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC,NAICS,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide
OPEN,1594520.015,0950662,05/03/2022,"Walmart  # 4340
			   13401 Main StreetHesperia, CA 92345","13401 Main Street, Hesperia, CA 92345",NonUnion,,452311,Planned,Complete,N,Private,Safety,10/24/2022,P,,1594520.015,,,,,,,,,
OPEN,1588306.015,0950614,04/07/2022,"Walmart Inc.
			   4501 Rosewood Dr.Pleasanton, CA 94588","4501 Rosewood Dr., Pleasanton, CA 94588",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Unprog Rel,Partial,N,Private,Safety,08/05/2022,,,1588306.015,,,,,,,,,
CLOSED,1588117.015,0316400,04/05/2022,"Walmart Inc. Store #2474
			   Walmart - Store #2474 Rr 4 Box 82Keyser, WV 26726",702 Sw 8th Street Mail Stop,NonUnion,,452311,Referral,Partial,N,Private,Safety,04/21/2022,,11/14/2022,1588117.015,,,,,,,,,
CLOSED,1587747.015,0452110,03/31/2022,"64855 - Walmart Inc
			   14800 Fort Campbell BlvdOak Grove, KY 42262","14800 Fort Campbell Blvd, Oak Grove, KY 42262",NonUnion,5311,452112/Discount Department Stores,Referral,Partial,N,Private,Safety,07/18/2022,,09/22/2022,1587747.015,,,,,,,,,
CLOSED,1586021.015,0454712,03/24/2022,"Walmart Inc.
			   1153 Fortress BlvdMurfreesboro, TN 37128","1153 Fortress Blvd, Murfreesboro, TN 37128",NonUnion,,452311,Planned,Complete,N,Private,Safety,03/24/2022,P,07/21/2022,1586021.015,,,,,,,,,
OPEN,1583690.015,0950661,03/16/2022,"Walmart Supercenter
			   150 Beach RdMarina, CA 93933","150 Beach Rd, Marina, CA 93933",NonUnion,,452311,Planned,Complete,N,Private,Safety,04/29/2022,P,,1583690.015,,,,,,,,,
CLOSED,1583501.015,1055340,03/14/2022,"Wa317967940 - Walmart Associates Inc
			   1601 Nw Louisiana AveChehalis, WA 98532","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,06/02/2022,,11/14/2022,1583501.015,,,,,,,,,
CLOSED,1580712.015,0626300,02/28/2022,"Walmart Neighborhood Market, Store #4046
			   1855 S. Garland Ave.Garland, TX 75040","1855 S. Garland Ave., Garland, TX 75040",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Health,02/28/2022,P,05/23/2022,1580712.015,,,,,,,,,
CLOSED,1579336.015,0418300,02/16/2022,"Walmart Inc.
			   209 Lakeshore ParkwayHomewood, AL 35209","2608 Se J Street, Bentonville, AR 72716",NonUnion,,452311,Referral,Partial,N,Private,Safety,02/16/2022,,07/15/2022,1579336.015,143905.015,02/08/2022,Employee Suffers Cervical Fracture When Struck By Customer'S,Birmingham, ,"At 8:12 a.m. on February 8, 2022, an employee was fixing a pothole.  The employe e was struck by a vehicle being driven by a customer.  The employee was hospital ized for treatment of a cervical fracture.","fracture, motor vehicle, neck, traffic accident",,
OPEN,1577014.015,0317300,02/09/2022,"Walmart #2419
			   18922 Rehoboth Mall BlvdRehoboth Beach, DE 19971",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,02/09/2022,,,1577014.015,,,,,,,,,
OPEN,1576433.015,0953220,02/04/2022,"Walmart Inc.
			   6005 South Eastern AvenueLas Vegas, NV 89119","6005 South Eastern Avenue, Las Vegas, NV 89119",NonUnion,,452210,Referral,Partial,N,Private,Safety,03/23/2022,,,1576433.015,144811.015,01/27/2022,Employee Falls From Ladder Cart And Fractures Leg,Nevada Las Vegas, ,"At 3:30 a.m. on January 27, 2022, an employee was using a ladder and stair cart to stock shelves with product when she lost her balance and fell from the top st ep of the ladder to the floor. The employee was hospitalized to treat a fracture to her left leg.","blunt force, blunt force trauma, department store, fall, fall from elevation, floor, fracture, ladder, leg, lost balance, stocking","The following inspection has not been indicated as closed. Please be aware that the information shown may change, e.g. violations may be added or deleted.  For open cases, in which a citation has been issued, the citation information may not be available for 5 days following receipt by the employer for Federal inspections or for 30 days following receipt by the employer for State inspections.",
CLOSED,1574684.015,0213100,01/25/2022,"Walmart Supercenter
			   139 Merchant PlaceCobleskill, NY 12043",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,01/25/2022,,08/11/2022,1574684.015,,,,,,,,,
OPEN,1575572.015,0950662,01/24/2022,"Walmart Inc
			   1600 Agua Mansa RoadColton, CA 92324","1600 Agua Mansa Road, Colton, CA 92324",NonUnion,,493110/General Warehousing and Storage,Planned,Complete,N,Private,Safety,07/14/2022,P,,1575572.015,,,,,,,,,
OPEN,1570673.015,0950624,12/31/2021,"Walmart Inc.
			   800 Commerce AveAtwater, CA 95301","702 Sw 8th St. Mail Stop 0505, Bentonville, AR 72716",NonUnion,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,04/13/2022,,,1570673.015,,,,,,,,,
OPEN,1569555.015,0854910,12/20/2021,"Walmart Supercenter
			   7250 Union Park AvenueMidvale, UT 84047","702 Sw 8th Street, Ms",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,01/10/2022,,,1569555.015,,,,,,,,,
OPEN,1569761.015,0950632,12/17/2021,"Walmart Inc.  Store #2245
			   705 College BlvdOceanside, CA 92057",702 Sw 8th Street Mail Stop,NonUnion,,452311,Complaint,Partial,N,Private,Health,06/17/2022,,,1569761.015,,,,,,,,,
CLOSED,1568859.015,0257230,12/15/2021,"Walmart Supercenter #2423
			   Plaza Escorial Carr. #3 Km. 6.8 Bo. San AntonCarolina, PR 00987","Pmb 725 P O Box 4960, Caguas, PR 00726",NonUnion,,442110/Furniture Stores,Referral,Partial,N,Private,Safety,12/15/2021,,02/22/2022,1568859.015,,,,,,,,,
OPEN,1568886.015,0213100,12/15/2021,"Walmart Dc #6041
			   721 U.S. 20Sharon Springs, NY 13459","721 U.S. 20, Sharon Springs, NY 13459",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,12/15/2021,N,,1568886.015,,,,,,,,,
CLOSED,1567532.015,0522000,12/09/2021,"Walmart Stores East Lp
			   1300 E Ash StreetPiqua, OH 45356",702 Sw 8th Street Mail Stop 0505 Attn,NonUnion,,452311,Referral,Partial,N,Private,Safety,12/09/2021,L,06/22/2022,1567532.015,141792.015,12/02/2021,Employee Fractures Tibia In Fall From Upper Level Of Auto Ba,Cincinnati, ,"At 3:15 p.m. on December 2, 2021, an employee and his coworker were changing oil on a customer's vehicle.  The employee was working on the upper level of the ba y while his coworker was in the pit below.  The employee stepped on red grate an d the grating shifted because one of the bolts holding it in place had sheared o ff. The employee fell approximately 7 feet to the lower-level floor grating, fra cturing his right tibia. The employee was hospitalized.  His coworker was struck in the back of his head by the falling red grate but stated that he was uninjur ed and did not require medical treatment.","auto lift, fall, fall from elevation, floor grate, fracture, tibia, walking surface",,
OPEN,1567394.015,0522000,12/08/2021,"Walmart, Inc.
			   1400 Old Chillicothe Road SoutheastWashington Court House, OH 43160","1400 Old Chillicothe Road Southeast, Washington Court House, OH 43160",NonUnion,,452311,Referral,Partial,N,Private,Safety,03/23/2022,L,,1567394.015,141717.015,12/01/2021,Employee Suffers Multiple Injuries When Struck By Falling Cr,Cincinnati, ,"At 3:30 p.m. on December 1, 2021, an employee was picking crates of meat for del ivery from pallets under a racking system. While the employee was picking the or der, a coworker on the other side of the rack nudged the pallet directly above t he employee causing an unsecured crate to fall. The employee was hospitalized to treat a scalp laceration, an ankle fracture, and a fractured cervical vertebra.","ankle, blunt force, blunt force trauma, crate, falling object, fracture, head, laceration, order-picker , picking an order, struck by, unsecured, vertebra","The following inspection has not been indicated as closed. Please be aware that the information shown may change, e.g. violations may be added or deleted.  For open cases, in which a citation has been issued, the citation information may not be available for 5 days following receipt by the employer for Federal inspections or for 30 days following receipt by the employer for State inspections.",
OPEN,1568294.015,0454510,12/08/2021,"75253 - Walmart 0629
			   513 N Duncan BypassUnion, SC 29379","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,5399,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,02/07/2022,,,1568294.015,,,,,,,,,
CLOSED,1565956.015,0950661,11/29/2021,"Walmart Inc.
			   7011 Main StreetAmerican Canyon, CA 94503","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452311,Planned,Complete,N,Private,Safety,04/08/2022,P,12/01/2022,1565956.015,,,,,,,,,
CLOSED,1566012.015,1055330,11/29/2021,"Wa317966457 - Walmart Inc
			   7001 Bridgeport Way WestLakewood, WA 98499","702 Southwest 8th St Ms 0695, Bentonville, AR 72712",NonUnion,,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,12/17/2021,,11/14/2022,1566012.015,,,,,,,,,
CLOSED,1567500.015,1055340,11/16/2021,"Wa317966453 - Walmart Inc
			   17100 Sr 507 EYelm, WA 98597","702 Southwest 8th St Ms 0695, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,11/16/2021,,10/10/2022,1567500.015,,,,,,,,,
CLOSED,1562904.015,1055330,11/09/2021,"Wa317966370 - Walmart Inc
			   16502 Meridan Ave EastPuyallup, WA 98375","702 Southwest 8th St Ms 0695, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,11/09/2021,,08/31/2022,1562904.015,,,,,,,,,
CLOSED,1561852.015,0830100,11/03/2021,"Walmart Inc.
			   3205 Stower St.Miles City, MT 59301","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,811111/General Automotive Repair,Planned,Complete,N,Private,Health,11/03/2021,P,03/22/2022,1561852.015,,,,,,,,,
CLOSED,1562563.015,0950662,11/03/2021,"Walmart Inc
			   859 West Florida AvenueHemet, CA 92543","859 West Florida Avenue, Hemet, CA 92543",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Complete,N,Private,Safety,01/18/2022,P,02/07/2022,1562563.015,,,,,,,,,
OPEN,1559888.015,0950643,10/21/2021,"Walmart Stores, Inc.
			   2001 North Rose Ave.Oxnard, CA 93036","2001 North Rose Ave., Oxnard, CA 93036",NonUnion,,452210,Accident,Partial,N,Private,Health,12/16/2021,,,1559888.015,,,,,,,,,
CLOSED,1556919.015,0524530,10/07/2021,"Walmart Inc.
			   961 N Market StWaterloo, IL 62298","961 N Market St, Waterloo, IL 62298",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Safety,10/07/2021,,02/14/2022,1556919.015,,,,,,,,,
CLOSED,1555579.015,1055320,09/24/2021,"Wa317965884 - Walmart Inc
			   12620 Se 41st PlBellevue, WA 98006","702 Southwest 8th St Ms 0505, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,09/30/2021,,03/02/2022,1555579.015,,,,,,,,,
CLOSED,1549823.015,0317000,08/26/2021,"Walmart Associates, Inc.
			   1675 South Christopher Columbus BoulevardPhiladelphia, PA 19148","702 Southwest 8th Street, Bentonville, AR 72716",NonUnion,,452210,Referral,Partial,N,Private,Safety,08/26/2021,,04/14/2022,1549823.015,,,,,,,,,
CLOSED,1547108.015,0420600,08/11/2021,"Walmart Inc.
			   6785 Sw Enterprise Blvd Walmart Distribution Center 7023Arcadia, FL 34269","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452210,Referral,Partial,N,Private,Safety,08/11/2021,L,01/14/2022,1547108.015,,,,,,,,,
CLOSED,1545765.015,1050210,08/05/2021,"Walmart Supercenter #2722
			   537 Johansen ExpyFairbanks, AK 99701","537 Johansen Expy, Fairbanks, AK 99701",NonUnion,,452311,Complaint,Partial,N,Private,Safety,08/05/2021,,10/11/2021,1545765.015,,,,,,,,,
CLOSED,1546084.015,1055330,08/05/2021,"Wa317965162 - Walmart Associates Inc
			   310 31st Ave SePuyallup, WA 98371","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,08/19/2021,,01/09/2023,1546084.015,,,,,,,,,
CLOSED,1546860.015,0355118,07/26/2021,"Walmart Inc. #1301
			   5350 Clearbrook Village LaneRoanoke, VA 24014","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,452210,Complaint,Partial,N,Private,Safety,07/26/2021,,11/30/2021,1546860.015,,,,,,,,,
CLOSED,1542614.015,1055330,07/16/2021,"Wa317964869 - Walmart Associates Inc
			   19205 Rte 410 Store #5041Bonney Lake, WA 98391","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/16/2021,,05/03/2022,1542614.015,,,,,,,,,
CLOSED,1542038.015,0627100,07/15/2021,"Walmart Inc.
			   304 S Rockwood Dr.Cabot, AR 72023","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Safety,07/15/2021,P,05/03/2022,1542038.015,,,,,,,,,
CLOSED,1541266.015,0751910,07/12/2021,"Walmart Supercenter
			   324 West Agency RoadWest Burlington, IA 52655","324 West Agency Road, West Burlington, IA 52655",NonUnion,,452311,Complaint,Partial,N,Private,Health,07/12/2021,,02/28/2022,1541266.015,,,,,,,,,
OPEN,1540203.015,0215800,06/30/2021,"Walmart, Inc
			   1860 N RdWaterloo, NY 13165","1860 N Rd, Waterloo, NY 13165",NonUnion,,452210,Referral,Partial,N,Private,Safety,06/30/2021,N,,1540203.015,,,,,,,,,
OPEN,1537489.015,0454715,06/22/2021,"Walmart Inc.
			   175 Ji Bell LaneSavannah, TN 38372","175 Ji Bell Lane, Savannah, TN 38372",NonUnion,,452319,Referral,Partial,N,Private,Safety,06/22/2021,,,1537489.015,,,,,,,,,
OPEN,1533954.015,0950621,05/26/2021,"Walmart Inc.
			   15960 Dam RdClearlake, CA 95422","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Accident,Partial,N,Private,Safety,08/23/2021,,,1533954.015,,,,,,,,,
OPEN,1532844.015,0950621,05/25/2021,"Walmart Neighborhood Market
			   215 California St.Woodland, CA 95695","215 California Street, Woodland, CA 95695",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Health,09/21/2021,,,1532844.015,,,,,,,,,
CLOSED,1531780.015,0418300,05/13/2021,"Walmart, Inc.
			   165 Vaughan LanePell City, AL 35125","165 Vaughan Lane, Pell City, AL 35125",NonUnion,,452311,Complaint,Partial,N,Private,Safety,11/02/2021,,01/27/2022,1531780.015,,,,,,,,,
CLOSED,1526112.015,0854910,04/20/2021,"Walmart Supercenter Store #4689
			   4689 W Cedar Hills DriveCedar Hills, UT 84062","702 Sw 8th Street Mail Stop 0505, Attn",NonUnion,,452311,Accident,Partial,N,Private,Safety,05/18/2021,,11/17/2021,1526112.015,,,,,,,,,
CLOSED,1525850.015,1055360,04/19/2021,"Wa317963616 - Walmart Associates Inc
			   810 N Hwy 395Colville, WA 99114",702 Sw 8th Street Ms,NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Health,06/10/2021,,05/20/2022,1525850.015,,,,,,,,,
CLOSED,1522022.015,0551800,03/26/2021,"111763 - Walmart
			   5780 Franklin StTrail Creek, IN 46360","5780 Franklin Street, Trail Creek, IN 46360",NonUnion,5311,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,04/16/2021,,05/09/2022,1522022.015,,,,,,,,,
OPEN,1517051.015,0950644,03/01/2021,"Walmart Associates Inc.
			   6750 Kimball Ave.Chino, CA 91708","6750 Kimball Ave., Chino, CA 91708",NonUnion,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,08/27/2021,,,1517051.015,,,,,,,,,
CLOSED,1514241.015,0418300,02/08/2021,"Walmart Supercenter #0766
			   3100 Hough RoadFlorence, AL 35630","3100 Hough Road, Florence, AL 35630",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,02/09/2021,,09/08/2021,1514241.015,,,,,,,,,
OPEN,1512248.015,0950621,01/29/2021,"Walmart Inc.
			   15960 Dam RdClearlake, CA 95422","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Health,06/17/2021,,,1512248.015,,,,,,,,,
CLOSED,1508123.015,0355114,12/29/2020,"Walmart Inc.
			   1181 Lee HwyFairfax, VA 22030","1181 Lee Hwy, Fairfax, VA 22030",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Safety,12/30/2020,P,04/16/2021,1508123.015,,,,,,,,,
OPEN,1507787.015,0950411,12/22/2020,"Walmart Store #1324
			   100 W White Park DrNogales, AZ 85621","100 W White Park Dr, Nogales, AZ 85621",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,12/22/2020,,,1507787.015,,,,,,,,,
CLOSED,1506767.015,0418300,12/10/2020,"Walmart Stores East, Lp
			   2200 7th Avenue SwCullman, AL 35055","2200 7th Avenue Sw, Cullman, AL 35055",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,N,Private,Safety,05/11/2021,L,01/13/2022,1506767.015,,,,,,,,,
CLOSED,1505904.015,0950635,12/10/2020,"Walmart Inc.
			   2750 Carson BlvdLong Beach, CA 90808","702 Sw 8th St , Mail Stop 0505, Bentonville, AR 72716",NonUnion,,339999/All Other Miscellaneous Manufacturing,Accident,Partial,N,Private,Safety,08/10/2021,,07/07/2022,1505904.015,,,,,,,,,
CLOSED,1507604.015,0950633,12/10/2020,"Walmart
			   13401 Main StreetHesperia, CA 92345","13401 Main Street, Hesperia, CA 92345",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Health,05/05/2021,,04/06/2022,1507604.015,,,,,,,,,
CLOSED,1506018.015,0524530,12/07/2020,"Walmart, Inc.
			   1410 N Market StSparta, IL 62286",702 Sw 8th Street Mail Stop,NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Health,12/07/2020,,02/09/2021,1506018.015,,,,,,,,,
OPEN,1503964.015,0453710,11/24/2020,"146864 - Walmart Inc.
			   1550 Skibo RoadFayetteville, NC 28302","1550 Skibo Road, Fayetteville, NC 28301",NonUnion,5311,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,11/24/2020,,,1503964.015,,,,,,,,,
OPEN,1491480.015,0950633,09/05/2020,"Walmart Inc.
			   6250 Valley Springs Pkwy.Riverside, CA 92507","6250 Valley Springs Pkwy., Riverside, CA 92507",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,06/03/2021,S,,1491480.015,,,,,,,,,
CLOSED,1492165.015,1055360,09/01/2020,"Wa317960824 - Walmart Inc
			   15727 E BroadwayVeradale, WA 99037","702 Southwest 8th St Ms 0505, Bentonville, AR 72712",NonUnion,,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,09/01/2020,,04/26/2021,1492165.015,,,,,,,,,
CLOSED,1490035.015,0522300,08/27/2020,"Walmart Store 2316
			   24801 Brookpark RdNorth Olmsted, OH 44070","24801 Brookpark Rd, North Olmsted, OH 44070",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,08/27/2020,,08/16/2021,1490035.015,,,,,,,,,
OPEN,1488012.015,0452110,08/13/2020,"62975 - Walmart Store 2967
			   3450 Valley Plaza Pkwy.Villa Hills, KY 41017","3450 Valley Plaza Pkwy., Villa Hills, KY 41017",NonUnion,5411,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Health,01/29/2021,,,1488012.015,,,,,,,,,
OPEN,1487531.015,0953220,08/10/2020,"Walmart #3847
			   1120 West Pioneer Blvd.Mesquite, NV 89027","1120 West Pioneer Blvd., Mesquite, NV 89027",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Health,08/10/2020,,,1487531.015,,,,,,,,,
CLOSED,1486123.015,0418300,07/31/2020,"Walmart Inc. #3386
			   160 Springville Station BoulevardSpringville, AL 35146","702 Sw 8th Street M/S 0505, Bentonville, AR 72716",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,12/16/2020,,01/21/2021,1486123.015,,,,,,,,,
CLOSED,1485107.015,1055340,07/24/2020,"Wa317960312 - Walmart Inc
			   100 East Wallace Kneeland BlvdShelton, WA 98584","702 Southwest 8th St Ms 0505, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,08/10/2020,,05/13/2022,1485107.015,,,,,,,,,
OPEN,1485188.015,0950633,07/22/2020,"Walmart Automated Cnsolidation Center
			   1600 Agua Mansa RoadColton, CA 92324","1600 Agua Mansa Road, Colton, CA 92324",NonUnion,,493110/General Warehousing and Storage,Accident,Partial,N,Private,Safety,12/08/2020,,,1485188.015,,,,,,,,,
OPEN,1484241.015,0953220,07/20/2020,"Walmart #3473
			   4505 West Charleston Blvd.Las Vegas, NV 89102","4505 West Charleston Blvd., Las Vegas, NV 89102",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,07/20/2020,,,1484241.015,,,,,,,,,
OPEN,1483167.015,0953210,07/13/2020,"Walmart Store #3408
			   3200 Market St.Carson City, NV 89706","3200 Market St., Carson City, NV 89706",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,07/15/2020,,,1483167.015,,,,,,,,,
OPEN,1483151.015,0953210,07/13/2020,"Walmart Store #1648
			   3770 Us Hwy 395 S.Carson City, NV 89705","3770 Us Hwy 395 S., Carson City, NV 89705",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Health,07/15/2020,,,1483151.015,,,,,,,,,
OPEN,1483019.015,0953220,07/13/2020,"Walmart Neighborhood Market #5259
			   6151 West Lake Mead Blvd.Las Vegas, NV 89108","6151 West Lake Mead Blvd., Las Vegas, NV 89108",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Health,07/13/2020,,,1483019.015,,,,,,,,,
