#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
8.0,3001,Serious,19100101 B,07/18/2022,07/29/2022,"$1,000","$1,350",$0,,I - Informal Settlement,,1603155.015
1.0,01001A,Repeat,19100022 A01,11/30/2022,12/12/2022,"$113,960","$113,960",$0,,Z - Issued,,1600591.015
2.0,01001B,Repeat,19100037 A03,11/30/2022,12/12/2022,$0,$0,$0,,Z - Issued,,1600591.015
3.0,01002,Repeat,19100176 B,11/30/2022,12/12/2022,"$136,741","$136,741",$0,,Z - Issued,,1600591.015
4.0,01003,Repeat,19100303 G01,11/30/2022,12/12/2022,"$113,960","$113,960",$0,,Z - Issued,,1600591.015
1.0,1001,Serious,19100303 G01 II,07/26/2022,08/08/2022,"$2,250","$2,250",$0,,Z - Issued,,1600299.015
2.0,2001,Repeat,19100176 B,07/26/2022,08/08/2022,"$25,000","$25,000",$0,,Z - Issued,,1600299.015
3.0,3001,Other,19100157 C01,07/26/2022,,$500,$500,$0,,Z - Issued,,1600299.015
1.0,1001,Serious,19100176 B,09/15/2022,11/03/2022,$750,$750,$0,,Z - Issued,,1599843.015
2.0,1002,Serious,OAR 437-002-0022(4)(A),09/15/2022,10/20/2022,$750,$750,$0,,Z - Issued,,1599843.015
3.0,1003,Serious,19100028 B01 I,09/15/2022,06/03/2022,$750,$750,$0,,Z - Issued,,1599843.015
4.0,1004,Serious,19100023 B08,09/15/2022,06/03/2022,$750,$750,$0,,Z - Issued,,1599843.015
5.0,1005,Serious,OAR 437-001-0765(1)-2,09/15/2022,10/27/2022,$300,$300,$0,,Z - Issued,,1599843.015
1.0,1001,Serious,19100176 B,08/18/2022,09/06/2022,$300,$300,$0,,Z - Issued,,1600383.015
2.0,1002,Serious,OAR 437-001-0765(1),08/18/2022,09/06/2022,$300,$300,$0,,Z - Issued,,1600383.015
1.0,1001,Repeat,19100176 B,09/30/2022,10/04/2022,"$26,500","$30,000",$0,,I - Informal Settlement,,1600021.015
2.0,2001,Repeat,19100022 A01,09/30/2022,10/04/2022,"$2,500","$3,000",$0,,I - Informal Settlement,,1600021.015
3.0,2002,Repeat,19100303 G01,09/30/2022,10/04/2022,"$7,000","$7,500",$0,,I - Informal Settlement,,1600021.015
4.0,3001,Serious,19100037 A03,09/30/2022,10/04/2022,"$4,000","$4,500",$0,,I - Informal Settlement,,1600021.015
1.0,1001,Serious,19100176 B,07/05/2022,07/22/2022,"$4,844","$6,920",$0,,I - Informal Settlement,,1598846.015
1.0,1001,Serious,19100037 B01,09/19/2022,,"$2,486","$2,486",$0,,Z - Issued,,1607064.015
1.0,1001,Repeat,19100022 A01,11/21/2022,12/02/2022,"$68,371","$68,371",$0,,Z - Issued,,1597674.015
2.0,1002,Repeat,19100037 A03,11/21/2022,12/09/2022,"$113,960","$113,960",$0,,Z - Issued,,1597674.015
3.0,1003,Repeat,19100101 B,11/21/2022,12/02/2022,"$91,157","$91,157",$0,,Z - Issued,,1597674.015
4.0,1004,Repeat,19100176 B,11/21/2022,12/02/2022,"$91,157","$91,157",$0,,Z - Issued,,1597674.015
1.0,1001,Repeat,19100036 G02,06/03/2022,06/20/2022,"$25,000","$25,000",$0,,Z - Issued,,1597434.015
2.0,1002,Repeat,19100176 B,06/03/2022,06/20/2022,"$25,000","$25,000",$0,,Z - Issued,,1597434.015
1.0,1001,Other,296-800-20005,06/13/2022,05/17/2022,$0,$0,$0,,Z - Issued,,1596670.015
2.0,1002,Other,296-800-15020,06/13/2022,05/17/2022,$0,$0,$0,,Z - Issued,,1596670.015
1.0,1001,Willful,296-800-22035(4),10/25/2022,05/16/2022,"$20,720","$20,720",$0,11/09/2022,C - Contested,,1596085.015
2.0,2001,Repeat,296-880-20005(1),10/25/2022,05/16/2022,"$13,200","$13,200",$0,11/09/2022,C - Contested,,1596085.015
3.0,3001,Other,296-800-28027(2),10/25/2022,05/16/2022,$0,$0,$0,11/09/2022,C - Contested,,1596085.015
1.0,1001,Willful,296-800-22035(4),10/25/2022,05/12/2022,"$20,720","$20,720",$0,11/09/2022,C - Contested,,1595473.015
2.0,2001,Other,296-800-28027(2),10/25/2022,05/12/2022,$0,$0,$0,11/09/2022,C - Contested,,1595473.015
1.0,1001,Serious,19100176 B,07/15/2022,07/29/2022,$750,$750,$0,,Z - Issued,,1601577.015
1.0,1001,Repeat,19100176 B,08/09/2022,08/29/2022,"$43,621","$68,365",$0,,I - Informal Settlement,,1592254.015
2.0,2001,Other,19040032 A03,08/09/2022,09/07/2022,"$2,279","$2,279",$0,,I - Informal Settlement,,1592254.015
1.0,1001,Serious,19100036 D01,10/24/2022,,"$7,977","$11,396",$0,,I - Informal Settlement,,1592958.015
1.0,1001,Repeat,19100022 A01,09/20/2022,09/26/2022,"$63,810","$91,157",$0,,I - Informal Settlement,,1589562.015
2.0,1002,Repeat,19100037 A03,09/20/2022,,"$63,810","$91,157",$0,,I - Informal Settlement,,1589562.015
3.0,1003,Repeat,19100303 G01,09/20/2022,,"$63,810","$91,157",$0,,I - Informal Settlement,,1589562.015
1.0,1001,Serious,OAR 437-002-0041(5)(A),05/24/2022,06/07/2022,$750,$750,$0,,Z - Issued,,1590282.015
2.0,2002,Other,OAR 437-002-0022(4)(A),05/24/2022,06/14/2022,$300,$300,$0,,Z - Issued,,1590282.015
1.0,01001A,Repeat,19100022 A01,09/14/2022,10/11/2022,"$79,772","$113,960",$0,,I - Informal Settlement,,1587972.015
2.0,01001B,Repeat,19100176 B,09/14/2022,10/11/2022,$0,$0,$0,,I - Informal Settlement,,1587972.015
3.0,01001C,Repeat,19100176 C,09/14/2022,10/11/2022,$0,$0,$0,,I - Informal Settlement,,1587972.015
4.0,01002,Repeat,19100037 A03,09/14/2022,10/11/2022,"$63,810","$91,157",$0,,I - Informal Settlement,,1587972.015
5.0,01003,Repeat,19100303 G01,09/14/2022,10/11/2022,"$63,810","$91,157",$0,,I - Informal Settlement,,1587972.015
6.0,02001,Other,19040040 A,09/14/2022,10/11/2022,$0,$0,$0,,I - Informal Settlement,,1587972.015
1.0,1001,Repeat,19100101 B,08/26/2022,09/22/2022,"$50,000","$68,365",$0,,I - Informal Settlement,,1586794.015
2.0,1002,Repeat,19101200 H01,08/26/2022,09/22/2022,"$14,000","$22,792",$0,,I - Informal Settlement,,1586794.015
1.0,1001,Serious,3999(C),08/31/2022,,"$4,725","$5,735",$0,,I - Informal Settlement,,1595108.015
2.0,2001,Repeat,3241(C),08/31/2022,,"$6,000","$15,000",$0,,I - Informal Settlement,,1595108.015
1.0,1001,Serious,3203(A),03/18/2022,04/06/2022,"$13,500","$13,500",$0,04/06/2022,C - Contested,,1580815.015
1.0,01001,Repeat,19100157 C01,05/06/2022,06/23/2022,"$47,856","$68,365",$0,,I - Informal Settlement,,1579408.015
2.0,01002A,Repeat,19100176 B,05/06/2022,06/23/2022,"$47,856","$68,365",$0,,I - Informal Settlement,,1579408.015
3.0,01002B,Repeat,19100176 C,05/06/2022,06/23/2022,$0,$0,$0,,I - Informal Settlement,,1579408.015
1.0,01001,Serious,19100305 G02 III,07/28/2022,09/01/2022,"$6,837","$6,837",$0,08/17/2022,C - Contested,,1577434.015
2.0,02001A,Willful,19100022 A01,07/28/2022,09/01/2022,"$145,027","$145,027",$0,08/17/2022,C - Contested,,1577434.015
3.0,02001B,Willful,19100037 A03,07/28/2022,09/01/2022,$0,$0,$0,08/17/2022,C - Contested,,1577434.015
4.0,02002,Willful,19100022 A02,07/28/2022,09/01/2022,"$145,027","$145,027",$0,08/17/2022,C - Contested,,1577434.015
5.0,02003,Willful,19100303 G01,07/28/2022,09/01/2022,"$136,736","$136,736",$0,08/17/2022,C - Contested,,1577434.015
6.0,03001,Repeat,19100157 C01,07/28/2022,09/01/2022,"$113,960","$113,960",$0,08/17/2022,C - Contested,,1577434.015
1.0,1001,Willful,19100022 A01,07/28/2022,09/14/2022,"$145,027","$145,027",$0,08/17/2022,C - Contested,,1575351.015
2.0,1002,Willful,19100037 A03,07/28/2022,09/14/2022,"$145,027","$145,027",$0,08/17/2022,C - Contested,,1575351.015
3.0,1003,Willful,19100176 B,07/28/2022,09/14/2022,"$145,027","$145,027",$0,08/17/2022,C - Contested,,1575351.015
4.0,1004,Willful,19100303 G01,07/28/2022,09/14/2022,"$136,736","$136,736",$0,08/17/2022,C - Contested,,1575351.015
5.0,2001,Repeat,19100157 C01,07/28/2022,09/14/2022,"$113,960","$113,960",$0,08/17/2022,C - Contested,,1575351.015
1.0,1001,Other,19040040 A,07/21/2022,08/02/2022,"$2,072","$2,072",$0,,Z - Issued,,1574059.015
1.0,1001,Repeat,19100176 B,04/08/2022,,"$117,030","$117,030",$0,05/12/2022,C - Contested,,1571248.015
2.0,2001,Serious,19100022 A01,04/08/2022,,"$12,873","$12,873",$0,05/12/2022,C - Contested,,1571248.015
3.0,3001,Other,19100157 C01,04/08/2022,,"$1,205","$1,205",$0,05/12/2022,C - Contested,,1571248.015
4.0,3002,Other,19100305 B02 I,04/08/2022,,$0,$0,$0,05/12/2022,C - Contested,,1571248.015
1.0,1001,Serious,19100151 C,06/17/2022,08/05/2022,"$7,977","$11,396",$0,,I - Informal Settlement,,1569923.015
2.0,1002,Serious,19101200 G08,06/17/2022,08/05/2022,"$7,977","$11,396",$0,,I - Informal Settlement,,1569923.015
3.0,2001,Repeat,19100037 A03,06/17/2022,,"$101,519","$145,027",$0,,I - Informal Settlement,,1569923.015
4.0,2002,Repeat,19100133 A01,06/17/2022,08/05/2022,"$39,886","$56,980",$0,,I - Informal Settlement,,1569923.015
5.0,2003,Serious,19101200 E01 I,06/17/2022,08/05/2022,"$39,886","$56,980",$0,,I - Informal Settlement,,1569923.015
6.0,2004,Repeat,19101200 H01,06/17/2022,08/05/2022,"$39,886","$56,980",$0,,I - Informal Settlement,,1569923.015
1.0,01001A,Serious,19100141 C01 I,12/17/2021,12/21/2021,"$2,700","$2,700",$0,,Z - Issued,,1568293.015
2.0,01001B,Serious,19100141 D01,12/17/2021,12/21/2021,$0,$0,$0,,Z - Issued,,1568293.015
3.0,02001,Other,19040040 A,12/17/2021,12/21/2021,$900,$900,$0,,Z - Issued,,1568293.015
1.0,1001,Other,NEVADA REVISED STATUTE 618.378(2),03/11/2022,,"$1,095","$1,095",$0,,Z - Issued,,1566768.015
1.0,1001,Serious,19100022 A03,02/01/2022,02/09/2022,"$1,350","$1,350",$0,,Z - Issued,,1566892.015
2.0,2001,Other,19100028 B11 II,02/01/2022,02/09/2022,$0,$0,$0,,Z - Issued,,1566892.015
3.0,2002,Other,19100037 A03,02/01/2022,02/09/2022,$0,$0,$0,,Z - Issued,,1566892.015
4.0,2003,Other,19100303 B02,02/01/2022,02/09/2022,$0,$0,$0,,Z - Issued,,1566892.015
5.0,2004,Other,19100304 B04 II B,02/01/2022,02/09/2022,$0,$0,$0,,Z - Issued,,1566892.015
6.0,2005,Other,19101200 H02 III,02/01/2022,03/07/2022,$0,$0,$0,,Z - Issued,,1566892.015
1.0,1001,Repeat,19100176 B,03/11/2022,04/15/2022,$300,"$7,500",$0,,I - Informal Settlement,,1567732.015
2.0,1002,Repeat,OAR 437-002-0022(4)(A),03/11/2022,04/15/2022,$700,"$10,500",$0,,I - Informal Settlement,,1567732.015
3.0,1003,Repeat,OAR 437-002-0221(4)(A),03/11/2022,04/15/2022,$700,"$3,500",$0,,I - Informal Settlement,,1567732.015
4.0,1004,Repeat,OAR 437-002-0041(5)(A),03/11/2022,04/15/2022,"$6,500","$10,500",$0,,I - Informal Settlement,,1567732.015
5.0,2005,Other,OAR 437-001-0765(6)-8,03/11/2022,04/15/2022,$0,$0,$0,,I - Informal Settlement,,1567732.015
1.0,1001,Serious,19100036 G02,12/30/2021,01/20/2022,"$12,090","$12,090",$0,,Z - Issued,,1563774.015
2.0,1002,Serious,19100157 C01,12/30/2021,01/20/2022,"$10,220","$10,220",$0,,Z - Issued,,1563774.015
1.0,01001A,Serious,19100037 A04,05/05/2022,05/17/2022,"$9,116","$9,116",$0,05/24/2022,C - Contested,,1562499.015
2.0,01001B,Serious,19100037 E,05/05/2022,05/19/2022,$0,$0,$0,05/24/2022,C - Contested,,1562499.015
3.0,02001,Willful,19100176 B,05/05/2022,05/17/2022,"$136,736","$136,736",$0,05/24/2022,C - Contested,,1562499.015
4.0,03001A,Repeat,19100037 A03,05/05/2022,05/17/2022,"$68,365","$68,365",$0,05/24/2022,C - Contested,,1562499.015
5.0,03001B,Repeat,19100176 C,05/05/2022,05/17/2022,$0,$0,$0,05/24/2022,C - Contested,,1562499.015
6.0,03001C,Repeat,19100303 G01 II,05/05/2022,05/17/2022,$0,$0,$0,05/24/2022,C - Contested,,1562499.015
7.0,03002,Repeat,19100101 B,05/05/2022,05/17/2022,"$68,365","$68,365",$0,05/24/2022,C - Contested,,1562499.015
8.0,04001,Other,19100141 A03 I,05/05/2022,05/17/2022,$0,$0,$0,05/24/2022,C - Contested,,1562499.015
9.0,04002A,Other,19100303 F02,05/05/2022,05/17/2022,$0,$0,$0,05/24/2022,C - Contested,,1562499.015
10.0,04002B,Other,19100335 B01,05/05/2022,05/17/2022,$0,$0,$0,05/24/2022,C - Contested,,1562499.015
1.0,1001,Serious,19100023 B10,11/09/2021,11/23/2021,$100,$100,$0,,Z - Issued,,1558709.015
2.0,2002,Other,19100176 B,11/09/2021,11/30/2021,$0,$0,$0,,Z - Issued,,1558709.015
3.0,2003,Other,OAR 437-002-0022(4)(A),11/09/2021,11/30/2021,$0,$0,$0,,Z - Issued,,1558709.015
1.0,01001A,Serious,19100141 A03 I,11/08/2021,11/29/2021,"$5,350","$5,350",$0,,Z - Issued,,1554234.015
2.0,01001B,Serious,19100141 D01,11/08/2021,11/29/2021,$0,$0,$0,,Z - Issued,,1554234.015
1.0,1001,Serious,19100141 A03 I,03/11/2022,03/29/2022,"$3,000","$3,000",$0,,Z - Issued,,1553912.015
2.0,2001,Other,19040029 A,03/11/2022,03/29/2022,"$7,000","$7,000",$0,,Z - Issued,,1553912.015
3.0,2002,Other,19100141 C01 I,03/11/2022,03/29/2022,$0,$0,$0,,Z - Issued,,1553912.015
1.0,1001,Serious,19100028 B02 I,10/26/2021,11/15/2021,"$12,090","$12,090",$0,,Z - Issued,,1549799.015
2.0,1002,Serious,19100030 A01,10/26/2021,11/15/2021,"$12,090","$12,090",$0,,Z - Issued,,1549799.015
1.0,1001,Serious,296-800-15030,01/27/2022,02/04/2022,"$2,200","$2,200",$0,,Z - Issued,,1549652.015
2.0,1002,Serious,296-800-16050,01/27/2022,02/04/2022,"$2,200","$2,200",$0,,Z - Issued,,1549652.015
1.0,1001,Serious,19100022 A01,11/18/2021,,"$6,632","$6,632",$0,,Z - Issued,,1557108.015
1.0,1001,Repeat,296-800-22035,01/13/2022,02/15/2022,"$69,266","$136,532",$0,02/03/2022,F - Formal Settlement,,1547315.015
1.0,1001,Repeat,19100037 A03,11/09/2021,12/07/2021,"$102,399","$136,532",$0,,I - Informal Settlement,,1546323.015
2.0,2001,Other,19100037 B05,11/09/2021,12/07/2021,$0,$0,$0,,I - Informal Settlement,,1546323.015
1.0,1001,Serious,19100022 A01,09/29/2021,10/19/2021,"$4,681","$7,802",$0,,I - Informal Settlement,,1546030.015
1.0,1001,Repeat,19100022 A01,12/07/2021,12/27/2021,"$22,000","$22,000",$0,,Z - Issued,,1542587.015
2.0,2001,Repeat,19100036 D01,12/07/2021,12/17/2021,$550,$550,$0,,Z - Issued,,1542587.015
3.0,3001,Serious,19100037 A03,12/07/2021,12/14/2021,"$3,300","$3,300",$0,,Z - Issued,,1542587.015
4.0,4001,Other,19040029 A,12/07/2021,12/27/2021,"$7,000","$7,000",$0,,Z - Issued,,1542587.015
1.0,1001,Repeat,296-800-31010(4),12/02/2021,07/02/2021,"$79,200","$79,200",$0,,Z - Issued,,1540132.015
1.0,1001,Serious,19100134 E01,09/14/2021,10/29/2021,"$2,125","$2,125",$0,,Z - Issued,,1540075.015
1.0,1001,Serious,19100176 B,09/16/2021,09/20/2021,"$2,100","$2,100",$0,,Z - Issued,,1539820.015
1.0,1001,Serious,22.8(1)(1)(SEC2),06/22/2021,07/26/2021,"$5,000","$5,000",$0,,Z - Issued,,1537367.015
2.0,2001,Other,19040040 A,06/22/2021,07/26/2021,"$1,000","$1,000",$0,,Z - Issued,,1537367.015
1.0,1001,Serious,296-865-30020(1),11/17/2021,06/15/2021,"$6,600","$6,600",$0,12/07/2021,C - Contested,,1537421.015
1.0,1001,Serious,19100176 B,08/03/2021,08/11/2021,"$2,975","$2,975",$0,,Z - Issued,,1535320.015
2.0,2001,Other,19100303 G01 II,08/03/2021,08/11/2021,$0,$0,$0,,Z - Issued,,1535320.015
1.0,1001,Serious,19100022 A01,08/27/2021,,"$2,125","$2,125",$0,,Z - Issued,,1532022.015
2.0,1002,Serious,19100037 A03,08/27/2021,,"$2,125","$2,125",$0,,Z - Issued,,1532022.015
3.0,2001,Other,19100305 A02 IX,08/27/2021,09/07/2021,$0,$0,$0,,Z - Issued,,1532022.015
1.0,01001A,Serious,19101200 E01,06/24/2021,07/28/2021,$900,$900,$0,,Z - Issued,,1532505.015
2.0,01001B,Serious,19101200 F06 II,06/24/2021,07/02/2021,$0,$0,$0,,Z - Issued,,1532505.015
3.0,01001C,Serious,19101200 G01,06/24/2021,07/02/2021,$0,$0,$0,,Z - Issued,,1532505.015
4.0,01001D,Serious,19101200 H01,06/24/2021,07/28/2021,$0,$0,$0,,Z - Issued,,1532505.015
5.0,02001,Other,19100141 C01 I,06/24/2021,,$0,$0,$0,,Z - Issued,,1532505.015
6.0,02002,Other,19101200 E01 I,06/24/2021,07/02/2021,$0,$0,$0,,Z - Issued,,1532505.015
1.0,1001,Other,296-800-22035,05/28/2021,05/06/2021,$0,$0,$0,,Z - Issued,,1530606.015
1.0,1001,Other,19101200 H01,08/25/2021,09/21/2021,$0,"$7,295",$0,09/28/2021,F - Formal Settlement,,1529043.015
2.0,2001,Repeat,19100101 B,08/25/2021,09/21/2021,"$50,784","$85,822",$0,09/28/2021,F - Formal Settlement,,1529043.015
1.0,01001A,Serious,19100022 A01,05/28/2021,06/07/2021,"$3,000","$3,000",$0,,Z - Issued,,1526058.015
2.0,01001B,Serious,19100022 A03,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
3.0,01002,Serious,19100303 B02,05/28/2021,06/07/2021,"$3,000","$3,000",$0,,Z - Issued,,1526058.015
4.0,02001,Other,19100036 D01,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
5.0,02002,Other,19100038 F01,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
6.0,02003,Other,19100132 D02,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
7.0,02004,Other,19100157 C01,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
8.0,02005,Other,19100157 E02,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
9.0,02006,Other,19100157 G02,05/28/2021,06/10/2021,$0,$0,$0,,Z - Issued,,1526058.015
10.0,02007,Other,19100303 G01 II,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
11.0,02008,Other,19101200 E01,05/28/2021,06/07/2021,$0,$0,$0,,Z - Issued,,1526058.015
1.0,01001A,Other,325.47201(3),03/26/2021,,$0,$0,$0,,Z - Issued,,1517161.015
2.0,01001B,Other,19100133 A01,03/26/2021,,$0,$0,$0,,Z - Issued,,1517161.015
1.0,1001,Repeat,3203(B)(1),08/20/2021,09/24/2021,"$1,000","$1,000",$0,,Z - Issued,,1516137.015
2.0,1002,Other,3362(F),08/20/2021,,$475,$475,$0,,Z - Issued,,1516137.015
3.0,2001,Serious,23400017 D,08/20/2021,,"$6,750","$6,750",$0,,Z - Issued,,1516137.015
1.0,1001,Repeat,19040040 A,03/03/2021,,"$4,292","$4,292",$0,,Z - Issued,,1510493.015
1.0,01001,Serious,19100303 B07 I,06/02/2021,06/14/2021,"$10,728","$10,728",$0,06/28/2021,C - Contested,,1505554.015
2.0,02001A,Repeat,19100022 A01,06/02/2021,06/14/2021,"$136,532","$136,532",$0,06/28/2021,C - Contested,,1505554.015
3.0,02001B,Repeat,19100176 B,06/02/2021,06/14/2021,$0,$0,$0,06/28/2021,C - Contested,,1505554.015
4.0,02002,Repeat,19100037 A03,06/02/2021,06/14/2021,"$128,733","$128,733",$0,06/28/2021,C - Contested,,1505554.015
1.0,1001,Repeat,19100036 G02,12/22/2020,01/07/2021,"$23,750","$30,000",$0,11/23/2020,F - Formal Settlement,,1503555.015
2.0,1002,Repeat,19100176 B,12/22/2020,01/07/2021,"$23,750","$30,000",$0,11/23/2020,F - Formal Settlement,,1503555.015
3.0,2001,Repeat,19100157 E02,12/22/2020,01/07/2021,"$2,500","$2,500",$0,11/23/2020,F - Formal Settlement,,1503555.015
1.0,1001,Serious,19100036 D01,03/30/2021,04/05/2021,"$10,728","$10,728",$0,,I - Informal Settlement,Citation has been deleted.,1501569.015
2.0,2001,Repeat,19100022 A01,03/30/2021,04/09/2021,"$69,734","$107,283",$0,,I - Informal Settlement,,1501569.015
3.0,2002,Repeat,19100036 G02,03/30/2021,04/05/2021,"$69,734","$107,283",$0,,I - Informal Settlement,,1501569.015
4.0,3001,Repeat,19100101 B,03/30/2021,04/05/2021,"$6,971","$10,725",$0,,I - Informal Settlement,,1501569.015
1.0,1001,Serious,19100023 C08,03/19/2021,04/14/2021,"$10,728","$10,728",$0,05/20/2021,W - Empr Withdrew,,1500406.015
2.0,1002,Serious,19100028 B01 I,03/19/2021,04/14/2021,"$10,728","$10,728",$0,05/20/2021,W - Empr Withdrew,,1500406.015
3.0,1003,Serious,19100036 G02,03/19/2021,04/14/2021,"$7,802","$7,802",$0,05/20/2021,W - Empr Withdrew,,1500406.015
4.0,1004,Serious,19100038 B,03/19/2021,04/14/2021,"$5,851","$5,851",$0,05/20/2021,W - Empr Withdrew,,1500406.015
5.0,1005,Serious,19100303 B01,03/19/2021,04/14/2021,"$6,436","$6,436",$0,05/20/2021,W - Empr Withdrew,,1500406.015
6.0,1006,Serious,19100303 B02,03/19/2021,04/14/2021,"$6,436","$6,436",$0,05/20/2021,W - Empr Withdrew,,1500406.015
7.0,1007,Serious,19100305 G01 IV A,03/19/2021,04/14/2021,"$12,873","$12,873",$0,05/20/2021,W - Empr Withdrew,,1500406.015
1.0,1001,Repeat,19100037 A03,04/20/2021,05/14/2021,"$95,572","$136,532",$0,,I - Informal Settlement,,1500040.015
2.0,1002,Repeat,19100176 B,04/20/2021,05/14/2021,"$90,113","$128,733",$0,,I - Informal Settlement,,1500040.015
1.0,1001,Repeat,19100037 A03,03/17/2021,03/23/2021,"$30,000","$42,911",$0,06/22/2021,F - Formal Settlement,,1493953.015
1.0,1001,Other,4353(G),01/08/2021,,$300,$300,$0,,Z - Issued,,1493680.015
2.0,1002,Other,5142(A)(2),01/08/2021,,$600,$600,$0,,Z - Issued,,1493680.015
1.0,1001,Repeat,19100176 B,12/04/2020,12/14/2020,"$15,000","$15,000",$0,,Z - Issued,,1493669.015
