#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
2.0,1002,Repeat,19100157 C01,03/03/2017,,$0,$0,$0,,I - Informal Settlement,,1184028.015
3.0,1003,Repeat,19100303 G01 II,03/03/2017,,$0,$0,$0,,I - Informal Settlement,,1184028.015
4.0,1004,Repeat,19100305 B02 I,03/03/2017,,"$20,913","$29,876",$0,,I - Informal Settlement,,1184028.015
1.0,01001C,Serious,19100178 O02,10/19/2016,11/15/2016,"$3,180",$0,$0,,I - Informal Settlement,,1181678.015
2.0,01002,Other,19100036 G02,10/19/2016,11/15/2016,$0,"$4,543",$0,,I - Informal Settlement,,1181678.015
1.0,1001,Repeat,19100037 A03,03/08/2017,04/03/2017,"$47,804","$79,673",$0,,I - Informal Settlement,,1180314.015
2.0,1002,Repeat,19100157 C01,03/08/2017,04/03/2017,"$11,953","$19,921",$0,,I - Informal Settlement,,1180314.015
3.0,1003,Repeat,19100303 G01 II,03/08/2017,04/03/2017,"$2,389","$3,982",$0,,I - Informal Settlement,,1180314.015
4.0,2001,Other,19100305 G01 IV,03/08/2017,03/20/2017,$0,$0,$0,,I - Informal Settlement,,1180314.015
1.0,1001,Repeat,19100036 D01,10/20/2016,11/16/2016,"$41,157","$58,795",$0,,I - Informal Settlement,,1175610.015
1.0,1001,Repeat,19100037 A03,01/31/2017,02/17/2017,"$47,760","$54,320",$0,02/02/2017,J - ALJ Decision,,1172115.015
2.0,1002,Repeat,19100157 E02,01/31/2017,02/17/2017,"$1,810","$1,810",$0,02/02/2017,J - ALJ Decision,,1172115.015
3.0,1003,Repeat,19100176 B,01/31/2017,02/17/2017,"$18,110","$18,110",$0,02/02/2017,J - ALJ Decision,,1172115.015
1.0,1001,Repeat,19100037 A03,11/10/2016,12/07/2016,"$117,579","$117,579",$0,,I - Informal Settlement,,1170666.015
1.0,1001,Serious,19100036 G02,09/01/2016,09/28/2016,"$7,000","$8,908",$0,,I - Informal Settlement,,1167738.015
2.0,2001,Repeat,19100037 A03,09/01/2016,09/28/2016,"$63,000","$89,080",$0,,I - Informal Settlement,,1167738.015
3.0,3001,Other,19101200 G08,09/01/2016,09/28/2016,$0,$0,$0,,I - Informal Settlement,,1167738.015
1.0,1001,Repeat,19100037 A03,07/11/2016,,"$31,680","$44,000",$0,,I - Informal Settlement,,1158861.015
2.0,1002,Repeat,19100157 C01,07/11/2016,08/02/2016,"$7,910","$11,000",$0,,I - Informal Settlement,,1158861.015
3.0,1003,Repeat,19100303 G01,07/11/2016,,"$7,910","$11,000",$0,,I - Informal Settlement,,1158861.015
1.0,1001,Repeat,19100037 A03,11/10/2016,07/27/2017,"$42,994","$48,994",$0,12/02/2016,F - Formal Settlement,,1153779.015
2.0,2001,Other,19100303 B02,11/10/2016,12/30/2016,$0,$0,$0,12/02/2016,F - Formal Settlement,,1153779.015
1.0,1001,Repeat,19100036 D01,10/18/2016,07/27/2017,"$91,988","$97,988",$0,11/10/2016,F - Formal Settlement,,1141463.015
2.0,2001,Repeat,19100037 A03,10/18/2016,07/27/2017,"$58,795","$58,795",$0,11/10/2016,F - Formal Settlement,,1141463.015
3.0,2002,Repeat,19100303 G01 II,10/18/2016,07/27/2017,"$58,795","$58,795",$0,11/10/2016,F - Formal Settlement,,1141463.015
1.0,1001,Other,19100303 B07 I,02/23/2016,03/18/2016,"$1,000","$2,805",$0,,I - Informal Settlement,,1122251.015
2.0,2001,Repeat,19100303 F02,02/23/2016,04/08/2016,"$10,725","$16,500",$0,,I - Informal Settlement,,1122251.015
3.0,2002,Repeat,19100303 G01 II,02/23/2016,,"$10,725","$16,500",$0,,I - Informal Settlement,,1122251.015
1.0,01001A,Serious,19100141 C01 I,02/19/2016,02/23/2016,$780,"$1,200",$0,,I - Informal Settlement,,1121762.015
2.0,01001B,Serious,19100141 D02 I,02/19/2016,02/23/2016,$0,$0,$0,,I - Informal Settlement,,1121762.015
1.0,1001,Serious,19100305 B02 I,04/08/2016,,"$2,475","$3,300",$0,,I - Informal Settlement,,1105836.015
2.0,2001,Repeat,19100037 A03,04/08/2016,,"$48,680","$70,000",$0,,I - Informal Settlement,,1105836.015
3.0,2002,Repeat,19100157 C01,04/08/2016,,"$19,800","$33,000",$0,,I - Informal Settlement,,1105836.015
4.0,2003,Repeat,19100157 E03,04/08/2016,,$220,$220,$0,,I - Informal Settlement,,1105836.015
5.0,2004,Repeat,19100303 G01,04/08/2016,,$825,"$1,100",$0,,I - Informal Settlement,,1105836.015
1.0,1001,Serious,19100022 A01,03/03/2016,03/15/2016,"$3,300","$3,300",$0,,I - Informal Settlement,,1092862.015
2.0,2001,Repeat,19100037 A03,03/03/2016,,"$33,000","$33,000",$0,,I - Informal Settlement,,1092862.015
3.0,2002,Repeat,19100157 C01,03/03/2016,,"$33,000","$33,000",$0,,I - Informal Settlement,Citation has been deleted.,1092862.015
1.0,1001,Other,19100022 A01,08/10/2015,08/27/2015,$0,$200,$0,,I - Informal Settlement,,1079401.015
2.0,1002,Other,19101200 G08,08/10/2015,08/27/2015,$0,$200,$0,,I - Informal Settlement,,1079401.015
1.0,1001,Serious,19100037 B02,12/28/2015,01/27/2016,"$2,145","$3,300",$0,,I - Informal Settlement,,1077466.015
2.0,2001,Willful,19100037 A03,12/28/2015,01/27/2016,"$39,325","$60,500",$0,,I - Informal Settlement,,1077466.015
3.0,2002,Willful,19100303 G01 II,12/28/2015,01/27/2016,"$28,600","$44,000",$0,,I - Informal Settlement,,1077466.015
4.0,3001,Repeat,19100022 A01,12/28/2015,01/27/2016,"$14,300","$22,000",$0,,I - Informal Settlement,,1077466.015
5.0,3002,Repeat,19100157 C01,12/28/2015,01/27/2016,"$21,450","$33,000",$0,,I - Informal Settlement,,1077466.015
1.0,1001,Serious,16VAC25-60-120,09/22/2015,11/13/2015,"$1,103","$1,575",$0,,I - Informal Settlement,,1076134.015
1.0,1001,Other,19100141 A05,07/24/2015,08/19/2015,"$2,000","$3,300",$0,,I - Informal Settlement,,1075508.015
1.0,1001,Repeat,19100037 A03,09/21/2015,10/01/2015,"$19,800","$33,000",$0,,I - Informal Settlement,,1059564.015
2.0,1002,Repeat,19100303 G01,09/21/2015,10/01/2015,"$19,800","$33,000",$0,,I - Informal Settlement,,1059564.015
1.0,1001,Serious,5A0001,06/25/2015,,"$2,618","$3,740",$0,,I - Informal Settlement,,1057017.015
1.0,1001,Serious,19100037 B07,10/21/2015,11/17/2015,"$1,980","$3,300",$0,,I - Informal Settlement,,1057045.015
2.0,2001,Repeat,19100037 A03,10/21/2015,11/09/2015,"$26,400","$44,000",$0,,I - Informal Settlement,,1057045.015
3.0,2002,Repeat,19100157 C01,10/21/2015,11/17/2015,"$19,800","$33,000",$0,,I - Informal Settlement,,1057045.015
4.0,2003,Repeat,19100303 G01 II,10/21/2015,11/17/2015,"$19,800","$33,000",$0,,I - Informal Settlement,,1057045.015
1.0,1001,Repeat,19100037 A03,09/21/2015,10/01/2015,"$42,000","$70,000",$0,,I - Informal Settlement,,1048760.015
2.0,1002,Repeat,19100303 G01,09/21/2015,10/01/2015,"$19,800","$33,000",$0,,I - Informal Settlement,,1048760.015
1.0,01001A,Other,19101200 H02 III,07/01/2015,07/28/2015,"$1,000","$4,000",$0,,I - Informal Settlement,,1047625.015
2.0,01001B,Other,19101200 H03 II,07/01/2015,07/28/2015,$0,$0,$0,,I - Informal Settlement,,1047625.015
1.0,1001,Other,19040032 A04,04/23/2015,06/10/2015,$500,"$1,000",$0,,I - Informal Settlement,,1047652.015
1.0,1001,Other,19100157 C01,02/02/2015,02/26/2015,$0,$0,$0,,-,,317945020.0
2.0,1002,Other,19100157 E02,02/02/2015,02/26/2015,$0,$0,$0,,-,,317945020.0
1.0,1001,Serious,19100036 G04,01/13/2015,01/26/2015,"$3,000","$3,000",$0,,Z - Issued,,1016430.015
2.0,1002,Serious,19100176 B,01/13/2015,01/26/2015,"$3,000","$3,000",$0,,Z - Issued,,1016430.015
3.0,1003,Serious,19100303 G01,01/13/2015,01/26/2015,"$3,000","$3,000",$0,,Z - Issued,,1016430.015
1.0,1001,Repeat,19100036 D01,03/20/2015,,"$9,900","$16,500",$0,,I - Informal Settlement,,1012465.015
2.0,1002,Repeat,19100037 A03,03/20/2015,,"$19,800","$33,000",$0,,I - Informal Settlement,,1012465.015
3.0,1003,Repeat,19100157 E03,03/20/2015,,$330,$550,$0,,I - Informal Settlement,,1012465.015
4.0,1004,Repeat,19100303 G01 II,03/20/2015,,"$19,800","$33,000",$0,,I - Informal Settlement,,1012465.015
1.0,1001,Willful,19100037 A03,05/12/2015,05/18/2015,"$36,300","$60,500",$0,06/01/2015,F - Formal Settlement,,1008065.015
2.0,2001,Repeat,19100157 E01,05/12/2015,05/18/2015,"$11,400","$16,500",$0,06/01/2015,F - Formal Settlement,,1008065.015
3.0,2002,Repeat,19100303 G01 II,05/12/2015,05/18/2015,"$26,400","$44,000",$0,06/01/2015,F - Formal Settlement,,1008065.015
4.0,3001,Other,19040040 A,05/12/2015,05/18/2015,$900,"$1,100",$0,06/01/2015,F - Formal Settlement,,1008065.015
1.0,01001A,Serious,19100036 G02,12/22/2014,12/31/2014,"$4,200","$7,000",$0,,I - Informal Settlement,,1003589.015
2.0,01001B,Serious,19100037 A04,12/22/2014,12/31/2014,$0,$0,$0,,I - Informal Settlement,,1003589.015
3.0,01002A,Serious,19100157 C01,12/22/2014,12/31/2014,"$3,000","$5,000",$0,,I - Informal Settlement,,1003589.015
4.0,01002B,Serious,19100157 C04,12/22/2014,12/31/2014,$0,$0,$0,,I - Informal Settlement,,1003589.015
5.0,01002C,Serious,19100157 G01,12/22/2014,01/10/2015,$0,$0,$0,,I - Informal Settlement,,1003589.015
6.0,01003,Serious,19100303 G01,12/22/2014,12/31/2014,"$1,800","$3,000",$0,,I - Informal Settlement,,1003589.015
7.0,02001,Repeat,19100036 D01,12/22/2014,,"$15,000","$25,000",$0,,I - Informal Settlement,,1003589.015
8.0,02002A,Repeat,19100157 E02,12/22/2014,01/05/2015,"$9,000","$15,000",$0,,I - Informal Settlement,,1003589.015
9.0,02002B,Repeat,19100157 E03,12/22/2014,01/05/2015,$0,$0,$0,,I - Informal Settlement,,1003589.015
1.0,1001,Serious,19100037 A03,11/10/2014,11/14/2014,"$2,450","$3,750",$0,,I - Informal Settlement,,317843498.0
1.0,1001,Other,342 A,02/24/2015,03/17/2015,"$5,000","$5,000",$0,,-,,316983402.0
2.0,1002,Other,14300031 A,02/24/2015,03/17/2015,$210,$210,$0,,-,,316983402.0
3.0,1003,Other,3203 A,02/24/2015,03/17/2015,$210,$210,$0,,-,,316983402.0
4.0,2001,Serious,3650 T,02/24/2015,07/08/2015,"$18,000","$22,500",$0,,I - Informal Settlement,,316983402.0
5.0,3001,Serious,3668 A01,02/24/2015,03/17/2015,"$4,500","$7,650",$0,,I - Informal Settlement,,316983402.0
1.0,1001,Repeat,19100037 A03,09/17/2014,,$550,$550,$0,,Z - Issued,,992417.015
2.0,1002,Other,19100157 E03,09/17/2014,10/21/2014,$0,$0,$0,,Z - Issued,,992417.015
1.0,1001,Other,3203 A,10/01/2014,11/03/2014,$0,$375,$0,,F - Formal Settlement,,317730505.0
2.0,1002,Other,3225 A01,10/01/2014,11/03/2014,$375,$935,$0,,F - Formal Settlement,,317730505.0
3.0,1003,Other,3272 B,10/01/2014,11/03/2014,$375,$935,$0,,F - Formal Settlement,,317730505.0
1.0,1001,Other,19100178 L04 II B,10/28/2014,,"$2,104","$2,805",$0,,I - Informal Settlement,,990109.015
2.0,2001,Other,19100176 A,10/28/2014,11/24/2014,$0,$0,$0,,I - Informal Settlement,,990109.015
1.0,1001,Other,19100157 G02,09/30/2014,10/15/2014,"$1,500","$3,000",$0,,I - Informal Settlement,,989776.015
2.0,1002,Other,19100176 B,09/30/2014,10/01/2014,"$1,500","$3,000",$0,,I - Informal Settlement,,989776.015
3.0,2001,Repeat,19100303 G01,09/30/2014,10/01/2014,"$7,500","$15,000",$0,,I - Informal Settlement,,989776.015
1.0,1001,Repeat,19100037 A03,11/13/2014,11/19/2014,"$21,000","$33,000",$0,,I - Informal Settlement,,989056.015
2.0,1002,Repeat,19100157 C01,11/13/2014,11/19/2014,$900,"$1,100",$0,,I - Informal Settlement,,989056.015
3.0,1003,Serious,19100157 E03,11/13/2014,11/19/2014,$900,"$1,100",$0,,I - Informal Settlement,,989056.015
4.0,1004,Repeat,19100303 G01 II,11/13/2014,11/19/2014,"$9,200","$16,500",$0,,I - Informal Settlement,,989056.015
1.0,01001A,Serious,19100303 G01 II,07/18/2014,07/30/2014,$900,"$1,200",$0,,I - Informal Settlement,,985177.015
2.0,01001B,Serious,19100305 G01 IV A,07/18/2014,07/30/2014,$0,$0,$0,,I - Informal Settlement,,985177.015
3.0,02001,Other,19100157 C01,07/18/2014,07/30/2014,$0,$0,$0,,I - Informal Settlement,,985177.015
4.0,02002,Other,19100157 E03,07/18/2014,07/30/2014,$0,$0,$0,,I - Informal Settlement,,985177.015
1.0,01001A,Serious,19100036 D01,05/15/2014,05/19/2014,"$2,625","$2,625",$0,,-,,317692705.0
2.0,01001B,Serious,19100037 A03,05/08/2014,05/13/2014,$0,$0,$0,,-,,317692705.0
3.0,01001C,Serious,19100037 A04,05/15/2014,05/19/2014,$0,$0,$0,,-,,317692705.0
4.0,01002,Serious,19100303 G01,05/15/2014,05/20/2014,"$2,625","$2,625",$0,,-,,317692705.0
5.0,02001,Other,19100022 A01,05/15/2014,05/19/2014,$0,$0,$0,,-,,317692705.0
1.0,01001,Other,19100022 D01,05/02/2014,06/04/2014,$175,$175,$0,,-,,317724094.0
2.0,01002A,Other,19100022 A01,05/02/2014,06/04/2014,$175,$175,$0,,-,,317724094.0
3.0,01002B,Other,19100022 A02,05/02/2014,06/04/2014,$0,$0,$0,,-,,317724094.0
4.0,01003A,Other,19100037 A03,05/02/2014,06/04/2014,$175,$175,$0,,-,,317724094.0
5.0,01003B,Other,19100037 B07,05/02/2014,06/04/2014,$0,$0,$0,,-,,317724094.0
6.0,01003C,Other,19100037 B05,05/02/2014,06/04/2014,$0,$0,$0,,-,,317724094.0
7.0,01004,Other,19100157 C01,05/02/2014,06/04/2014,$175,$175,$0,,-,,317724094.0
8.0,01005,Other,19100303 G01 II,05/02/2014,06/04/2014,$350,$350,$0,,-,,317724094.0
1.0,1001,Repeat,19100036 G02,06/16/2014,07/18/2014,"$5,000","$10,000",$0,,I - Informal Settlement,,317403848.0
1.0,1001,Serious,19100022 A02,02/06/2014,02/14/2014,"$1,485","$2,700",$0,03/28/2014,F - Formal Settlement,,317313856.0
2.0,1002,Serious,19100022 D01,02/06/2014,02/14/2014,$743,"$1,350",$0,03/28/2014,F - Formal Settlement,,317313856.0
3.0,1003,Serious,19100023 C01,02/06/2014,02/14/2014,"$3,850","$7,000",$0,03/28/2014,F - Formal Settlement,,317313856.0
4.0,1004,Serious,19100037 A03,02/06/2014,02/14/2014,$743,"$1,350",$0,03/28/2014,F - Formal Settlement,,317313856.0
5.0,1005,Serious,19100303 B06,02/06/2014,02/14/2014,"$1,485","$2,700",$0,03/28/2014,F - Formal Settlement,,317313856.0
6.0,2001,Other,19100157 E02,02/06/2014,03/04/2014,$0,$0,$0,03/28/2014,-,,317313856.0
7.0,2002,Other,19100303 G01 I,02/06/2014,02/14/2014,$0,$0,$0,03/28/2014,-,,317313856.0
1.0,01001,Serious,95012901,11/22/2013,11/27/2013,"$2,800","$4,000",$0,,I - Informal Settlement,,317275378.0
2.0,02001,Other,19100026 C02 VII,11/22/2013,11/27/2013,$840,"$1,200",$0,,I - Informal Settlement,,317275378.0
3.0,02002A,Other,19101200 B04 II,11/22/2013,01/13/2014,$840,"$1,200",$0,,I - Informal Settlement,,317275378.0
4.0,02002B,Other,19101200 B04 III,11/22/2013,12/19/2013,$0,$0,$0,,I - Informal Settlement,,317275378.0
1.0,1001,Serious,19100022 A01,08/01/2013,08/30/2013,"$1,260","$1,575",$0,,Y - State Decision,,317155430.0
2.0,2001,Other,19100151 B,08/01/2013,08/30/2013,$0,$0,$0,,Y - State Decision,,317155430.0
3.0,2002,Other,19100303 B02,08/01/2013,08/30/2013,$0,$0,$0,,Y - State Decision,,317155430.0
1.0,1001,Repeat,19100037 A03,07/26/2013,08/05/2013,"$4,000","$6,500",$0,,I - Informal Settlement,,907752.015
2.0,1002,Serious,19100157 C01,07/26/2013,08/05/2013,"$4,000","$6,500",$0,,I - Informal Settlement,,907752.015
3.0,1003,Serious,19100303 F02,07/26/2013,08/05/2013,$220,$220,$0,,I - Informal Settlement,,907752.015
4.0,1004,Repeat,19100303 G01 II,07/26/2013,08/05/2013,"$4,000","$6,500",$0,,I - Informal Settlement,,907752.015
5.0,2001,Other,19100141 A03,07/26/2013,08/12/2013,$700,"$1,100",$0,,I - Informal Settlement,,907752.015
6.0,2002,Other,19100176 B,07/26/2013,08/05/2013,$0,$0,$0,,I - Informal Settlement,,907752.015
1.0,01001,Repeat,19100022 D01,07/24/2013,08/15/2013,$220,$220,$0,,I - Informal Settlement,,905396.015
2.0,02001,Serious,19100147 C04 I,07/24/2013,09/06/2013,"$2,200","$3,740",$0,,I - Informal Settlement,,905396.015
3.0,02002,Serious,19100151 C,07/24/2013,09/06/2013,"$1,600","$2,805",$0,,I - Informal Settlement,,905396.015
4.0,02003A,Other,19100212 A01,07/24/2013,08/15/2013,"$2,200","$4,675",$0,,I - Informal Settlement,,905396.015
5.0,02003B,Serious,19100212 A02,07/24/2013,08/01/2013,$0,$0,$0,,I - Informal Settlement,,905396.015
1.0,1001,Repeat,19100303 G01 II,03/15/2013,,"$27,500","$55,000",$0,,I - Informal Settlement,,892872.015
1.0,01001,Other,19100141 C01 I,05/30/2013,06/07/2013,"$2,400","$4,400",$0,,I - Informal Settlement,,892646.015
2.0,01002A,Other,19100176 B,05/30/2013,06/07/2013,"$3,600","$6,600",$0,,I - Informal Settlement,,892646.015
3.0,01002B,Serious,19100176 C,05/30/2013,06/07/2013,$0,$0,$0,,I - Informal Settlement,,892646.015
4.0,02001,Repeat,19100037 A03,05/30/2013,06/03/2013,"$11,000","$22,000",$0,,I - Informal Settlement,,892646.015
5.0,03001,Other,19100141 A04 I,05/30/2013,05/30/2013,$0,$0,$0,,I - Informal Settlement,,892646.015
1.0,1001,Serious,19100176 B,05/06/2013,05/11/2013,"$1,875","$3,750",$0,,I - Informal Settlement,,316624287.0
1.0,1001,Other,19040039 A,02/08/2013,,"$2,500","$5,000",$0,,I - Informal Settlement,,765542.015
1.0,1001,Serious,19101200 G08,12/12/2012,01/09/2013,"$1,934","$2,975",$0,,I - Informal Settlement,,316547587.0
1.0,1001,Serious,19100022 A01,11/19/2012,12/07/2012,"$3,000","$3,000",$0,,Z - Issued,,728361.015
2.0,1002,Serious,19100037 A03,11/19/2012,12/07/2012,"$3,000","$3,000",$0,,Z - Issued,,728361.015
1.0,1001,Other,19100303 G01 IA,10/18/2012,11/13/2012,$0,$0,$0,,-,,316754340.0
1.0,1001,Repeat,19100037 A03,09/12/2012,,"$8,250","$16,500",$0,,I - Informal Settlement,,588783.015
2.0,1002,Repeat,19100303 G01 II,09/12/2012,09/13/2012,"$8,250","$16,500",$0,,I - Informal Settlement,,588783.015
1.0,1001,Other,4082212904,08/28/2012,10/01/2012,$900,$900,$0,,-,,315386185.0
2.0,1002,Other,19100141 A05,08/28/2012,10/01/2012,$0,$0,$0,,-,,315386185.0
1.0,1001,Serious,19100305 B01 II,08/29/2012,09/04/2012,"$1,200","$1,200",$0,,-,,316614528.0
2.0,2001,Other,19100303 F01,08/29/2012,09/17/2012,$0,$0,$0,,-,,316614528.0
1.0,1001,Other,19100022 B01,06/04/2012,07/13/2012,$0,$0,$0,,P - Petition to Mod Abatement,,316553668.0
1.0,1001,Serious,19100303 G01 II,12/19/2011,12/22/2011,"$7,000","$15,000",$0,,I - Informal Settlement,,315978684.0
1.0,1001,Other,19100022 B01,02/21/2012,02/24/2012,"$2,100","$3,000",$0,,I - Informal Settlement,,316034271.0
2.0,1002,Repeat,19100305 G01 IVA,02/21/2012,02/24/2012,"$14,000","$20,000",$0,,I - Informal Settlement,,316034271.0
1.0,1001,Other,19100022 D01,10/03/2011,10/27/2011,"$3,000","$3,000",$0,,I - Informal Settlement,,315884858.0
2.0,1002,Other,19100303 B02,10/03/2011,10/27/2011,"$3,000","$3,000",$0,,I - Informal Settlement,,315884858.0
3.0,1003,Serious,19100305 B01 II,10/03/2011,10/27/2011,"$3,000","$3,000",$0,,I - Informal Settlement,,315884858.0
4.0,1004,Other,19100305 G01 III,10/03/2011,10/27/2011,"$3,000","$3,000",$0,,I - Informal Settlement,,315884858.0
1.0,1001,Other,19040029 B01,09/01/2011,10/01/2011,$700,"$1,000",$0,,I - Informal Settlement,,97358.015
2.0,1002,Other,19040029 B01,09/01/2011,10/01/2011,$700,"$1,000",$0,,I - Informal Settlement,,97358.015
3.0,1003,Other,19040029 B01,09/01/2011,10/01/2011,$700,"$1,000",$0,,I - Informal Settlement,,97358.015
4.0,1004,Other,19040029 B01,09/01/2011,10/01/2011,$700,"$1,000",$0,,I - Informal Settlement,,97358.015
5.0,1005,Other,19100178 L04 II B,09/01/2011,,$0,$0,$0,,I - Informal Settlement,,97358.015
1.0,01001A,Other,19100022 A01,07/28/2011,08/23/2011,$0,"$2,250",$0,,I - Informal Settlement,,315637421.0
2.0,01001B,Other,19100022 B02,07/28/2011,08/23/2011,$0,$0,$0,,I - Informal Settlement,,315637421.0
3.0,01002A,Serious,19100022 D01,07/28/2011,08/23/2011,"$2,250","$1,800",$0,,I - Informal Settlement,,315637421.0
4.0,01002B,Serious,19100026 C01,07/28/2011,08/23/2011,$0,$0,$0,,I - Informal Settlement,,315637421.0
5.0,01003A,Serious,19100036 G02,07/28/2011,08/23/2011,"$2,250","$2,250",$0,,I - Informal Settlement,,315637421.0
6.0,01003B,Other,19100037 A03,07/28/2011,08/23/2011,$0,$0,$0,,I - Informal Settlement,,315637421.0
1.0,1001,Other,19100176 B,08/16/2011,10/21/2011,"$2,550","$2,550",$0,,I - Informal Settlement,,315651430.0
2.0,2001,Other,19100022 A01,08/16/2011,10/21/2011,$0,$0,$0,,-,,315651430.0
1.0,1001,Serious,19100022 B01,06/06/2011,06/09/2011,"$4,000","$4,000",$0,,-,,314307455.0
2.0,1002,Serious,19100036 B02,06/06/2011,06/09/2011,"$5,000","$5,000",$0,,-,,314307455.0
3.0,1003,Serious,19100144 A03,06/06/2011,06/09/2011,"$4,000","$4,000",$0,,-,,314307455.0
1.0,1001,Other,19100037 A03,04/04/2011,04/07/2011,$0,$0,$0,,-,,313826208.0
2.0,1002,Other,19100157 C01,04/04/2011,04/07/2011,$0,$0,$0,,-,,313826208.0
3.0,1003,Other,19100303 G01 II,04/04/2011,04/07/2011,$0,$0,$0,,-,,313826208.0
1.0,1001,Other,19100037 B01,02/04/2011,03/02/2011,"$2,890","$3,400",$0,,I - Informal Settlement,,314910894.0
2.0,1002,Serious,19100141 D02 II,02/04/2011,03/02/2011,"$1,785","$2,550",$0,,I - Informal Settlement,,314910894.0
3.0,1003,Serious,19100157 G01,02/04/2011,03/02/2011,"$2,550","$2,550",$0,,I - Informal Settlement,Citation has been deleted.,314910894.0
1.0,01001A,Serious,19100022 B01,03/02/2011,03/14/2011,"$6,000","$6,000",$600,,I - Informal Settlement,,314276445.0
2.0,01001B,Serious,19100176 A,03/02/2011,03/14/2011,$0,$0,$0,,-,,314276445.0
3.0,02001,Repeat,19100157 C01,03/02/2011,03/07/2011,"$1,000","$1,000","$1,200",,I - Informal Settlement,,314276445.0
1.0,01001A,Serious,19100303 B02,10/21/2010,11/16/2010,"$4,000","$4,000",$0,,-,,311879084.0
2.0,01001B,Serious,19100303 G01 II,10/21/2010,11/16/2010,$0,$0,$0,,-,,311879084.0
3.0,01001C,Serious,19100303 G02 I,10/21/2010,11/16/2010,$0,$0,$0,,-,,311879084.0
4.0,02001,Other,19100022 B01,10/21/2010,11/16/2010,$0,$0,$0,,-,,311879084.0
1.0,1001,Other,19100305 B02,09/17/2010,09/22/2010,$0,"$3,500",$0,,I - Informal Settlement,,314380197.0
1.0,01001,Other,19100157 C01,08/18/2010,08/23/2010,$500,"$2,000",$0,,I - Informal Settlement,,311809008.0
2.0,01002,Serious,19100305 B02 I,08/18/2010,08/22/2010,"$2,000","$2,000",$0,,I - Informal Settlement,,311809008.0
3.0,01003A,Other,19100305 G01 IVA,08/18/2010,08/26/2010,$500,"$5,000",$0,,I - Informal Settlement,,311809008.0
4.0,01003B,Other,19100305 G01 IVC,08/18/2010,08/26/2010,$0,$0,$0,,I - Informal Settlement,,311809008.0
5.0,02001,Serious,19100037 A03,08/18/2010,08/23/2010,"$7,000","$7,500",$0,,I - Informal Settlement,,311809008.0
1.0,1001,Serious,19100141 A05,08/11/2010,08/17/2010,"$1,080","$1,080",$0,,-,,314300492.0
2.0,1002,Serious,19100303 G01 II,08/11/2010,08/16/2010,$810,$810,$0,,-,,314300492.0
3.0,1003,Serious,19100157 C01,08/11/2010,08/17/2010,$810,$810,$0,,-,,314300492.0
4.0,1004,Serious,19100037 A03,08/11/2010,08/17/2010,"$1,080","$1,080",$0,,-,,314300492.0
5.0,2001,Other,19100303 F02,08/11/2010,08/17/2010,$0,$0,$0,,-,,314300492.0
6.0,2002,Other,19100022 A01,08/11/2010,08/17/2010,$0,$0,$0,,-,,314300492.0
1.0,1001,Serious,19100022 A01,06/04/2010,06/23/2010,"$1,500","$2,500",$0,,I - Informal Settlement,,314418914.0
2.0,1002,Serious,19100303 G01 I,06/04/2010,06/23/2010,"$1,500","$2,500",$0,,I - Informal Settlement,,314418914.0
3.0,1003,Serious,19100303 G02 I,06/04/2010,06/23/2010,"$1,500","$2,500",$0,,I - Informal Settlement,,314418914.0
1.0,1001,Serious,19100036 D01,05/04/2010,05/07/2010,"$1,625","$1,875",$0,,I - Informal Settlement,,314337262.0
2.0,1002,Other,19100037 A03,05/04/2010,05/07/2010,$0,"$1,125",$0,,I - Informal Settlement,,314337262.0
3.0,1003,Other,19100157 E02,05/04/2010,05/07/2010,$0,"$1,125",$0,,I - Informal Settlement,,314337262.0
4.0,1004,Serious,19100157 E03,05/04/2010,06/06/2010,"$1,000","$1,125",$0,,I - Informal Settlement,,314337262.0
1.0,1001,Other,19101020 E01 IIIC,02/26/2010,02/26/2010,$787,"$1,125",$0,,I - Informal Settlement,,313407330.0
1.0,1001,Other,19040039 A01,08/08/2022,,"$10,360","$10,360",$0,,Z - Issued,,1595340.015
1.0,1001,Repeat,19100157 C01,08/08/2022,08/16/2022,"$5,180","$5,180",$0,,Z - Issued,,1595364.015
2.0,1002,Repeat,19100157 E02,08/08/2022,08/16/2022,"$5,180","$5,180",$0,,Z - Issued,,1595364.015
1.0,1001,Serious,19100303 G01,06/29/2022,,"$8,051","$8,051",$0,,I - Informal Settlement,,1593531.015
1.0,1001,Serious,OAR 437-001-0765(1),04/28/2022,05/09/2022,$165,$165,$0,,Z - Issued,,1588930.015
1.0,1001,Serious,19100303 B02,05/03/2022,06/06/2022,"$7,977","$11,396",$0,,I - Informal Settlement,,1572839.015
2.0,2001,Repeat,19100303 G01,05/03/2022,,"$63,810","$91,157",$0,,I - Informal Settlement,,1572839.015
1.0,1001,Repeat,19100022 A01,04/13/2022,05/09/2022,"$17,553","$29,255",$0,,I - Informal Settlement,,1571816.015
2.0,1002,Repeat,19100036 G04,04/13/2022,,"$17,553","$29,255",$0,,I - Informal Settlement,,1571816.015
3.0,1003,Repeat,19100176 B,04/13/2022,05/09/2022,"$5,853","$9,755",$0,,I - Informal Settlement,,1571816.015
