Type,Activity Nr,Safety,Health,activity_code
Complaint,1252477,,Yes,1260384.015
Complaint,1248024,,Yes,1252313.015
Complaint,1244434,Yes,,1250847.015
Complaint,1243332,,Yes,1250077.015
Complaint,1247987,Yes,,1251587.015
Complaint,1235205,Yes,,1244037.015
Complaint,1231049,Yes,,1242205.015
Complaint,1154310,Yes,,1227939.015
Referral,1204611,Yes,,1228654.015
Complaint,1201379,Yes,,1225348.015
Complaint,1199485,Yes,Yes,1224253.015
Complaint,1192321,,Yes,1219005.015
Complaint,1186840,Yes,,1214513.015
Complaint,1121115,Yes,,1209252.015
Complaint,1166334,Yes,,1207736.015
Complaint,1176999,Yes,,1206871.015
Complaint,1175712,Yes,,1206086.015
Complaint,1170238,Yes,Yes,1204188.015
Complaint,1151325,,Yes,1199921.015
Complaint,1166871,Yes,Yes,1199078.015
Complaint,1165349,Yes,,1198899.015
Complaint,1161616,Yes,,1195815.015
Referral,1157498,Yes,,1192237.015
Complaint,1140081,Yes,,1184962.015
Complaint,1141263,Yes,,1182639.015
Complaint,1142879,Yes,,1182398.015
Complaint,1141846,Yes,,1184367.015
Complaint,1133095,Yes,,1176237.015
Inspection,1191460,Yes,,1176237.015
Complaint,1129456,Yes,,1176407.015
Complaint,1125610,Yes,,1170707.015
Complaint,1122538,Yes,,1170565.015
Complaint,1119391,,Yes,1168406.015
Complaint,1118439,Yes,,1166383.015
Complaint,1115187,,Yes,1164546.015
Complaint,1134022,Yes,,1164546.015
Complaint,1116348,Yes,,1163850.015
Complaint,1115670,Yes,,1163850.015
Complaint,1099783,,Yes,1158485.015
Referral,1093843,,Yes,1152940.015
Complaint,1089609,Yes,Yes,1147303.015
Referral,1087313,Yes,,1146269.015
Complaint,1087030,Yes,,1144423.015
Complaint,1085158,Yes,,1143713.015
Inspection,1163965,Yes,,1139232.015
Complaint,1075653,Yes,,1135605.015
Complaint,1068434,Yes,,1131904.015
Complaint,1050002,Yes,,1129980.015
Inspection,1154788,Yes,,1143102.015
Complaint,1040362,Yes,,1116040.015
Complaint,1042207,Yes,,1118185.015
Complaint,1044424,Yes,,1112288.015
Complaint,1043028,Yes,,1111010.015
Complaint,1040516,Yes,,1109167.015
Referral,1036272,Yes,,1107313.015
Complaint,1033511,Yes,,1103908.015
Complaint,1050101,Yes,,1114966.015
Complaint,1026859,Yes,,1097611.015
Complaint,1008351,Yes,,1084718.015
Complaint,1007436,Yes,,1082100.015
Referral,994588,Yes,,1077076.015
Complaint,990553,,Yes,1070970.015
Complaint,988672,Yes,,1070357.015
Complaint,988460,Yes,,1068869.015
Referral,981666,Yes,,1065780.015
Complaint,987426,Yes,,1066179.015
Complaint,980612,Yes,,1060953.015
Referral,979733,Yes,,1059353.015
Complaint,978850,Yes,,1059472.015
Complaint,209441229,Yes,,317979870.0
Complaint,975582,Yes,,1055319.015
Complaint,974677,,Yes,1062522.015
Referral,966632,Yes,,1047453.015
Complaint,964853,Yes,,1044065.015
Complaint,931197,Yes,,1019223.015
Complaint,931717,Yes,,1017821.015
Complaint,927309,Yes,,1015396.015
Referral,203283098,Yes,,317617447.0
Complaint,209477165,Yes,,317941177.0
Complaint,924504,Yes,,1012127.015
Complaint,922853,Yes,,1015177.015
Complaint,920957,Yes,,1009303.015
Complaint,921895,Yes,,1008888.015
Complaint,1042249,Yes,,1053780.015
Complaint,922205,Yes,,1009454.015
Complaint,209474287,Yes,,317940203.0
Complaint,919024,Yes,,1006796.015
Complaint,917859,Yes,,1005259.015
Complaint,209274125,Yes,,317459295.0
Complaint,209419878,Yes,,317704070.0
Complaint,209205087,Yes,Yes,317809044.0
Complaint,209205210,Yes,Yes,317809044.0
Complaint,906184,Yes,,993458.015
Complaint,904812,Yes,,992095.015
Complaint,209385277,,Yes,317784635.0
Complaint,209385293,,Yes,317784635.0
Complaint,892034,Yes,,983776.015
Complaint,209107978,Yes,Yes,317250777.0
Complaint,877667,Yes,,967705.015
Complaint,878670,Yes,,966521.015
Complaint,870075,,Yes,958230.015
Referral,203255369,Yes,,316961283.0
Complaint,866305,Yes,,954526.015
Complaint,209062603,Yes,Yes,316214584.0
Referral,201152089,Yes,Yes,316214584.0
Complaint,864469,Yes,,951864.015
Inspection,317293298,,,317408391.0
Complaint,862311,Yes,,951336.015
Accident,102869971,,,316214436.0
Complaint,209214048,,,317275253.0
Complaint,855606,Yes,,943537.015
Complaint,208726158,,Yes,317293298.0
Complaint,209121367,,Yes,316700822.0
Complaint,209152974,,Yes,316700822.0
Complaint,209155977,,Yes,316700822.0
Referral,202999140,,Yes,317072528.0
Complaint,829072,,Yes,920433.015
Complaint,209044205,,Yes,316785039.0
Complaint,209059096,Yes,Yes,316212414.0
Referral,203179718,Yes,,316803030.0
Complaint,209017342,Yes,,316698000.0
Referral,203091251,Yes,,316867423.0
Complaint,358727,,Yes,600998.015
Complaint,208813352,,Yes,316590967.0
Complaint,208481440,Yes,,316509975.0
Complaint,208599472,Yes,,315949743.0
Referral,203097894,Yes,,315579524.0
Complaint,207867961,Yes,,316068212.0
Complaint,208569087,Yes,,316177625.0
Complaint,208438572,Yes,,315793539.0
Referral,202632709,Yes,,109180562.0
Complaint,208106625,Yes,,313513855.0
Complaint,208487223,Yes,Yes,315968883.0
Complaint,207867557,Yes,Yes,315677583.0
Complaint,63934,Yes,,92089.015
Referral,200906196,Yes,,314094335.0
Complaint,207867383,Yes,,315439166.0
Complaint,207471210,Yes,Yes,315068940.0
Complaint,207867359,,Yes,315282806.0
Complaint,208125203,Yes,,315335927.0
Complaint,207648577,,Yes,314582149.0
Complaint,208169623,Yes,,314875535.0
Referral,202893483,Yes,,315097675.0
Complaint,207513490,Yes,,314534702.0
Complaint,208155630,Yes,,314872425.0
Complaint,77984631,Yes,,125472266.0
Complaint,207630567,Yes,,314913682.0
Complaint,205098155,,Yes,314611773.0
Complaint,204460109,Yes,,314579442.0
Complaint,207226515,,Yes,314822156.0
Complaint,206944290,Yes,,314702051.0
Complaint,206652596,Yes,,313981607.0
Complaint,207777251,Yes,,314434861.0
Complaint,204752943,Yes,,312864333.0
Complaint,207018607,Yes,Yes,314238429.0
Complaint,202029963,Yes,,311484224.0
Complaint,202029963,,Yes,311483531.0
Complaint,207516204,Yes,,313407611.0
Complaint,1951518,Yes,,1629205.015
Complaint,1914936,,Yes,1609892.015
Complaint,1908551,Yes,,1604260.015
Complaint,1901784,Yes,,1601146.015
Complaint,1899822,Yes,,1600514.015
Referral,1896837,Yes,,1597674.015
Complaint,1888398,Yes,,1591909.015
Referral,1881431,Yes,,1588141.015
Complaint,1870916,,Yes,1587310.015
Complaint,1875402,,Yes,1583803.015
Complaint,1864901,,Yes,1584434.015
Complaint,1874701,Yes,,1583176.015
Referral,1871379,Yes,Yes,1581314.015
Complaint,1866798,Yes,,1578556.015
Complaint,1862333,Yes,,1577434.015
Complaint,1883561,Yes,Yes,1577434.015
Complaint,1861626,Yes,Yes,1576941.015
Complaint,1859919,Yes,,1575351.015
Complaint,1852775,Yes,,1573203.015
Accident,1843392,,,1569391.015
Complaint,1834065,Yes,Yes,1566565.015
Complaint,1736552,,Yes,1560200.015
Complaint,1804984,,Yes,1551093.015
Complaint,1792223,Yes,,1546961.015
Complaint,1793144,Yes,,1547279.015
Complaint,1764425,Yes,,1546323.015
Complaint,1778086,,Yes,1538032.015
Complaint,1777269,Yes,,1537710.015
Complaint,1761058,,Yes,1535738.015
Referral,1774546,Yes,Yes,1535353.015
Complaint,1540800,,Yes,1533718.015
Complaint,1463346,,Yes,1533718.015
Complaint,1734205,,Yes,1526429.015
Complaint,1748617,,Yes,1526287.015
Complaint,1631842,,Yes,1537320.015
Complaint,1739910,Yes,,1516838.015
Complaint,1713868,,Yes,1514777.015
Complaint,1601372,,Yes,1487112.015
Complaint,1630215,,Yes,1486157.015
Complaint,1610608,Yes,,1480377.015
Complaint,1610578,Yes,,1480368.015
Complaint,1594920,,Yes,1476089.015
Complaint,1553255,Yes,,1471997.015
Complaint,1436566,Yes,,1468846.015
Referral,1534281,Yes,,1457772.015
Inspection,1466050,Yes,,1457772.015
Inspection,1466028,Yes,,1457772.015
Complaint,1530610,Yes,,1454287.015
Complaint,1517286,Yes,,1445370.015
Complaint,1506764,,Yes,1438050.015
Complaint,1506765,,Yes,1438050.015
Complaint,1506766,,Yes,1438050.015
Complaint,1508828,,Yes,1438050.015
Complaint,1520476,,Yes,1438050.015
Inspection,1287750,Yes,,1437095.015
Complaint,1504236,,Yes,1435006.015
Complaint,1484132,,Yes,1421953.015
Complaint,1476244,,Yes,1417487.015
Complaint,1468651,,Yes,1412193.015
Complaint,1454698,Yes,,1404948.015
Inspection,1339655,,Yes,1398022.015
Complaint,1425129,Yes,Yes,1377346.015
Complaint,1411602,Yes,,1375838.015
Referral,1412508,Yes,,1370996.015
Complaint,1390889,Yes,,1368394.015
Complaint,1399054,Yes,,1366830.015
Referral,1401024,Yes,,1361002.015
Complaint,1360610,,Yes,1354658.015
Inspection,1356615,,Yes,1354658.015
Complaint,1389324,,Yes,1352547.015
Complaint,1364984,,Yes,1349608.015
Complaint,1377499,Yes,,1348488.015
Referral,1383060,,Yes,1347593.015
Complaint,1367483,Yes,,1341910.015
Complaint,1366468,Yes,,1338379.015
Complaint,1344624,,Yes,1335838.015
Complaint,1357240,Yes,Yes,1339655.015
Complaint,1348123,,Yes,1332019.015
Complaint,1354579,,Yes,1327351.015
Complaint,1352486,Yes,,1327129.015
Complaint,1344105,,Yes,1322098.015
Complaint,1333805,Yes,,1314634.015
Complaint,1330177,,Yes,1314393.015
Complaint,1332305,,Yes,1312578.015
Complaint,1303289,Yes,,1290507.015
Referral,1298894,Yes,,1287750.015
Inspection,1287769,Yes,,1287750.015
Inspection,1287802,Yes,,1287750.015
Complaint,1277061,Yes,,1272715.015
Complaint,1257730,,Yes,1260097.015
Complaint,1206591,Yes,Yes,1248198.015
Complaint,1234379,,Yes,1247998.015
Complaint,1227221,,Yes,1240557.015
Referral,1182311,Yes,Yes,1246185.015
Complaint,1186129,Yes,,1232162.015
Inspection,1198528,,Yes,1225628.015
Complaint,1188700,,Yes,1223771.015
Referral,1192085,Yes,,1218418.015
Referral,1194525,Yes,,1219504.015
Complaint,1167803,,Yes,1199907.015
Complaint,1168219,Yes,,1200747.015
Complaint,1167314,Yes,,1199852.015
Complaint,1165568,,Yes,1198528.015
Complaint,1174238,,Yes,1198528.015
Complaint,1174243,,Yes,1198528.015
Complaint,1167454,,Yes,1198528.015
Complaint,1171491,,Yes,1198528.015
Complaint,1174251,,Yes,1198528.015
Complaint,1153893,Yes,Yes,1190005.015
Complaint,1152029,Yes,Yes,1188708.015
Complaint,1142074,Yes,Yes,1184357.015
Complaint,1127275,Yes,,1173557.015
Inspection,1173632,Yes,,1173557.015
Inspection,1173614,Yes,,1173557.015
Complaint,1110490,,Yes,1168125.015
Referral,1085508,Yes,,1144592.015
Referral,1105712,Yes,,1144592.015
Complaint,1072114,Yes,,1133313.015
