,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Note,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
10,1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1616331.015,453720,08/22/2022,"152579 - Dollar Tree Stores, Inc.
			   2 Riceville RoadAsheville, NC 28805","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/22/2022,,11/10/2022,1616331.015,,,,,,,,,,Initial Violations,,,4,2,,6,1616331.015
11,1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1616331.015,453720,08/22/2022,"152579 - Dollar Tree Stores, Inc.
			   2 Riceville RoadAsheville, NC 28805","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/22/2022,,11/10/2022,1616331.015,,,,,,,,,,Current Violations,,,4,2,,6,1616331.015
12,1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1616331.015,453720,08/22/2022,"152579 - Dollar Tree Stores, Inc.
			   2 Riceville RoadAsheville, NC 28805","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/22/2022,,11/10/2022,1616331.015,,,,,,,,,,Initial Penalty,$0,$0,"$42,000",$0,$0,"$42,000",1616331.015
13,1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1616331.015,453720,08/22/2022,"152579 - Dollar Tree Stores, Inc.
			   2 Riceville RoadAsheville, NC 28805","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/22/2022,,11/10/2022,1616331.015,,,,,,,,,,Current Penalty,$0,$0,"$42,000",$0,$0,"$42,000",1616331.015
14,1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1616331.015,453720,08/22/2022,"152579 - Dollar Tree Stores, Inc.
			   2 Riceville RoadAsheville, NC 28805","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/22/2022,,11/10/2022,1616331.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1616331.015
15,1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1618010.015,316400,08/10/2022,"Dollar Tree Stores, Inc
			   950 9th AvenueHuntington, WV 25701","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/30/2022,,10/31/2022,1618010.015,,,,,,,,,,Initial Violations,1,,,,,1,1618010.015
16,1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1618010.015,316400,08/10/2022,"Dollar Tree Stores, Inc
			   950 9th AvenueHuntington, WV 25701","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/30/2022,,10/31/2022,1618010.015,,,,,,,,,,Current Violations,1,,,,,1,1618010.015
17,1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1618010.015,316400,08/10/2022,"Dollar Tree Stores, Inc
			   950 9th AvenueHuntington, WV 25701","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/30/2022,,10/31/2022,1618010.015,,,,,,,,,,Initial Penalty,"$6,215",$0,$0,$0,$0,"$6,215",1618010.015
18,1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1618010.015,316400,08/10/2022,"Dollar Tree Stores, Inc
			   950 9th AvenueHuntington, WV 25701","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/30/2022,,10/31/2022,1618010.015,,,,,,,,,,Current Penalty,"$6,215",$0,$0,$0,$0,"$6,215",1618010.015
19,1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1618010.015,316400,08/10/2022,"Dollar Tree Stores, Inc
			   950 9th AvenueHuntington, WV 25701","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/30/2022,,10/31/2022,1618010.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1618010.015
20,1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1612868.015,953210,08/05/2022,"Dollar Tree Stores, Inc. #1224
			   620 North Mccarran BoulevardSparks, NV 89431",500 Volvo Parkway Attn,NonUnion,,452319,Referral,Partial,N,Private,Safety,08/12/2022,,10/24/2022,1612868.015,,,,,,,,,,Initial Violations,1,,,,,1,1612868.015
21,1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1612868.015,953210,08/05/2022,"Dollar Tree Stores, Inc. #1224
			   620 North Mccarran BoulevardSparks, NV 89431",500 Volvo Parkway Attn,NonUnion,,452319,Referral,Partial,N,Private,Safety,08/12/2022,,10/24/2022,1612868.015,,,,,,,,,,Current Violations,1,,,,,1,1612868.015
22,1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1612868.015,953210,08/05/2022,"Dollar Tree Stores, Inc. #1224
			   620 North Mccarran BoulevardSparks, NV 89431",500 Volvo Parkway Attn,NonUnion,,452319,Referral,Partial,N,Private,Safety,08/12/2022,,10/24/2022,1612868.015,,,,,,,,,,Initial Penalty,"$4,490",$0,$0,$0,$0,"$4,490",1612868.015
23,1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1612868.015,953210,08/05/2022,"Dollar Tree Stores, Inc. #1224
			   620 North Mccarran BoulevardSparks, NV 89431",500 Volvo Parkway Attn,NonUnion,,452319,Referral,Partial,N,Private,Safety,08/12/2022,,10/24/2022,1612868.015,,,,,,,,,,Current Penalty,"$2,245",$0,$0,$0,$0,"$2,245",1612868.015
24,1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1612868.015,953210,08/05/2022,"Dollar Tree Stores, Inc. #1224
			   620 North Mccarran BoulevardSparks, NV 89431",500 Volvo Parkway Attn,NonUnion,,452319,Referral,Partial,N,Private,Safety,08/12/2022,,10/24/2022,1612868.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1612868.015
25,1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,OPEN,1611611.015,1054111,08/01/2022,"317731000 - Dollar Tree Stores Inc
			   29756 Sw Town Center Loop W Ste FWilsonville, OR 97070","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/11/2022,P,,1611611.015,,,,,,,,,,Initial Violations,,,4,1,,5,1611611.015
26,1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,OPEN,1611611.015,1054111,08/01/2022,"317731000 - Dollar Tree Stores Inc
			   29756 Sw Town Center Loop W Ste FWilsonville, OR 97070","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/11/2022,P,,1611611.015,,,,,,,,,,Current Violations,,,4,1,,5,1611611.015
27,1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,OPEN,1611611.015,1054111,08/01/2022,"317731000 - Dollar Tree Stores Inc
			   29756 Sw Town Center Loop W Ste FWilsonville, OR 97070","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/11/2022,P,,1611611.015,,,,,,,,,,Initial Penalty,$0,$0,"$33,000",$0,$0,"$33,000",1611611.015
28,1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,OPEN,1611611.015,1054111,08/01/2022,"317731000 - Dollar Tree Stores Inc
			   29756 Sw Town Center Loop W Ste FWilsonville, OR 97070","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/11/2022,P,,1611611.015,,,,,,,,,,Current Penalty,$0,$0,"$33,000",$0,$0,"$33,000",1611611.015
29,1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,OPEN,1611611.015,1054111,08/01/2022,"317731000 - Dollar Tree Stores Inc
			   29756 Sw Town Center Loop W Ste FWilsonville, OR 97070","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/11/2022,P,,1611611.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1611611.015
30,1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1610668.015,1054111,07/27/2022,"317730993 - Dollar Tree Stores Inc
			   1900 Mcloughlin Blvd Ste 128Oregon City, OR 97045","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/16/2022,P,11/23/2022,1610668.015,,,,,,,,,,Initial Violations,,,,1,,1,1610668.015
31,1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1610668.015,1054111,07/27/2022,"317730993 - Dollar Tree Stores Inc
			   1900 Mcloughlin Blvd Ste 128Oregon City, OR 97045","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/16/2022,P,11/23/2022,1610668.015,,,,,,,,,,Current Violations,,,,1,,1,1610668.015
32,1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1610668.015,1054111,07/27/2022,"317730993 - Dollar Tree Stores Inc
			   1900 Mcloughlin Blvd Ste 128Oregon City, OR 97045","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/16/2022,P,11/23/2022,1610668.015,,,,,,,,,,Initial Penalty,$0,$0,$0,$0,$0,$0,1610668.015
33,1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1610668.015,1054111,07/27/2022,"317730993 - Dollar Tree Stores Inc
			   1900 Mcloughlin Blvd Ste 128Oregon City, OR 97045","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/16/2022,P,11/23/2022,1610668.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1610668.015
34,1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1610668.015,1054111,07/27/2022,"317730993 - Dollar Tree Stores Inc
			   1900 Mcloughlin Blvd Ste 128Oregon City, OR 97045","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/16/2022,P,11/23/2022,1610668.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1610668.015
35,1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1609488.015,111100,07/21/2022,"Dollar Tree
			   152 Western Ave. Suite 2Augusta, ME 04330","152 Western Ave. Suite 2, Augusta, ME 04330",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/12/2022,N,10/21/2022,1609488.015,,,,,,,,,,Initial Violations,,,1,1,,2,1609488.015
36,1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1609488.015,111100,07/21/2022,"Dollar Tree
			   152 Western Ave. Suite 2Augusta, ME 04330","152 Western Ave. Suite 2, Augusta, ME 04330",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/12/2022,N,10/21/2022,1609488.015,,,,,,,,,,Current Violations,,,1,,,1,1609488.015
37,1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1609488.015,111100,07/21/2022,"Dollar Tree
			   152 Western Ave. Suite 2Augusta, ME 04330","152 Western Ave. Suite 2, Augusta, ME 04330",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/12/2022,N,10/21/2022,1609488.015,,,,,,,,,,Initial Penalty,$0,$0,"$34,183","$2,279",$0,"$36,462",1609488.015
38,1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1609488.015,111100,07/21/2022,"Dollar Tree
			   152 Western Ave. Suite 2Augusta, ME 04330","152 Western Ave. Suite 2, Augusta, ME 04330",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/12/2022,N,10/21/2022,1609488.015,,,,,,,,,,Current Penalty,$0,$0,"$23,928",$0,$0,"$23,928",1609488.015
39,1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,CLOSED,1609488.015,111100,07/21/2022,"Dollar Tree
			   152 Western Ave. Suite 2Augusta, ME 04330","152 Western Ave. Suite 2, Augusta, ME 04330",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/12/2022,N,10/21/2022,1609488.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1609488.015
40,1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608368.015,626600,07/18/2022,"Dollar Tree Stores, Inc.
			   23741 U.S. 59 NorthPorter, TX 77365","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/18/2022,,12/22/2022,1608368.015,,,,,,,,,,Initial Violations,,,1,,,1,1608368.015
41,1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608368.015,626600,07/18/2022,"Dollar Tree Stores, Inc.
			   23741 U.S. 59 NorthPorter, TX 77365","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/18/2022,,12/22/2022,1608368.015,,,,,,,,,,Current Violations,,,,1,,1,1608368.015
42,1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608368.015,626600,07/18/2022,"Dollar Tree Stores, Inc.
			   23741 U.S. 59 NorthPorter, TX 77365","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/18/2022,,12/22/2022,1608368.015,,,,,,,,,,Initial Penalty,$0,$0,"$22,792",$0,$0,"$22,792",1608368.015
43,1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608368.015,626600,07/18/2022,"Dollar Tree Stores, Inc.
			   23741 U.S. 59 NorthPorter, TX 77365","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/18/2022,,12/22/2022,1608368.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$11,396",$0,"$11,396",1608368.015
44,1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608368.015,626600,07/18/2022,"Dollar Tree Stores, Inc.
			   23741 U.S. 59 NorthPorter, TX 77365","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/18/2022,,12/22/2022,1608368.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1608368.015
45,1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608303.015,352430,07/18/2022,"Dollar Tree Stores, Inc.
			   5650 Baltimore National PikeCatonsville, MD 21228","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/22/2022,,11/09/2022,1608303.015,,,,,,,,,,Initial Violations,1,,,,,1,1608303.015
46,1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608303.015,352430,07/18/2022,"Dollar Tree Stores, Inc.
			   5650 Baltimore National PikeCatonsville, MD 21228","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/22/2022,,11/09/2022,1608303.015,,,,,,,,,,Current Violations,1,,,,,1,1608303.015
47,1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608303.015,352430,07/18/2022,"Dollar Tree Stores, Inc.
			   5650 Baltimore National PikeCatonsville, MD 21228","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/22/2022,,11/09/2022,1608303.015,,,,,,,,,,Initial Penalty,$875,$0,$0,$0,$0,$875,1608303.015
48,1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608303.015,352430,07/18/2022,"Dollar Tree Stores, Inc.
			   5650 Baltimore National PikeCatonsville, MD 21228","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/22/2022,,11/09/2022,1608303.015,,,,,,,,,,Current Penalty,$875,$0,$0,$0,$0,$875,1608303.015
49,1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1608303.015,352430,07/18/2022,"Dollar Tree Stores, Inc.
			   5650 Baltimore National PikeCatonsville, MD 21228","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/22/2022,,11/09/2022,1608303.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1608303.015
50,1607656.015,07/13/2022,626300,TX,Complaint,Partial,,452319,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1607656.015,626300,07/13/2022,"Dollar Tree Stores, Inc.
			   2604 Gilmer RoadLongview, TX 75604","2604 Gilmer Road, Longview, TX 75604",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/13/2022,,11/17/2022,1607656.015,,,,,,,,,,Initial Violations,,,1,1,,2,1607656.015
51,1607656.015,07/13/2022,626300,TX,Complaint,Partial,,452319,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1607656.015,626300,07/13/2022,"Dollar Tree Stores, Inc.
			   2604 Gilmer RoadLongview, TX 75604","2604 Gilmer Road, Longview, TX 75604",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/13/2022,,11/17/2022,1607656.015,,,,,,,,,,Current Violations,,,1,1,,2,1607656.015
