Unnamed: 0,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
550,1565322.015,11/23/2021,215800,NY,Complaint,Complete,,452210,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1565322.015,215800,11/23/2021,"Dollar General Corporation
			   10757 U.S. 11Adams, NY 13605","10757 U.S. 11, Adams, NY 13605",NonUnion,,452210,Complaint,Complete,N,Private,Health,11/23/2021,,08/15/2022,1565322.015,,,,,,,,,Initial Violations,1,,1,,,2,1565322.015
555,1564582.015,11/18/2021,452110,KY,Referral,Partial,5999.0,453998,3,64446 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31,CLOSED,1564582.015,452110,11/18/2021,"64446 - Dollar General Partners
			   7701 Smyrna ParkwayLouisville, KY 40228","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,5999.0,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Referral,Partial,N,Private,Safety,02/07/2022,,05/03/2022,1564582.015,,,,,,,,,Initial Violations,2,,1,,,3,1564582.015
560,1565904.015,11/18/2021,316400,WV,Complaint,Complete,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1565904.015,316400,11/18/2021,"Dollar General Corporation
			   37 Oakland RoadBerkeley Springs, WV 25411","37 Oakland Road, Berkeley Springs, WV 25411",NonUnion,,452319,Complaint,Complete,N,Private,Safety,11/18/2021,,,1565904.015,,,,,,,,,Initial Violations,,,1,,,1,1565904.015
565,1560126.015,10/29/2021,551800,IN,Complaint,Partial,5411.0,445110,3,112452 - Dollar General,Dollar General,2012-12-31,2022-12-31,OPEN,1560126.015,551800,10/29/2021,"112452 - Dollar General
			   8148 E. 21st St.Indianapolis, IN 46219","8148 E. 21st St., Indianapolis, IN 46219",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,10/29/2021,,,1560126.015,,,,,,,,,Initial Violations,2,,,1,,3,1560126.015
570,1559982.015,10/25/2021,626000,TX,Referral,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1559982.015,626000,10/25/2021,"Dollar General Corporation
			   9718 Leopard StreetCorpus Christi, TX 78410","100 Mission Rdg, Goodlettsville, TN 37072",NonUnion,,452319,Referral,Partial,N,Private,Health,10/25/2021,,01/24/2022,1559982.015,,,,,,,,,Initial Violations,1,,,1,,2,1559982.015
575,1551005.015,08/31/2021,418200,GA,Monitoring,Partial,,445120,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1551005.015,418200,08/31/2021,"Dollar General Corporation
			   1288 Beaverdale Rd NeDalton, GA 30721","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,445120/Convenience Stores,Monitoring,Partial,N,Private,Safety,08/31/2021,,,1551005.015,,,,,,,,,Initial Violations,,2,1,,,3,1551005.015
580,1550140.015,08/26/2021,551800,IN,Complaint,Partial,5411.0,445120,1,112265 - Dollar General Store 19838,Dollar General,2012-12-31,2022-12-31,OPEN,1550140.015,551800,08/26/2021,"112265 - Dollar General Store 19838
			   6711 Melton RdPortage, IN 46368","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,5411.0,445120/Convenience Stores,Complaint,Partial,N,Private,Safety,12/10/2021,,,1550140.015,,,,,,,,,Initial Violations,,,1,,,1,1550140.015
585,1545894.015,08/04/2021,751910,IA,Complaint,Complete,,452319,2,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1545894.015,751910,08/04/2021,"Dollar General
			   206 Stevens StIowa Falls, IA 50126","206 Stevens St., Iowa Falls, IA 50126",NonUnion,,452319,Complaint,Complete,N,Private,Health,08/27/2021,S,11/02/2021,1545894.015,,,,,,,,,Initial Violations,2,,,,,2,1545894.015
590,1466752.015,06/11/2021,552652,MI,Complaint,Partial,,452319,2,Dollar General Store #18891,Dollar General,2012-12-31,2022-12-31,OPEN,1466752.015,552652,06/11/2021,"Dollar General Store #18891
			   532 10th StPlainwell, MI 49080","532 10th St, Plainwell, MI 49080",NonUnion,,452319,Complaint,Partial,N,Private,Health,12/20/2021,,,1466752.015,,,,,,,,,Initial Violations,1,,,1,,2,1466752.015
595,1535655.015,06/10/2021,729300,MO,Complaint,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1535655.015,729300,06/10/2021,"Dollar General Corporation
			   119  Business Us 67Greenville, MO 63944","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/10/2021,,12/29/2021,1535655.015,,,,,,,,,Initial Violations,,,1,,,1,1535655.015
600,1524910.015,04/13/2021,950624,CA,Complaint,Partial,,493110,2,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1524910.015,950624,04/13/2021,"Dollar General
			   9840 N. Stephens StreetDelhi, CA 95315","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/20/2021,,07/28/2022,1524910.015,,,,,,,,,Initial Violations,,,,2,,2,1524910.015
605,1522252.015,03/30/2021,454722,TN,Complaint,Partial,,445110,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1522252.015,454722,03/30/2021,"Dollar General Corporation
			   1780 Mooresville HighwayLewisburg, TN 37091","1780 Mooresville Highway, Lewisburg, TN 37091",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Health,03/30/2021,,,1522252.015,,,,,,,,,Initial Violations,,,,1,,1,1522252.015
610,1517332.015,03/03/2021,111700,NH,Complaint,Partial,,452112,1,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1517332.015,111700,03/03/2021,"Dollar General
			   73 E Hollis StNashua, NH 03060","100 Mission Ridge, Goodlettsville, TN 37070",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,03/03/2021,,08/02/2021,1517332.015,,,,,,,,,Initial Violations,,,1,,,1,1517332.015
615,1516101.015,02/24/2021,522500,OH,Complaint,Partial,,493110,1,Dollar General Distribution Center,Dollar General,2012-12-31,2022-12-31,CLOSED,1516101.015,522500,02/24/2021,"Dollar General Distribution Center
			   2505 East Pointe DriveZanesville, OH 43701","2505 East Pointe Drive, Zanesville, OH 43701",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,02/24/2021,,09/13/2021,1516101.015,,,,,,,,,Initial Violations,1,,,,,1,1516101.015
620,1510662.015,01/19/2021,523900,WI,Complaint,Partial,,452112,1,Dollar General Store #20469,Dollar General,2012-12-31,2022-12-31,CLOSED,1510662.015,523900,01/19/2021,"Dollar General Store #20469
			   100 North Menomonie StreetRidgeland, WI 54763","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,01/19/2021,,09/28/2021,1510662.015,,,,,,,,,Initial Violations,,,,1,,1,1510662.015
625,1511904.015,01/19/2021,452110,KY,Complaint,Partial,5399.0,452990,2,63422 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31,CLOSED,1511904.015,452110,01/19/2021,"63422 - Dollar General Partners
			   2735 Moscow AvenueHickman, KY 42050","100 Mission Ridge   Attn Adam Zager, Goodlettsville, TN 37072",NonUnion,5399.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,04/12/2021,,06/15/2021,1511904.015,,,,,,,,,Initial Violations,,,,2,,2,1511904.015
630,1509745.015,01/13/2021,355114,VA,Complaint,Partial,,445110,1,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1509745.015,355114,01/13/2021,"Dollar General
			   1358 Courthouse RoadStafford, VA 22554","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Health,01/13/2021,,09/09/2021,1509745.015,,,,,,,,,Initial Violations,1,,,,,1,1509745.015
635,1500289.015,10/30/2020,316700,PA,Complaint,Partial,,452990,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1500289.015,316700,10/30/2020,"Dollar General Corporation
			   514 North Antrim WayGreencastle, PA 17225","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/30/2020,,06/23/2021,1500289.015,,,,,,,,,Initial Violations,,,2,,,2,1500289.015
640,1498759.015,10/21/2020,317700,PA,Complaint,Partial,,453998,1,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1498759.015,317700,10/21/2020,"Dollar General
			   960 Rt 196Tobyhanna, PA 18466","960 Rt 196, Tobyhanna, PA 18466",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Safety,10/21/2020,,05/03/2021,1498759.015,,,,,,,,,Initial Violations,,1,,,,1,1498759.015
645,1492446.015,09/11/2020,317700,PA,Complaint,Partial,,452112,1,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1492446.015,317700,09/11/2020,"Dollar General
			   655 Interchange RoadKresgeville, PA 18333","655 Interchange Road, Kresgeville, PA 18333",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,09/11/2020,,05/03/2021,1492446.015,,,,,,,,,Initial Violations,,1,,,,1,1492446.015
650,1487770.015,08/13/2020,950647,CA,Complaint,Partial,,493110,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1487770.015,950647,08/13/2020,"Dollar General Corporation
			   4193 Industrial Parkway Dr.Lebec, CA 93243","4193 Industrial Parkway Dr., Lebec, CA 93243",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Health,01/20/2021,,04/19/2021,1487770.015,,,,,,,,,Initial Violations,1,,,,,1,1487770.015
655,1487012.015,08/05/2020,452110,KY,Fat/Cat,Partial,4225.0,493110,12,62950 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1487012.015,452110,08/05/2020,"62950 - Dollar General Corporation
			   427 Beech StScottsville, KY 42164","427 Beech St, Scottsville, KY 42164",NonUnion,4225.0,493110/General Warehousing and Storage,Fat/Cat,Partial,N,Private,Safety,11/03/2020,,04/26/2021,1487012.015,128383.015,08/04/2020,Maintenance Worker Is Electrocuted While Working On Conveyor,Kentucky, ,"On August 4, 2020, an employee was working for a chain of discount variety store s that sold inexpensive items. He was working as a maintenance technician in a w arehouse or distribution center. He and two coworkers, also maintenance technici ans, were repairing a motorized mobile conveyor belt. The employee was working i n an electrical enclosure attached to the infeed end of the conveyor. The store' s management indicated that the source of electric power inside the panel had be en deenergized. The disconnect switch, though, was not locked out. A coworker di scovered the employee in a kneeling position in front of the electrical enclosur e. The employee had suffered trauma to the back of his head. He was unresponsive and had blood on the back of his head. Several first responders performed CPR, but all efforts failed. The employee was declared dead at a local hospital.","conveyor belt, electric shock, electrical box, electrical work, electrical panel, electrocuted, emergency response, head, lockout, loss of blood, loss of consciousness, maintenance, traumatic, unconsciousness, unre",,Initial Violations,10,,,2,,12,1487012.015
