Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1522252.015,03/30/2021,454722,TN,Complaint,Partial,,445110,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1517332.015,03/03/2021,111700,NH,Complaint,Partial,,452112,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1516101.015,02/24/2021,522500,OH,Complaint,Partial,,493110,1,Dollar General Distribution Center,Dollar General,2012-12-31,2022-12-31
1510662.015,01/19/2021,523900,WI,Complaint,Partial,,452112,1,Dollar General Store #20469,Dollar General,2012-12-31,2022-12-31
1511904.015,01/19/2021,452110,KY,Complaint,Partial,5399.0,452990,2,63422 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31
1509745.015,01/13/2021,355114,VA,Complaint,Partial,,445110,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1500289.015,10/30/2020,316700,PA,Complaint,Partial,,452990,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1498759.015,10/21/2020,317700,PA,Complaint,Partial,,453998,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1492446.015,09/11/2020,317700,PA,Complaint,Partial,,452112,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1487770.015,08/13/2020,950647,CA,Complaint,Partial,,493110,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1487012.015,08/05/2020,452110,KY,Fat/Cat,Partial,4225.0,493110,12,62950 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1483184.015,03/19/2020,214500,NJ,Complaint,Partial,,445110,2,Dollar General,Dollar General,2012-12-31,2022-12-31
1469985.015,03/17/2020,454712,TN,Complaint,Partial,,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1467642.015,03/09/2020,316700,PA,Complaint,Partial,,452112,3,Dollar General #04316,Dollar General,2012-12-31,2022-12-31
1461290.015,02/06/2020,419400,MS,Complaint,Partial,,452990,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1459326.015,01/28/2020,419400,MS,Complaint,Partial,,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1455352.015,01/13/2020,418300,AL,Complaint,Partial,,493110,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1455290.015,01/10/2020,950624,CA,Complaint,Partial,,452990,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1453100.015,12/20/2019,419400,MS,Referral,Partial,,493190,1,Dollar General Distribution Center,Dollar General,2012-12-31,2022-12-31
1451004.015,12/12/2019,453710,NC,Complaint,Partial,5331.0,452990,2,144287 - Dolgencorp Llc Dba Dollar General,Dollar General,2012-12-31,2022-12-31
1450479.015,12/10/2019,524500,IL,Complaint,Partial,,452990,4,"Dg Retail, Llc Dba Dollar General",Dollar General,2012-12-31,2022-12-31
1439273.015,10/22/2019,524500,IL,Complaint,Partial,,452990,4,"Dg Retail, Llc Dba Dollar General",Dollar General,2012-12-31,2022-12-31
1436276.015,10/01/2019,524500,IL,Complaint,Partial,,452112,2,"Dg Retail, Llc Dba Dollar General",Dollar General,2012-12-31,2022-12-31
1427131.015,08/27/2019,551800,IN,Planned,Partial,5331.0,452990,1,110237 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1422645.015,08/15/2019,729300,MO,Complaint,Partial,,452112,2,Dollar General,Dollar General,2012-12-31,2022-12-31
1421761.015,08/07/2019,452110,KY,Complaint,Partial,4225.0,493110,1,61052 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1417285.015,07/19/2019,950621,CA,Complaint,Partial,,446110,1,Dollar General Store #14306,Dollar General,2012-12-31,2022-12-31
1403214.015,05/24/2019,317500,PA,Complaint,Partial,,452990,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1395846.015,04/22/2019,419400,MS,Complaint,Partial,,452112,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1390605.015,04/04/2019,454722,TN,Complaint,Partial,,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1381030.015,02/26/2019,454712,TN,Complaint,Partial,,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1375565.015,01/30/2019,454723,TN,Complaint,Partial,,445110,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1352167.015,10/10/2018,418100,GA,Complaint,Partial,,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1348061.015,09/18/2018,454510,SC,Complaint,Partial,4225.0,493110,1,73673 - Dollar General,Dollar General,2012-12-31,2022-12-31
1336307.015,08/02/2018,626600,TX,Referral,Partial,,453998,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1329056.015,07/11/2018,522500,OH,Referral,Partial,,452112,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1323162.015,06/19/2018,355124,VA,Complaint,Partial,,452990,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1301615.015,03/13/2018,316700,PA,Complaint,Partial,,452990,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1283802.015,12/18/2017,636900,TX,FollowUp,Partial,,452990,2,"Dollar General Corporation, Store #3627",Dollar General,2012-12-31,2022-12-31
1280975.015,12/05/2017,215800,NY,Complaint,Partial,,452112,1,Dollar General Store #8700,Dollar General,2012-12-31,2022-12-31
1265352.015,09/21/2017,454725,TN,Complaint,Partial,,452910,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1225250.015,04/14/2017,316700,PA,Complaint,Partial,,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1226089.015,04/12/2017,454510,SC,Complaint,Partial,5331.0,452990,1,70753 - Dollar General,Dollar General,2012-12-31,2022-12-31
1203374.015,01/17/2017,453710,NC,Complaint,Partial,5399.0,452990,1,133339 - Dollar General Inc,Dollar General,2012-12-31,2022-12-31
1201133.015,01/06/2017,336000,PA,Complaint,Partial,,452112,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1200685.015,01/05/2017,355118,VA,Complaint,Partial,,452990,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1195208.015,11/22/2016,213100,NY,Complaint,Partial,,452112,1,Dollar General Inc.,Dollar General,2012-12-31,2022-12-31
1192554.015,11/21/2016,728900,NE,Complaint,Partial,,452990,2,Dollar General,Dollar General,2012-12-31,2022-12-31
1184028.015,10/19/2016,729300,MO,Complaint,Partial,,452112,4,Dollar General,Dollar General,2012-12-31,2022-12-31
1181678.015,10/03/2016,729300,MO,Complaint,Partial,,493110,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1180314.015,09/28/2016,419700,FL,Complaint,Partial,,452990,4,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1175610.015,09/06/2016,729300,MO,Complaint,Partial,,452112,1,Dollar General #14612,Dollar General,2012-12-31,2022-12-31
1172115.015,08/31/2016,317300,DE,Complaint,Partial,,452112,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1170666.015,08/18/2016,524700,OH,Complaint,Partial,,452990,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1167738.015,08/04/2016,729300,MO,Complaint,Partial,,452112,3,Dollar General,Dollar General,2012-12-31,2022-12-31
1158861.015,06/29/2016,419400,MS,Complaint,Partial,,452112,3,Dollar General,Dollar General,2012-12-31,2022-12-31
1153779.015,06/09/2016,316700,PA,Complaint,Partial,,452112,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1141463.015,04/18/2016,316700,PA,Complaint,Partial,,452112,3,The Dollar General,Dollar General,2012-12-31,2022-12-31
1122251.015,02/03/2016,213100,NY,Complaint,Partial,,452112,3,Dollar General Inc.,Dollar General,2012-12-31,2022-12-31
1121762.015,01/28/2016,453710,NC,Complaint,Partial,5311.0,452111,1,"129098 - Dolgencorp, Llc Dba Dollar General Store #559",Dollar General,2012-12-31,2022-12-31
1105836.015,11/09/2015,419400,MS,Complaint,Partial,,452990,5,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1092862.015,09/17/2015,418200,GA,Complaint,Partial,,452112,2,"Dollar General Corporation, Store # 4800",Dollar General,2012-12-31,2022-12-31
1079401.015,07/21/2015,454715,TN,Complaint,Partial,,452990,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1077466.015,07/14/2015,636900,TX,Complaint,Partial,,452990,5,"Dollar General Corporation, Store #3627",Dollar General,2012-12-31,2022-12-31
1076134.015,07/07/2015,355116,VA,Complaint,Partial,,452112,1,Dollar General Corporation #11303,Dollar General,2012-12-31,2022-12-31
1075508.015,06/30/2015,336000,PA,Complaint,Partial,,452112,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1059564.015,04/29/2015,316400,WV,Complaint,Partial,,452990,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1057017.015,04/21/2015,317900,PA,Complaint,Partial,,452990,1,Dollar General Corp.,Dollar General,2012-12-31,2022-12-31
1057045.015,04/21/2015,316700,PA,Complaint,Partial,,452990,4,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1048760.015,03/25/2015,316400,WV,Complaint,Partial,,452990,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1047625.015,03/19/2015,522000,OH,Complaint,Partial,,452112,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1047652.015,03/19/2015,522000,OH,Complaint,Partial,,452112,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
317945020.0,01/27/2015,453730,NC,Planned,Complete,5331.0,452990,2,Dollar General - Store #02556,Dollar General,2012-12-31,2022-12-31
1016430.015,01/06/2015,317500,PA,Complaint,Partial,,453998,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1012465.015,12/08/2014,418200,GA,Complaint,Partial,,452112,4,"Dollar General Corporation, Store #4800",Dollar General,2012-12-31,2022-12-31
1008065.015,11/13/2014,317300,DE,Complaint,Partial,,452990,4,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1003589.015,10/24/2014,215800,NY,Complaint,Partial,,452990,5,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
317843498.0,10/23/2014,453720,NC,Planned,Complete,5399.0,452990,1,"Dolgencorp, Llc Dba Dollar General Store #11069",Dollar General,2012-12-31,2022-12-31
316983402.0,09/18/2014,950647,CA,Unprog Rel,Partial,5331.0,452990,5,Dollar General,Dollar General,2012-12-31,2022-12-31
992417.015,08/28/2014,418100,GA,Complaint,Partial,,452112,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
317730505.0,08/25/2014,950633,CA,Referral,Partial,5331.0,452990,3,Dollar General,Dollar General,2012-12-31,2022-12-31
990109.015,08/14/2014,316700,PA,Complaint,Partial,,493110,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
989776.015,08/13/2014,625400,TX,Complaint,Partial,,453998,3,Dollar General Store#12501,Dollar General,2012-12-31,2022-12-31
989056.015,08/04/2014,419400,MS,Complaint,Partial,,452990,4,Dollar General,Dollar General,2012-12-31,2022-12-31
985177.015,07/09/2014,317500,PA,Complaint,Partial,,452990,3,Dollar General Store #6445,Dollar General,2012-12-31,2022-12-31
317692705.0,04/09/2014,355112,VA,Complaint,Partial,5311.0,452112,3,Dollar General Store #9393,Dollar General,2012-12-31,2022-12-31
317724094.0,04/04/2014,454725,TN,Complaint,Partial,5399.0,452990,5,Dollar General Store,Dollar General,2012-12-31,2022-12-31
317403848.0,01/17/2014,551800,IN,Complaint,Partial,5331.0,452990,1,Dolgencorp Dba Dollar General Store 2810,Dollar General,2012-12-31,2022-12-31
317313856.0,01/08/2014,453730,NC,Complaint,Partial,5331.0,452990,7,Dollar General,Dollar General,2012-12-31,2022-12-31
317275378.0,07/22/2013,453710,NC,Referral,Partial,5331.0,452990,3,"Dolgencorp, Llc Dba Dollar General Store # 1832",Dollar General,2012-12-31,2022-12-31
317155430.0,06/21/2013,355111,VA,Complaint,Partial,5311.0,452112,3,Dollar General,Dollar General,2012-12-31,2022-12-31
907752.015,05/21/2013,627100,AR,Planned,Partial,,452990,6,Dollar General Store #11579,Dollar General,2012-12-31,2022-12-31
905396.015,05/06/2013,627700,OK,Planned,Complete,,493110,4,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
892872.015,03/05/2013,522500,OH,Complaint,Partial,,452112,1,Dollar General #09587,Dollar General,2012-12-31,2022-12-31
892646.015,02/27/2013,627100,AR,Complaint,Partial,,452990,4,Dollar General Store #7495,Dollar General,2012-12-31,2022-12-31
316624287.0,02/13/2013,454510,SC,Complaint,Partial,5331.0,452990,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
765542.015,12/03/2012,729700,KS,Fat/Cat,Partial,,452990,1,Dollar General Store #3144,Dollar General,2010-01-01,2012-12-30
316547587.0,11/14/2012,551800,IN,Complaint,Partial,5331.0,452990,1,Dolgencorp Llc Dba Dollar General #1598,Dollar General,2010-01-01,2012-12-30
728361.015,11/08/2012,626600,TX,Referral,Partial,,453998,2,Dollar General Corporation #9517,Dollar General,2010-01-01,2012-12-30
316754340.0,10/10/2012,453710,NC,Complaint,Partial,5331.0,452990,1,"Dolgencorp, Llc Dba Dollar General",Dollar General,2010-01-01,2012-12-30
588783.015,08/23/2012,521400,IL,Complaint,Partial,,452990,2,Dollar General,Dollar General,2010-01-01,2012-12-30
315386185.0,07/19/2012,552652,MI,Complaint,Partial,5331.0,452990,2,Dollar General,Dollar General,2010-01-01,2012-12-30
316614528.0,07/09/2012,454510,SC,Complaint,Partial,5331.0,452990,2,Dollar General Corporation,Dollar General,2010-01-01,2012-12-30
316553668.0,04/17/2012,454716,TN,Complaint,Partial,5399.0,452990,1,Dollar General Corporation,Dollar General,2010-01-01,2012-12-30
315978684.0,11/30/2011,213900,NJ,Complaint,Partial,5331.0,452990,1,Dollar General #12340,Dollar General,2010-01-01,2012-12-30
316034271.0,11/09/2011,729700,KS,Complaint,Partial,5331.0,452990,2,Dollar General Corporation,Dollar General,2010-01-01,2012-12-30
315884858.0,09/14/2011,316700,PA,Complaint,Partial,5331.0,452990,4,Dollar General Corporation,Dollar General,2010-01-01,2012-12-30
97358.015,08/09/2011,522500,OH,Complaint,Partial,,484121,5,Dollar General Store,Dollar General,2010-01-01,2012-12-30
315637421.0,06/30/2011,551800,IN,Complaint,Partial,5399.0,452990,3,Dollar General,Dollar General,2010-01-01,2012-12-30
315651430.0,06/07/2011,729300,MO,Unprog Rel,Partial,5331.0,452990,2,Dollar General,Dollar General,2010-01-01,2012-12-30
314307455.0,05/13/2011,625500,TX,Complaint,Partial,5399.0,452990,3,Dollar General #4730,Dollar General,2010-01-01,2012-12-30
313826208.0,03/15/2011,453710,NC,Complaint,Partial,5331.0,452990,3,"Dolgencorp, Llc Dba Dollar General Store #10220",Dollar General,2010-01-01,2012-12-30
314910894.0,01/19/2011,729300,MO,Complaint,Partial,5311.0,452112,2,Dollar General,Dollar General,2010-01-01,2012-12-30
314276445.0,12/22/2010,636900,TX,Complaint,Partial,5331.0,452990,2,Dollar General,Dollar General,2010-01-01,2012-12-30
311879084.0,10/01/2010,336000,PA,Complaint,Partial,5331.0,452990,2,Dollar General #4965,Dollar General,2010-01-01,2012-12-30
314380197.0,09/08/2010,453710,NC,Complaint,Partial,5331.0,452990,1,Dollar General Store #2449,Dollar General,2010-01-01,2012-12-30
311809008.0,07/16/2010,317300,DE,Complaint,Partial,5331.0,452990,4,Dollar General Store #4329,Dollar General,2010-01-01,2012-12-30
314300492.0,07/02/2010,625400,TX,Complaint,Complete,5331.0,452990,6,Dollar General Store,Dollar General,2010-01-01,2012-12-30
314418914.0,04/29/2010,729300,MO,Complaint,Partial,5311.0,452112,3,Dollar General Corporation,Dollar General,2010-01-01,2012-12-30
314337262.0,03/23/2010,213600,NY,Complaint,Partial,5399.0,452990,4,Dollar General,Dollar General,2010-01-01,2012-12-30
313407330.0,01/22/2010,728500,MO,Complaint,Partial,5331.0,452990,1,Dollar General,Dollar General,2010-01-01,2012-12-30
1595340.015,05/10/2022,111100,ME,Fat/Cat,Complete,,452319,1,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1595364.015,05/10/2022,111100,ME,Referral,Partial,,452319,2,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1593531.015,05/04/2022,855610,WY,Complaint,Partial,,452319,1,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1588930.015,03/29/2022,1054115,OR,Complaint,Partial,5331.0,452990,1,317730197 - Dg Retail Llc,DG Retail,2012-12-31,2022-12-31
1572839.015,01/14/2022,111700,NH,Complaint,Partial,,452210,2,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1571816.015,12/28/2021,155010,VT,Complaint,Partial,,452319,3,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1555839.015,10/01/2021,111100,ME,Complaint,Partial,,452319,3,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1468409.015,03/06/2020,134000,MA,Complaint,Partial,,452990,5,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1450479.015,12/10/2019,524500,IL,Complaint,Partial,,452990,4,"Dg Retail, Llc Dba Dollar General",DG Retail,2012-12-31,2022-12-31
1439273.015,10/22/2019,524500,IL,Complaint,Partial,,452990,4,"Dg Retail, Llc Dba Dollar General",DG Retail,2012-12-31,2022-12-31
1436276.015,10/01/2019,524500,IL,Complaint,Partial,,452112,2,"Dg Retail, Llc Dba Dollar General",DG Retail,2012-12-31,2022-12-31
1437320.015,09/16/2019,1054116,OR,Complaint,Partial,5331.0,452990,4,317725504 - Dg Retail Llc,DG Retail,2012-12-31,2022-12-31
1263467.015,09/08/2017,155010,VT,Referral,Partial,,452990,2,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1274821.015,08/15/2017,1054194,OR,Complaint,Partial,5331.0,452990,1,317717953 - Dg Retail Llc,DG Retail,2012-12-31,2022-12-31
1192300.015,11/16/2016,950411,AZ,Complaint,Partial,,452112,1,"Dg Retail, Llc",DG Retail,2012-12-31,2022-12-31
1158939.015,06/29/2016,729700,KS,Complaint,Partial,,452990,6,Dg Retail Llc,DG Retail,2012-12-31,2022-12-31
1134983.015,03/22/2016,729700,KS,Complaint,Partial,,452990,2,Dg Retail Llc,DG Retail,2012-12-31,2022-12-31
1611456.015,07/27/2022,950625,CA,Complaint,Partial,,452319,2,"Dolgen California, Llc",dolgen,2012-12-31,2022-12-31
1602924.015,06/20/2022,950624,CA,Complaint,Partial,,452319,3,"Dolgen California, Llc",dolgen,2012-12-31,2022-12-31
1600211.015,06/07/2022,215800,NY,Complaint,Partial,,452319,3,Dolgen New York Llc,dolgen,2012-12-31,2022-12-31
1598433.015,05/24/2022,522500,OH,Complaint,Partial,,452319,4,Dolgen Midwest Llc,dolgen,2012-12-31,2022-12-31
1552837.015,09/07/2021,950623,CA,Accident,Partial,,452319,1,"Dolgen California, Llc",dolgen,2012-12-31,2022-12-31
1543340.015,07/22/2021,524700,OH,Complaint,Partial,,453998,2,"Dolgen Midwest, Llc",dolgen,2012-12-31,2022-12-31
1540895.015,04/27/2021,950647,CA,Accident,Partial,,493110,1,Dolgen California Llc,dolgen,2012-12-31,2022-12-31
1446226.015,11/20/2019,950647,CA,Complaint,Partial,,452112,2,"Dolgen California, Llc",dolgen,2012-12-31,2022-12-31
1444187.015,11/12/2019,112300,RI,Complaint,Partial,,452112,2,"Dolgen Rhode Island, Llc",dolgen,2012-12-31,2022-12-31
1442594.015,11/05/2019,215000,NY,Complaint,Complete,,452990,1,"Dolgen New York, Llc",dolgen,2012-12-31,2022-12-31
1442747.015,11/04/2019,522500,OH,Complaint,Partial,,452990,2,"Dolgen Midwest, Llc",dolgen,2012-12-31,2022-12-31
1414696.015,07/11/2019,950624,CA,Complaint,Partial,,452990,2,"Dolgen California, Llc",dolgen,2012-12-31,2022-12-31
1277097.015,11/14/2017,953210,NV,Referral,Partial,,452990,1,"Dolgen Midwest, Llc",dolgen,2012-12-31,2022-12-31
1278507.015,11/13/2017,626300,TX,Fat/Cat,Partial,,452112,1,"Dolgen Corp Of Texas, Inc",dolgen,2012-12-31,2022-12-31
1133331.015,03/15/2016,953210,NV,Referral,Partial,,452990,4,"Dolgen Midwest, Llc",dolgen,2012-12-31,2022-12-31
1626408.015,10/05/2022,336000,PA,Complaint,Partial,,452319,1,"Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1611042.015,07/28/2022,336000,PA,Complaint,Partial,,452319,2,"Dolgencorp, Llc.",dolgencorp,2012-12-31,2022-12-31
1605438.015,06/30/2022,523900,WI,Complaint,Partial,,452210,1,"Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1599901.015,06/03/2022,418600,FL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1598544.015,05/24/2022,418200,GA,Complaint,Partial,,452319,7,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1597620.015,05/23/2022,453720,NC,Complaint,Partial,5331.0,452990,4,"151872 - Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1597065.015,05/19/2022,418600,AL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
1596914.015,05/19/2022,418300,AL,Complaint,Partial,,452319,5,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31
