,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
10,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,Initial Violations,,,2,,,2,1609906.015
11,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,Current Violations,,,2,,,2,1609906.015
12,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,Initial Penalty,$0,$0,"$7,500",$0,$0,"$7,500",1609906.015
13,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,Current Penalty,$0,$0,"$6,750",$0,$0,"$6,750",1609906.015
14,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1609906.015
15,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,Initial Violations,1,,,,,1,1607451.015
16,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,Current Violations,,,,1,,1,1607451.015
17,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,Initial Penalty,"$5,283",$0,$0,$0,$0,"$5,283",1607451.015
18,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,Current Penalty,$0,$0,$0,"$5,283",$0,"$5,283",1607451.015
19,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1607451.015
20,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
21,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
22,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
23,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
24,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
25,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
26,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
27,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
28,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
29,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
30,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
31,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
32,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
33,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
34,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
35,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
36,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
37,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
38,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
39,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
40,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
41,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
42,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
43,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
44,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
45,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
46,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
47,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
48,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
49,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
50,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
51,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Current Violations,,,2,,,2,1601808.015
52,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",dolgencorp,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
