Type,Activity Nr,Safety,Health,activity_code
Complaint,204573018,Yes,,311879084.0
Complaint,207928888,Yes,,314380197.0
Complaint,200921518,Yes,,311809008.0
Complaint,207716044,,Yes,314300492.0
Complaint,207661224,Yes,,314418914.0
Complaint,207400789,Yes,,314337262.0
Complaint,207415654,Yes,,313407330.0
Accident,1893756,,,1595340.015
Referral,1893786,Yes,,1595364.015
Complaint,1889587,Yes,,1593531.015
Complaint,1877701,Yes,,1588930.015
Complaint,1853850,Yes,,1572839.015
Complaint,1846088,Yes,,1571816.015
Complaint,1816108,Yes,,1555839.015
Complaint,1541662,Yes,,1468409.015
Complaint,1522300,Yes,,1450479.015
Complaint,1510556,Yes,,1439273.015
Complaint,1503595,Yes,,1436276.015
Complaint,1488048,Yes,,1437320.015
Referral,1262352,Yes,,1263467.015
Complaint,1359939,,Yes,1274821.015
Complaint,1156111,Yes,,1192300.015
Complaint,1105668,,,1158939.015
Complaint,1105753,Yes,,1158939.015
Complaint,1073530,Yes,,1134983.015
Complaint,1923379,Yes,Yes,1611456.015
Complaint,1894654,,Yes,1602924.015
Complaint,1901809,Yes,,1600211.015
Complaint,1895073,,Yes,1598433.015
Accident,1807208,,,1552837.015
Complaint,1783286,Yes,,1543340.015
Accident,1751449,,,1540895.015
Complaint,1519206,Yes,,1446226.015
Complaint,1516809,Yes,,1444187.015
Complaint,1514810,Yes,,1442594.015
Complaint,1512487,,Yes,1442747.015
Complaint,1471271,Yes,Yes,1414696.015
Referral,1280449,Yes,,1277097.015
Accident,1300131,,,1278507.015
Referral,1073856,Yes,,1133331.015
Complaint,1953557,Yes,,1626408.015
Complaint,1923871,Yes,,1611042.015
Complaint,1910907,Yes,,1605438.015
Complaint,1905526,Yes,,1601808.015
Complaint,1898429,Yes,,1599901.015
Complaint,1894960,Yes,,1598544.015
Complaint,1896309,Yes,,1597620.015
Complaint,1894765,Yes,,1597065.015
Complaint,1894557,Yes,,1596914.015
Complaint,1889699,Yes,,1594459.015
Complaint,1887996,Yes,Yes,1593249.015
Complaint,1888069,Yes,Yes,1592570.015
Complaint,1885439,Yes,,1590571.015
Complaint,1884810,Yes,,1590827.015
Complaint,1883904,Yes,,1589448.015
Complaint,1881160,Yes,,1588719.015
Referral,1849796,Yes,,1571861.015
Referral,1837490,Yes,,1566292.015
Complaint,1803409,Yes,,1550484.015
Complaint,1803445,Yes,,1550619.015
Complaint,1803428,Yes,,1550627.015
Complaint,1775227,Yes,,1535419.015
Complaint,1751600,Yes,Yes,1522853.015
Complaint,1731677,,Yes,1518325.015
Complaint,1720762,Yes,,1510926.015
Complaint,1683167,Yes,,1509783.015
Complaint,1678038,Yes,,1507692.015
Complaint,1656187,,Yes,1492118.015
Complaint,1646636,Yes,Yes,1489749.015
Complaint,1531508,Yes,,1455672.015
Complaint,1528876,Yes,,1453868.015
Complaint,1517313,Yes,,1451004.015
Complaint,1511909,Yes,,1446881.015
Complaint,1535179,,Yes,1446325.015
Inspection,1456244,,Yes,1446325.015
Referral,1455001,Yes,,1401913.015
Complaint,1445821,,Yes,1393851.015
Complaint,1422489,Yes,,1376785.015
Referral,1413889,Yes,,1372897.015
Referral,1362914,Yes,Yes,1333332.015
Complaint,1361741,,Yes,1332824.015
Inspection,1333021,,Yes,1332824.015
Complaint,1361741,,Yes,1333021.015
Inspection,1332824,Yes,,1333021.015
Complaint,1336635,Yes,Yes,1316798.015
Complaint,1286962,Yes,,1279451.015
Complaint,1260385,Yes,,1263006.015
Complaint,1169238,,Yes,1200610.015
Complaint,1163759,Yes,,1198147.015
Complaint,1151478,Yes,,1188854.015
Complaint,1107669,Yes,,1167163.015
Complaint,1070266,Yes,,1132286.015
Complaint,1060001,,Yes,1123994.015
Complaint,1056461,,Yes,1121762.015
Complaint,1056913,,Yes,1121762.015
Complaint,1047493,Yes,,1114508.015
Complaint,1004024,Yes,,1082459.015
Complaint,1001544,Yes,,1079844.015
Referral,1001616,Yes,,1083884.015
Complaint,981811,Yes,,1062209.015
Complaint,208929141,Yes,,317403848.0
Complaint,209154285,,Yes,316785211.0
Accident,100365162,,,317275378.0
Referral,203287602,Yes,,317275378.0
Complaint,208436089,,Yes,316547587.0
Complaint,208914804,,Yes,316754340.0
Complaint,208249052,Yes,,313826208.0
